#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Yy1/DKO_Tfh_mpbs.ordered.bed /media/pipkin/Yolanda/JYC_DataAnalysis_new/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/media/pipkin/Yolanda/JYC_DataAnalysis_new/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_dn.bed
NR439--MA0095.2.YY1	chr12	38929114	38929125	-	0.000	0.000	Merged-chr12-38929031-63
NR1715--MA0095.2.YY1	chr6	91489155	91489166	+	0.000	0.000	Merged-chr6-91488939-35
NR115--MA0095.2.YY1	chr1	152817622	152817633	-	0.000	0.000	Merged-chr1-152817500-27
NR532--MA0095.2.YY1	chr13	40676945	40676956	-	0.000	0.000	Merged-chr13-40676828-31
NR2000--MA0095.2.YY1	chr8	117121656	117121667	+	0.000	0.000	Merged-chr8-117121600-27
NR1938--MA0095.2.YY1	chr8	35608578	35608589	-	0.000	0.000	Merged-chr8-35608720-5
NR490--MA0095.2.YY1	chr12	110389659	110389670	+	0.000	0.000	Merged-chr12-110389691-32
NR1936--MA0095.2.YY1	chr8	35123321	35123332	+	0.000	0.000	Merged-chr8-35123511-41
NR1101--MA0095.2.YY1	chr2	57356569	57356580	+	0.000	0.000	Merged-chr2-57356493-40
NR99--MA0095.2.YY1	chr1	137061534	137061545	+	0.000	0.000	Merged-chr1-137061291-12
NR1187--MA0095.2.YY1	chr2	132035800	132035811	-	0.000	0.000	Merged-chr2-132035691-29
NR1113--MA0095.2.YY1	chr2	65871100	65871111	-	0.000	0.000	Merged-chr2-65871141-19
NR734--MA0095.2.YY1	chr15	67138875	67138886	+	0.000	0.000	Merged-chr15-67138945-51
NR817--MA0095.2.YY1	chr16	57669720	57669731	-	0.000	0.000	Merged-chr16-57669562-18
NR28--MA0095.2.YY1	chr1	60902493	60902504	-	0.000	0.000	Merged-chr1-60902675-29
NR806--MA0095.2.YY1	chr16	48745744	48745755	+	0.000	0.000	Merged-chr16-48745701-29
NR579--MA0095.2.YY1	chr13	102598264	102598275	+	0.000	0.000	Merged-chr13-102598245-27
NR1250--MA0095.2.YY1	chr3	10212034	10212045	+	0.000	0.000	Merged-chr3-10212114-17
NR1414--MA0095.2.YY1	chr4	54527668	54527679	-	0.000	0.000	Merged-chr4-54527768-19
NR1190--MA0095.2.YY1	chr2	132264000	132264011	-	0.000	0.000	Merged-chr2-132264143-23
NR1453--MA0095.2.YY1	chr4	121241543	121241554	+	0.000	0.000	Merged-chr4-121241483-10
NR950--MA0095.2.YY1	chr18	46013321	46013332	-	0.000	0.000	Merged-chr18-46013388-48
NR2193--MA0095.2.YY1	chrX	159899254	159899265	+	0.000	0.000	Merged-chrX-159899215-24
NR1719--MA0095.2.YY1	chr6	95515883	95515894	+	0.000	0.000	Merged-chr6-95515865-38
NR1355--MA0095.2.YY1	chr3	138813372	138813383	+	0.000	0.000	Merged-chr3-138813302-23
