#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Yy1/WT_Tfh_mpbs.ordered.bed /media/pipkin/Yolanda/JYC_DataAnalysis_new/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/media/pipkin/Yolanda/JYC_DataAnalysis_new/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_up.bed
NR1810--MA0095.2.YY1	chr5	28402956	28402967	-	0.000	0.000	Merged-chr5-28402904-51
NR1680--MA0095.2.YY1	chr4	63898343	63898354	+	0.000	0.000	Merged-chr4-63898483-4
NR19--MA0095.2.YY1	chr1	34831541	34831552	-	0.000	0.000	Merged-chr1-34831505-37
NR1585--MA0095.2.YY1	chr3	138813372	138813383	+	0.000	0.000	Merged-chr3-138813302-23
NR300--MA0095.2.YY1	chr10	80628918	80628929	-	0.000	0.000	Merged-chr10-80629091-37
NR2414--MA0095.2.YY1	chr9	14352442	14352453	+	0.000	0.000	Merged-chr9-14352578-25
NR2556--MA0095.2.YY1	chrX	9243521	9243532	-	0.000	0.000	Merged-chrX-9243541-17
NR15--MA0095.2.YY1	chr1	20912738	20912749	-	0.000	0.000	Merged-chr1-20912686-65
NR1938--MA0095.2.YY1	chr5	143038624	143038635	-	0.000	0.000	Merged-chr5-143038769-30
NR1252--MA0095.2.YY1	chr2	17362082	17362093	+	0.000	0.000	Merged-chr2-17362249-8
NR251--MA0095.2.YY1	chr10	38885515	38885526	-	0.000	0.000	Merged-chr10-38885458-1
NR1105--MA0095.2.YY1	chr18	14494371	14494382	+	0.000	0.000	Merged-chr18-14494264-19
NR2320--MA0095.2.YY1	chr8	36030445	36030456	+	0.000	0.000	Merged-chr8-36030382-8
NR2552--MA0095.2.YY1	chr9	119271651	119271662	+	0.000	0.000	Merged-chr9-119271668-22
NR573--MA0095.2.YY1	chr12	110389659	110389670	+	0.000	0.000	Merged-chr12-110389691-32
NR2370--MA0095.2.YY1	chr8	104415966	104415977	+	0.000	0.000	Merged-chr8-104415870-1
NR2403--MA0095.2.YY1	chr8	128165693	128165704	-	0.000	0.000	Merged-chr8-128165876-22
NR54--MA0095.2.YY1	chr1	67181207	67181218	+	0.000	0.000	Merged-chr1-67181322-10
NR2124--MA0095.2.YY1	chr7	12987482	12987493	-	0.000	0.000	Merged-chr7-12987633-12
NR1738--MA0095.2.YY1	chr4	124769112	124769123	+	0.000	0.000	Merged-chr4-124769177-27
NR974--MA0095.2.YY1	chr16	57634342	57634353	+	0.000	0.000	Merged-chr16-57634391-20
NR1409--MA0095.2.YY1	chr2	156278874	156278885	-	0.000	0.000	Merged-chr2-156278789-33
NR1320--MA0095.2.YY1	chr2	75148037	75148048	-	0.000	0.000	Merged-chr2-75148078-33
NR1131--MA0095.2.YY1	chr18	46381102	46381113	-	0.000	0.000	Merged-chr18-46381195-31
NR215--MA0095.2.YY1	chr1	189887697	189887708	+	0.000	0.000	Merged-chr1-189887694-38
NR1448--MA0095.2.YY1	chr3	9567138	9567149	+	0.000	0.000	Merged-chr3-9567055-14
NR684--MA0095.2.YY1	chr13	102598264	102598275	+	0.000	0.000	Merged-chr13-102598245-27
NR2332--MA0095.2.YY1	chr8	57743914	57743925	+	0.000	0.000	Merged-chr8-57743874-24
NR2417--MA0095.2.YY1	chr9	15681966	15681977	-	0.000	0.000	Merged-chr9-15682069-19
NR1946--MA0095.2.YY1	chr5	148957102	148957113	+	0.000	0.000	Merged-chr5-148957070-11
NR943--MA0095.2.YY1	chr16	32229133	32229144	+	0.000	0.000	Merged-chr16-32229198-4
NR1615--MA0095.2.YY1	chr3	154694106	154694117	+	0.000	0.000	Merged-chr3-154694103-10
NR1073--MA0095.2.YY1	chr17	64248350	64248361	-	0.000	0.000	Merged-chr17-64248398-12
NR846--MA0095.2.YY1	chr15	27670143	27670154	+	0.000	0.000	Merged-chr15-27670252-8
NR157--MA0095.2.YY1	chr1	156901895	156901906	+	0.000	0.000	Merged-chr1-156901975-24
NR2037--MA0095.2.YY1	chr6	95515883	95515894	+	0.000	0.000	Merged-chr6-95515865-38
NR2634--MA0095.2.YY1	chrX	135962571	135962582	-	0.000	0.000	Merged-chrX-135962489-11
NR151--MA0095.2.YY1	chr1	152525162	152525173	+	0.000	0.000	Merged-chr1-152525185-32
NR378--MA0095.2.YY1	chr11	33937735	33937746	-	0.000	0.000	Merged-chr11-33937790-12
NR1832--MA0095.2.YY1	chr5	54042641	54042652	+	0.000	0.000	Merged-chr5-54042573-12
NR2301--MA0095.2.YY1	chr8	13917221	13917232	-	0.000	0.000	Merged-chr8-13917171-10
NR1830--MA0095.2.YY1	chr5	53258259	53258270	-	0.000	0.000	Merged-chr5-53258264-38
NR2493--MA0095.2.YY1	chr9	87178686	87178697	-	0.000	0.000	Merged-chr9-87178792-36
NR1913--MA0095.2.YY1	chr5	122288557	122288568	-	0.000	0.000	Merged-chr5-122288620-47
NR2164--MA0095.2.YY1	chr7	46832421	46832432	-	0.000	0.000	Merged-chr7-46832342-27
NR223--MA0095.2.YY1	chr1	193364014	193364025	+	0.000	0.000	Merged-chr1-193363957-33
NR872--MA0095.2.YY1	chr15	64252774	64252785	+	0.000	0.000	Merged-chr15-64252738-7
NR1449--MA0095.2.YY1	chr3	9767268	9767279	-	0.000	0.000	Merged-chr3-9767219-17
NR723--MA0095.2.YY1	chr14	12307880	12307891	+	0.000	0.000	Merged-chr14-12307905-40
NR1125--MA0095.2.YY1	chr18	38212890	38212901	-	0.000	0.000	Merged-chr18-38212769-38
NR721--MA0095.2.YY1	chr14	11160996	11161007	+	0.000	0.000	Merged-chr14-11161016-31
NR1123--MA0095.2.YY1	chr18	36767223	36767234	-	0.000	0.000	Merged-chr18-36767265-14
NR78--MA0095.2.YY1	chr1	88708193	88708204	+	0.000	0.000	Merged-chr1-88708373-21
NR2506--MA0095.2.YY1	chr9	95350815	95350826	-	0.000	0.000	Merged-chr9-95350781-49
NR527--MA0095.2.YY1	chr12	77949735	77949746	-	0.000	0.000	Merged-chr12-77949698-47
NR260--MA0095.2.YY1	chr10	42697268	42697279	+	0.000	0.000	Merged-chr10-42697202-25
NR1346--MA0095.2.YY1	chr2	106015160	106015171	-	0.000	0.000	Merged-chr2-106015150-10
NR667--MA0095.2.YY1	chr13	84646963	84646974	-	0.000	0.000	Merged-chr13-84647040-10
NR2464--MA0095.2.YY1	chr9	72890817	72890828	+	0.000	0.000	Merged-chr9-72890879-25
NR1993--MA0095.2.YY1	chr6	59185251	59185262	+	0.000	0.000	Merged-chr6-59185393-33
NR703--MA0095.2.YY1	chr13	110841978	110841989	+	0.000	0.000	Merged-chr13-110842123-42
NR1515--MA0095.2.YY1	chr3	89911609	89911620	+	0.000	0.000	Merged-chr3-89911440-10
NR1743--MA0095.2.YY1	chr4	130189142	130189153	-	0.000	0.000	Merged-chr4-130189069-22
NR1885--MA0095.2.YY1	chr5	96825253	96825264	-	0.000	0.000	Merged-chr5-96825060-50
NR1139--MA0095.2.YY1	chr18	57362839	57362850	+	0.000	0.000	Merged-chr18-57362721-19
NR2115--MA0095.2.YY1	chr6	149393071	149393082	-	0.000	0.000	Merged-chr6-149393090-18
NR411--MA0095.2.YY1	chr11	74443874	74443885	-	0.000	0.000	Merged-chr11-74444076-12
NR1128--MA0095.2.YY1	chr18	42585763	42585774	-	0.000	0.000	Merged-chr18-42585822-14
NR956--MA0095.2.YY1	chr16	43377005	43377016	-	0.000	0.000	Merged-chr16-43376977-35
NR1813--MA0095.2.YY1	chr5	29205788	29205799	+	0.000	0.000	Merged-chr5-29205850-28
NR630--MA0095.2.YY1	chr13	38949021	38949032	-	0.000	0.000	Merged-chr13-38949137-15
NR497--MA0095.2.YY1	chr12	39695392	39695403	-	0.000	0.000	Merged-chr12-39695518-5
NR2379--MA0095.2.YY1	chr8	108932027	108932038	-	0.000	0.000	Merged-chr8-108932134-9
NR533--MA0095.2.YY1	chr12	82171114	82171125	-	0.000	0.000	Merged-chr12-82171094-10
NR1802--MA0095.2.YY1	chr5	22740267	22740278	+	0.000	0.000	Merged-chr5-22740212-9
NR671--MA0095.2.YY1	chr13	91908399	91908410	+	0.000	0.000	Merged-chr13-91908449-31
NR1341--MA0095.2.YY1	chr2	102188836	102188847	+	0.000	0.000	Merged-chr2-102188857-2
NR297--MA0095.2.YY1	chr10	80152126	80152137	+	0.000	0.000	Merged-chr10-80152261-5
NR1521--MA0095.2.YY1	chr3	94649003	94649014	+	0.000	0.000	Merged-chr3-94649201-14
NR1242--MA0095.2.YY1	chr2	11173754	11173765	+	0.000	0.000	Merged-chr2-11173621-55
NR1647--MA0095.2.YY1	chr4	45418437	45418448	-	0.000	0.000	Merged-chr4-45418381-22
NR1413--MA0095.2.YY1	chr2	160451721	160451732	-	0.000	0.000	Merged-chr2-160451916-68
NR317--MA0095.2.YY1	chr10	96579692	96579703	-	0.000	0.000	Merged-chr10-96579636-12
