#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Yy1/WT_Tfh_mpbs.ordered.bed /media/pipkin/Yolanda/JYC_DataAnalysis_new/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/media/pipkin/Yolanda/JYC_DataAnalysis_new/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_dn.bed
NR19--MA0095.2.YY1	chr1	34831541	34831552	-	0.000	0.000	Merged-chr1-34831505-37
NR1585--MA0095.2.YY1	chr3	138813372	138813383	+	0.000	0.000	Merged-chr3-138813302-23
NR2653--MA0095.2.YY1	chrY	90744642	90744653	+	0.000	0.000	Merged-chrY-90744539-24
NR2556--MA0095.2.YY1	chrX	9243521	9243532	-	0.000	0.000	Merged-chrX-9243541-17
NR2140--MA0095.2.YY1	chr7	27508833	27508844	-	0.000	0.000	Merged-chr7-27508743-1
NR251--MA0095.2.YY1	chr10	38885515	38885526	-	0.000	0.000	Merged-chr10-38885458-1
NR2320--MA0095.2.YY1	chr8	36030445	36030456	+	0.000	0.000	Merged-chr8-36030382-8
NR2552--MA0095.2.YY1	chr9	119271651	119271662	+	0.000	0.000	Merged-chr9-119271668-22
NR573--MA0095.2.YY1	chr12	110389659	110389670	+	0.000	0.000	Merged-chr12-110389691-32
NR2370--MA0095.2.YY1	chr8	104415966	104415977	+	0.000	0.000	Merged-chr8-104415870-1
NR56--MA0095.2.YY1	chr1	69554123	69554134	+	0.000	0.000	Merged-chr1-69554297-12
NR1328--MA0095.2.YY1	chr2	84505240	84505251	+	0.000	0.000	Merged-chr2-84505299-42
NR2124--MA0095.2.YY1	chr7	12987482	12987493	-	0.000	0.000	Merged-chr7-12987633-12
NR1131--MA0095.2.YY1	chr18	46381102	46381113	-	0.000	0.000	Merged-chr18-46381195-31
NR684--MA0095.2.YY1	chr13	102598264	102598275	+	0.000	0.000	Merged-chr13-102598245-27
NR4--MA0095.2.YY1	chr1	13600113	13600124	-	0.000	0.000	Merged-chr1-13600021-13
NR1946--MA0095.2.YY1	chr5	148957102	148957113	+	0.000	0.000	Merged-chr5-148957070-11
