pos,gene_name,chr,start,end,matched_peak_name
left,Icos,chr1,60853485,60853970,Merged-chr1-60853628-46
left,Icos,chr1,60857582,60857972,Merged-chr1-60857793-9
left,Icos,chr1,60860650,60860845,Merged-chr1-60860711-21
left,Icos,chr1,60863279,60863627,Merged-chr1-60863390-10
left,Icos,chr1,60868441,60868724,Merged-chr1-60868540-23
left,Icos,chr1,60875142,60875436,Merged-chr1-60875356-55
left,Icos,chr1,60882897,60883225,Merged-chr1-60883000-15
left,Icos,chr1,60888920,60889163,Merged-chr1-60889011-5
left,Icos,chr1,60898696,60899365,Merged-chr1-60899106-105
left,Icos,chr1,60902539,60902770,Merged-chr1-60902675-29
left,Icos,chr1,60907540,60907726,Merged-chr1-60907642-6
left,Icos,chr1,60908917,60909126,Merged-chr1-60909043-49
left,Icos,chr1,60910996,60911907,Merged-chr1-60911444-73
left,Icos,chr1,60913415,60913636,Merged-chr1-60913471-46
left,Icos,chr1,60916466,60916792,Merged-chr1-60916726-62
left,Icos,chr1,60920509,60920740,Merged-chr1-60920511-54
left,Icos,chr1,60929037,60929292,Merged-chr1-60929196-3
left,Icos,chr1,60930526,60930749,Merged-chr1-60930618-28
left,Icos,chr1,60936373,60937325,Merged-chr1-60937145-34
left,Icos,chr1,60936373,60937325,Merged-chr1-60936469-13
left,Icos,chr1,60941113,60941458,Merged-chr1-60941237-49
left,Icos,chr1,60953109,60953298,Merged-chr1-60953189-8
left,Icos,chr1,60960836,60961273,Merged-chr1-60961037-13
left,Icos,chr1,60971059,60971209,Merged-chr1-60971078-4
left,Icos,chr1,60973038,60973188,Merged-chr1-60973232-1
left,Icos,chr1,60974027,60974379,Merged-chr1-60974278-38
within,Icos,chr1,60977754,60978001,Merged-chr1-60977872-47
within,Icos,chr1,60979228,60979721,Merged-chr1-60979583-29
within,Icos,chr1,60983101,60983261,Merged-chr1-60983193-1
within,Icos,chr1,60984966,60985337,Merged-chr1-60985265-33
within,Icos,chr1,60986153,60986400,Merged-chr1-60986239-9
within,Icos,chr1,60990237,60990610,Merged-chr1-60990456-63
within,Icos,chr1,60996288,60996752,Merged-chr1-60996655-3
within,Icos,chr1,60997467,60997621,Merged-chr1-60997501-3
within,Icos,chr1,60999841,61000227,Merged-chr1-61000030-11
right,Icos,chr1,61000623,61000773,Merged-chr1-61001072-30
right,Icos,chr1,61001229,61002311,Merged-chr1-61001072-30
right,Icos,chr1,61001229,61002311,Merged-chr1-61002221-10
right,Icos,chr1,61003129,61003791,Merged-chr1-61003298-36
right,Icos,chr1,61004099,61004249,Merged-chr1-61004150-7
right,Icos,chr1,61016669,61017128,Merged-chr1-61016858-25
right,Icos,chr1,61017400,61017550,Merged-chr1-61017462-3
right,Icos,chr1,61022571,61022812,Merged-chr1-61022602-4
right,Icos,chr1,61022971,61023210,Merged-chr1-61023146-3
right,Icos,chr1,61024519,61024749,Merged-chr1-61024597-3
right,Icos,chr1,61027173,61027404,Merged-chr1-61027300-81
right,Icos,chr1,61029685,61030158,Merged-chr1-61030054-5
right,Icos,chr1,61030692,61030972,Merged-chr1-61030719-23
right,Icos,chr1,61035265,61035600,Merged-chr1-61035447-34
right,Icos,chr1,61038245,61038546,Merged-chr1-61038635-2
right,Icos,chr1,61039328,61039679,Merged-chr1-61039499-28
right,Icos,chr1,61046157,61046394,Merged-chr1-61046287-60
right,Icos,chr1,61050192,61050505,Merged-chr1-61050420-56
right,Icos,chr1,61054715,61055282,Merged-chr1-61054857-62
right,Icos,chr1,61068047,61068373,Merged-chr1-61068257-13
right,Icos,chr1,61084761,61085000,Merged-chr1-61084899-26
right,Icos,chr1,61092319,61092469,Merged-chr1-61092301-1
right,Icos,chr1,61101798,61102384,Merged-chr1-61102418-21
right,Icos,chr1,61101798,61102384,Merged-chr1-61101917-11
right,Icos,chr1,61102565,61102778,Merged-chr1-61102418-21
right,Icos,chr1,61125197,61125347,Merged-chr1-61125306-4
left,Pdcd1,chr1,94025518,94025847,Merged-chr1-94025615-17
left,Pdcd1,chr1,94026859,94027009,Merged-chr1-94026913-1
left,Pdcd1,chr1,94035340,94035669,Merged-chr1-94035484-87
within,Pdcd1,chr1,94040495,94040718,Merged-chr1-94040599-7
within,Pdcd1,chr1,94042446,94042674,Merged-chr1-94042518-47
within,Pdcd1,chr1,94046654,94046804,Merged-chr1-94046708-7
within,Pdcd1,chr1,94048103,94048514,Merged-chr1-94048267-32
within,Pdcd1,chr1,94052232,94052723,Merged-chr1-94052292-74
right,Pdcd1,chr1,94053063,94053213,Merged-chr1-94053106-6
right,Pdcd1,chr1,94053567,94053813,Merged-chr1-94053706-41
right,Pdcd1,chr1,94055033,94055339,Merged-chr1-94055175-17
right,Pdcd1,chr1,94056003,94056290,Merged-chr1-94056150-27
left,Tcf7,chr11,52074732,52075240,Merged-chr11-52075128-2
left,Tcf7,chr11,52076184,52076474,Merged-chr11-52076354-71
left,Tcf7,chr11,52080110,52080309,Merged-chr11-52080171-5
left,Tcf7,chr11,52098721,52099172,Merged-chr11-52098997-87
left,Tcf7,chr11,52109383,52109854,Merged-chr11-52109659-16
left,Tcf7,chr11,52129174,52129324,Merged-chr11-52129275-1
left,Tcf7,chr11,52143839,52144071,Merged-chr11-52143945-3
left,Tcf7,chr11,52167582,52168385,Merged-chr11-52167981-10
left,Tcf7,chr11,52180464,52180767,Merged-chr11-52180635-27
left,Tcf7,chr11,52220356,52220709,Merged-chr11-52220531-6
left,Tcf7,chr11,52222864,52223131,Merged-chr11-52223138-6
left,Tcf7,chr11,52224252,52224553,Merged-chr11-52224357-50
left,Tcf7,chr11,52231893,52232340,Merged-chr11-52232101-58
left,Tcf7,chr11,52241057,52241317,Merged-chr11-52241119-15
left,Tcf7,chr11,52248738,52248888,Merged-chr11-52248814-1
left,Tcf7,chr11,52249723,52250669,Merged-chr11-52250819-11
left,Tcf7,chr11,52249723,52250669,Merged-chr11-52249845-12
within,Tcf7,chr11,52253920,52254363,Merged-chr11-52254227-14
within,Tcf7,chr11,52255179,52255422,Merged-chr11-52255300-1
within,Tcf7,chr11,52260935,52261196,Merged-chr11-52261104-14
within,Tcf7,chr11,52262009,52262305,Merged-chr11-52262204-8
within,Tcf7,chr11,52265809,52266042,Merged-chr11-52265909-50
within,Tcf7,chr11,52268411,52268662,Merged-chr11-52268561-57
within,Tcf7,chr11,52273909,52274311,Merged-chr11-52275171-95
within,Tcf7,chr11,52274841,52275548,Merged-chr11-52275171-95
within,Tcf7,chr11,52281005,52281385,Merged-chr11-52281162-6
within,Tcf7,chr11,52281852,52282002,Merged-chr11-52282100-1
within,Tcf7,chr11,52282980,52283637,Merged-chr11-52283114-54
right,Tcf7,chr11,52284124,52284398,Merged-chr11-52284254-21
right,Tcf7,chr11,52294186,52294554,Merged-chr11-52294354-37
right,Tcf7,chr11,52299558,52299914,Merged-chr11-52299835-51
right,Tcf7,chr11,52305311,52305554,Merged-chr11-52305439-4
right,Tcf7,chr11,52309483,52309829,Merged-chr11-52309619-10
right,Tcf7,chr11,52310848,52311109,Merged-chr11-52310984-10
right,Tcf7,chr11,52314137,52314589,Merged-chr11-52314367-60
right,Tcf7,chr11,52318561,52318811,Merged-chr11-52318681-44
right,Tcf7,chr11,52320570,52320764,Merged-chr11-52320694-9
right,Tcf7,chr11,52321650,52321879,Merged-chr11-52321736-5
right,Tcf7,chr11,52324690,52324990,Merged-chr11-52324655-17
right,Tcf7,chr11,52327300,52327822,Merged-chr11-52327437-12
right,Tcf7,chr11,52332659,52332931,Merged-chr11-52332812-6
right,Tcf7,chr11,52333821,52334106,Merged-chr11-52333936-11
right,Tcf7,chr11,52335983,52336222,Merged-chr11-52336127-6
right,Tcf7,chr11,52337996,52338169,Merged-chr11-52338108-4
right,Tcf7,chr11,52341002,52341413,Merged-chr11-52341177-43
right,Tcf7,chr11,52342357,52342593,Merged-chr11-52342479-5
right,Tcf7,chr11,52343137,52343508,Merged-chr11-52343421-2
right,Tcf7,chr11,52345243,52345393,Merged-chr11-52345322-1
right,Tcf7,chr11,52346246,52346781,Merged-chr11-52346524-31
right,Tcf7,chr11,52350976,52351231,Merged-chr11-52351134-24
right,Tcf7,chr11,52352388,52352538,Merged-chr11-52352446-2
right,Tcf7,chr11,52360798,52361150,Merged-chr11-52360947-92
right,Tcf7,chr11,52374371,52374521,Merged-chr11-52374446-5
right,Tcf7,chr11,52396507,52396828,Merged-chr11-52396635-75
right,Tcf7,chr11,52419450,52419737,Merged-chr11-52419604-2
right,Tcf7,chr11,52421406,52421613,Merged-chr11-52421483-2
right,Tcf7,chr11,52458950,52459100,Merged-chr11-52459135-2
left,Tbx21,chr11,97082974,97083533,Merged-chr11-97083222-9
left,Tbx21,chr11,97090889,97091142,Merged-chr11-97090916-2
left,Tbx21,chr11,97091678,97092069,Merged-chr11-97091838-4
left,Tbx21,chr11,97093534,97093684,Merged-chr11-97093646-1
left,Tbx21,chr11,97096199,97096495,Merged-chr11-97096321-4
within,Tbx21,chr11,97101850,97102070,Merged-chr11-97101954-12
within,Tbx21,chr11,97103878,97104319,Merged-chr11-97104187-33
within,Tbx21,chr11,97109102,97109920,Merged-chr11-97109349-15
within,Tbx21,chr11,97109102,97109920,Merged-chr11-97109846-4
within,Tbx21,chr11,97112595,97112860,Merged-chr11-97112765-38
within,Tbx21,chr11,97115037,97115682,Merged-chr11-97115476-51
within,Tbx21,chr11,97115921,97116135,Merged-chr11-97115476-51
right,Tbx21,chr11,97118296,97118504,Merged-chr11-97118364-8
right,Tbx21,chr11,97123447,97123898,Merged-chr11-97123645-15
right,Tbx21,chr11,97124868,97125190,Merged-chr11-97125077-5
right,Tbx21,chr11,97127064,97127319,Merged-chr11-97127179-61
right,Tbx21,chr11,97128968,97129118,Merged-chr11-97129027-2
right,Tbx21,chr11,97130695,97130910,Merged-chr11-97130741-21
right,Tbx21,chr11,97133352,97134005,Merged-chr11-97133895-5
right,Tbx21,chr11,97133352,97134005,Merged-chr11-97133494-13
right,Tbx21,chr11,97134222,97134482,Merged-chr11-97134334-6
right,Tbx21,chr11,97140900,97141162,Merged-chr11-97140987-36
right,Tbx21,chr11,97142236,97142511,Merged-chr11-97142385-19
right,Tbx21,chr11,97143396,97143691,Merged-chr11-97143541-12
right,Tbx21,chr11,97145950,97146494,Merged-chr11-97146058-3
right,Tbx21,chr11,97145950,97146494,Merged-chr11-97146522-1
right,Tbx21,chr11,97146697,97146891,Merged-chr11-97146811-8
left,Cd200,chr16,45222911,45223061,Merged-chr16-45223020-10
left,Cd200,chr16,45223758,45224384,Merged-chr16-45224130-153
left,Cd200,chr16,45227128,45227526,Merged-chr16-45227412-11
left,Cd200,chr16,45233360,45233851,Merged-chr16-45233651-15
left,Cd200,chr16,45234533,45234738,Merged-chr16-45234640-6
left,Cd200,chr16,45251973,45252235,Merged-chr16-45252126-62
left,Cd200,chr16,45257338,45257488,Merged-chr16-45257472-1
left,Cd200,chr16,45259722,45259923,Merged-chr16-45259857-2
left,Cd200,chr16,45261446,45261796,Merged-chr16-45261551-46
left,Cd200,chr16,45275754,45275939,Merged-chr16-45275886-6
left,Cd200,chr16,45283197,45283347,Merged-chr16-45283233-5
left,Cd200,chr16,45286368,45286652,Merged-chr16-45286504-17
left,Cd200,chr16,45306597,45306747,Merged-chr16-45306605-3
left,Cd200,chr16,45310503,45310680,Merged-chr16-45310615-7
left,Cd200,chr16,45328469,45328619,Merged-chr16-45328570-6
left,Cd200,chr16,45331943,45332093,Merged-chr16-45331927-4
left,Cd200,chr16,45332525,45332688,Merged-chr16-45332675-5
left,Cd200,chr16,45333865,45334015,Merged-chr16-45333885-3
left,Cd200,chr16,45334415,45334827,Merged-chr16-45334984-4
left,Cd200,chr16,45334415,45334827,Merged-chr16-45334522-2
left,Cd200,chr16,45345019,45345169,Merged-chr16-45345153-2
left,Cd200,chr16,45346764,45347175,Merged-chr16-45346908-42
left,Cd200,chr16,45349761,45349911,Merged-chr16-45349855-8
left,Cd200,chr16,45352781,45353142,Merged-chr16-45353064-11
left,Cd200,chr16,45361275,45361537,Merged-chr16-45361455-26
within,Cd200,chr16,45382222,45382372,Merged-chr16-45382071-4
within,Cd200,chr16,45382222,45382372,Merged-chr16-45382344-5
within,Cd200,chr16,45383769,45383919,Merged-chr16-45383833-2
within,Cd200,chr16,45389616,45390097,Merged-chr16-45389886-49
within,Cd200,chr16,45407706,45407917,Merged-chr16-45407797-5
within,Cd200,chr16,45408447,45408948,Merged-chr16-45408712-82
right,Cd200,chr16,45413542,45413825,Merged-chr16-45413665-6
right,Cd200,chr16,45513484,45513634,Merged-chr16-45513570-2
right,Cd200,chr16,45565771,45566057,Merged-chr16-45566121-5
right,Cd200,chr16,45570796,45570946,Merged-chr16-45570867-7
left,Runx2,chr17,44418811,44419097,Merged-chr17-44418942-6
left,Runx2,chr17,44425432,44425813,Merged-chr17-44425782-2
left,Runx2,chr17,44430402,44430655,Merged-chr17-44430471-4
left,Runx2,chr17,44431181,44431331,Merged-chr17-44431203-1
left,Runx2,chr17,44432870,44433118,Merged-chr17-44432942-14
left,Runx2,chr17,44433969,44434272,Merged-chr17-44434120-2
left,Runx2,chr17,44436725,44436953,Merged-chr17-44436820-2
left,Runx2,chr17,44455670,44455820,Merged-chr17-44456168-78
left,Runx2,chr17,44456163,44456391,Merged-chr17-44456168-78
left,Runx2,chr17,44457868,44458112,Merged-chr17-44458009-9
left,Runx2,chr17,44459025,44459325,Merged-chr17-44459159-33
left,Runx2,chr17,44463783,44464003,Merged-chr17-44463845-28
left,Runx2,chr17,44468383,44468533,Merged-chr17-44468416-2
left,Runx2,chr17,44528150,44528430,Merged-chr17-44528234-2
left,Runx2,chr17,44536462,44536804,Merged-chr17-44536693-17
left,Runx2,chr17,44545404,44545554,Merged-chr17-44545539-1
left,Runx2,chr17,44556023,44556252,Merged-chr17-44556103-15
left,Runx2,chr17,44557210,44557479,Merged-chr17-44557338-45
left,Runx2,chr17,44566818,44567336,Merged-chr17-44567062-33
left,Runx2,chr17,44569305,44569607,Merged-chr17-44569444-63
left,Runx2,chr17,44591098,44591262,Merged-chr17-44591172-7
left,Runx2,chr17,44599385,44599771,Merged-chr17-44599814-11
left,Runx2,chr17,44599970,44600120,Merged-chr17-44599814-11
left,Runx2,chr17,44602043,44602541,Merged-chr17-44602387-55
within,Runx2,chr17,44609270,44609624,Merged-chr17-44609382-56
within,Runx2,chr17,44610976,44611126,Merged-chr17-44611134-1
within,Runx2,chr17,44611675,44611881,Merged-chr17-44612310-71
within,Runx2,chr17,44612056,44612610,Merged-chr17-44612310-71
within,Runx2,chr17,44613909,44614226,Merged-chr17-44614219-8
within,Runx2,chr17,44614416,44614566,Merged-chr17-44614219-8
within,Runx2,chr17,44620576,44620762,Merged-chr17-44620617-1
within,Runx2,chr17,44623942,44624624,Merged-chr17-44624685-1
within,Runx2,chr17,44623942,44624624,Merged-chr17-44623958-3
within,Runx2,chr17,44623942,44624624,Merged-chr17-44624204-1
within,Runx2,chr17,44623942,44624624,Merged-chr17-44624405-1
within,Runx2,chr17,44626001,44626666,Merged-chr17-44626349-25
within,Runx2,chr17,44630007,44630383,Merged-chr17-44630123-3
within,Runx2,chr17,44633704,44633983,Merged-chr17-44633833-6
within,Runx2,chr17,44650250,44650529,Merged-chr17-44650389-9
within,Runx2,chr17,44654642,44654913,Merged-chr17-44654790-53
within,Runx2,chr17,44660225,44660525,Merged-chr17-44660475-2
within,Runx2,chr17,44660225,44660525,Merged-chr17-44660202-1
within,Runx2,chr17,44661872,44662316,Merged-chr17-44662083-35
within,Runx2,chr17,44664001,44664151,Merged-chr17-44664053-6
within,Runx2,chr17,44668364,44668519,Merged-chr17-44668400-3
within,Runx2,chr17,44670833,44670983,Merged-chr17-44670859-1
within,Runx2,chr17,44671150,44671549,Merged-chr17-44671249-17
within,Runx2,chr17,44671857,44672119,Merged-chr17-44671824-3
within,Runx2,chr17,44672354,44672827,Merged-chr17-44672867-10
within,Runx2,chr17,44674816,44675217,Merged-chr17-44675111-13
within,Runx2,chr17,44676470,44676620,Merged-chr17-44676642-2
within,Runx2,chr17,44677946,44678236,Merged-chr17-44678091-16
within,Runx2,chr17,44690557,44691025,Merged-chr17-44690721-49
within,Runx2,chr17,44697361,44697511,Merged-chr17-44697515-5
within,Runx2,chr17,44702734,44702974,Merged-chr17-44702881-69
within,Runx2,chr17,44708377,44708719,Merged-chr17-44708397-18
within,Runx2,chr17,44713799,44714312,Merged-chr17-44713966-59
within,Runx2,chr17,44718237,44718492,Merged-chr17-44718379-50
within,Runx2,chr17,44722279,44722464,Merged-chr17-44722400-3
within,Runx2,chr17,44727807,44727957,Merged-chr17-44728434-62
within,Runx2,chr17,44728451,44728697,Merged-chr17-44728434-62
within,Runx2,chr17,44734589,44734739,Merged-chr17-44734692-7
within,Runx2,chr17,44735531,44735681,Merged-chr17-44735939-118
within,Runx2,chr17,44735835,44736152,Merged-chr17-44735939-118
within,Runx2,chr17,44737939,44738415,Merged-chr17-44738227-48
within,Runx2,chr17,44745472,44745666,Merged-chr17-44745562-14
within,Runx2,chr17,44760668,44760889,Merged-chr17-44760787-1
within,Runx2,chr17,44766275,44766617,Merged-chr17-44766563-39
within,Runx2,chr17,44767482,44767665,Merged-chr17-44767582-4
within,Runx2,chr17,44772658,44773188,Merged-chr17-44772927-6
within,Runx2,chr17,44777157,44777403,Merged-chr17-44777259-107
within,Runx2,chr17,44792075,44792256,Merged-chr17-44792028-9
within,Runx2,chr17,44814728,44814878,Merged-chr17-44814665-1
right,Runx2,chr17,44818954,44819215,Merged-chr17-44819096-8
right,Runx2,chr17,44890175,44890349,Merged-chr17-44890262-3
right,Runx2,chr17,44893576,44893804,Merged-chr17-44893726-24
right,Runx2,chr17,44942462,44942612,Merged-chr17-44942592-8
right,Runx2,chr17,44959616,44959766,Merged-chr17-44959689-1
right,Runx2,chr17,44973602,44973752,Merged-chr17-44973764-2
right,Runx2,chr17,45011650,45011800,Merged-chr17-45011708-1
left,Gata3,chr2,9848470,9848620,Merged-chr2-9848534-4
within,Gata3,chr2,9860290,9860440,Merged-chr2-9860283-4
within,Gata3,chr2,9867389,9867654,Merged-chr2-9867507-76
within,Gata3,chr2,9871370,9871720,Merged-chr2-9871528-52
within,Gata3,chr2,9872722,9873003,Merged-chr2-9872839-11
within,Gata3,chr2,9875963,9876197,Merged-chr2-9876074-34
within,Gata3,chr2,9876800,9876950,Merged-chr2-9876651-15
within,Gata3,chr2,9878472,9878725,Merged-chr2-9878722-80
within,Gata3,chr2,9878930,9879125,Merged-chr2-9878722-80
right,Gata3,chr2,9879466,9879636,Merged-chr2-9879570-49
right,Gata3,chr2,9882673,9882854,Merged-chr2-9882752-3
right,Gata3,chr2,9883657,9883870,Merged-chr2-9883727-5
right,Gata3,chr2,9884214,9884445,Merged-chr2-9884359-5
right,Gata3,chr2,9889438,9889647,Merged-chr2-9889480-69
right,Gata3,chr2,9889809,9889959,Merged-chr2-9889976-1
right,Gata3,chr2,9895341,9895491,Merged-chr2-9895368-6
right,Gata3,chr2,9896549,9896699,Merged-chr2-9896321-5
left,Il21,chr3,37173339,37173598,Merged-chr3-37173489-44
left,Il21,chr3,37174653,37175072,Merged-chr3-37174845-28
left,Il21,chr3,37176538,37176709,Merged-chr3-37176621-3
left,Il21,chr3,37179991,37180282,Merged-chr3-37180240-8
left,Il21,chr3,37183328,37183639,Merged-chr3-37183520-10
left,Il21,chr3,37194818,37194968,Merged-chr3-37194882-1
left,Il21,chr3,37198941,37199222,Merged-chr3-37199060-11
left,Il21,chr3,37201460,37201610,Merged-chr3-37201541-3
left,Il21,chr3,37204242,37204430,Merged-chr3-37204357-45
left,Il21,chr3,37204805,37205049,Merged-chr3-37204884-40
left,Il21,chr3,37205365,37205543,Merged-chr3-37205453-40
left,Il21,chr3,37208540,37208772,Merged-chr3-37208634-2
left,Il21,chr3,37209619,37209769,Merged-chr3-37209675-2
left,Il21,chr3,37219172,37219575,Merged-chr3-37219348-24
within,Il21,chr3,37228250,37228489,Merged-chr3-37228325-3
within,Il21,chr3,37229006,37229553,Merged-chr3-37229433-26
within,Il21,chr3,37229818,37229968,Merged-chr3-37229433-26
within,Il21,chr3,37231183,37231505,Merged-chr3-37231395-8
right,Il21,chr3,37232760,37232955,Merged-chr3-37232872-35
right,Il21,chr3,37243932,37244257,Merged-chr3-37244105-8
right,Il21,chr3,37257804,37258095,Merged-chr3-37257876-54
right,Il21,chr3,37259622,37259895,Merged-chr3-37259753-44
right,Il21,chr3,37263243,37263548,Merged-chr3-37263461-6
right,Il21,chr3,37268380,37268742,Merged-chr3-37268554-28
right,Il21,chr3,37271242,37271555,Merged-chr3-37271433-10
right,Il21,chr3,37272406,37272841,Merged-chr3-37272616-19
right,Il21,chr3,37273017,37273573,Merged-chr3-37273297-15
right,Il21,chr3,37274469,37274668,Merged-chr3-37274625-7
right,Il21,chr3,37280451,37280635,Merged-chr3-37280456-3
right,Il21,chr3,37280818,37281271,Merged-chr3-37281103-32
right,Il21,chr3,37282163,37282313,Merged-chr3-37282213-3
right,Il21,chr3,37282755,37283320,Merged-chr3-37282997-3
right,Il21,chr3,37283556,37284274,Merged-chr3-37283888-25
right,Il21,chr3,37287598,37287791,Merged-chr3-37287666-1
right,Il21,chr3,37291184,37291334,Merged-chr3-37291355-13
right,Il21,chr3,37291567,37292256,Merged-chr3-37291981-13
right,Il21,chr3,37291567,37292256,Merged-chr3-37291355-13
left,Runx3,chr4,135066902,135067199,Merged-chr4-135067110-46
left,Runx3,chr4,135067377,135067602,Merged-chr4-135067539-2
left,Runx3,chr4,135067915,135068065,Merged-chr4-135068016-12
left,Runx3,chr4,135072740,135072966,Merged-chr4-135072823-8
left,Runx3,chr4,135073564,135073786,Merged-chr4-135073658-24
left,Runx3,chr4,135074674,135074924,Merged-chr4-135074591-1
left,Runx3,chr4,135074674,135074924,Merged-chr4-135074849-1
left,Runx3,chr4,135077167,135077457,Merged-chr4-135077339-17
left,Runx3,chr4,135080110,135080481,Merged-chr4-135080252-61
left,Runx3,chr4,135085432,135085917,Merged-chr4-135086141-3
left,Runx3,chr4,135085432,135085917,Merged-chr4-135085641-5
left,Runx3,chr4,135086117,135086449,Merged-chr4-135086141-3
left,Runx3,chr4,135098397,135098807,Merged-chr4-135098629-27
