#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_up.bed
NR1235--MA0508.2.PRDM1	chr18	13787153	13787162	+	0.000	0.000	Merged-chr18-13787099-71
NR1596--MA0508.2.PRDM1	chr2	174566135	174566144	+	0.000	0.000	Merged-chr2-174566072-46
NR133--MA0508.2.PRDM1	chr1	136398254	136398263	+	0.000	0.000	Merged-chr1-136398256-13
NR2462--MA0508.2.PRDM1	chr7	113263266	113263275	+	0.000	0.000	Merged-chr7-113263148-32
NR1015--MA0508.2.PRDM1	chr16	10690479	10690488	-	0.000	0.000	Merged-chr16-10690218-33
NR2311--MA0508.2.PRDM1	chr6	120077187	120077196	+	0.000	0.000	Merged-chr6-120077232-23
NR104--MA0508.2.PRDM1	chr1	98589790	98589799	-	0.000	0.000	Merged-chr1-98589738-39
NR858--MA0508.2.PRDM1	chr14	78307348	78307357	+	0.000	0.000	Merged-chr14-78307471-124
NR444--MA0508.2.PRDM1	chr11	88455569	88455578	+	0.000	0.000	Merged-chr11-88455545-42
NR327--MA0508.2.PRDM1	chr10	79417237	79417246	-	0.000	0.000	Merged-chr10-79417442-89
NR2372--MA0508.2.PRDM1	chr7	5357030	5357039	+	0.000	0.000	Merged-chr7-5357031-11
NR2404--MA0508.2.PRDM1	chr7	48795341	48795350	+	0.000	0.000	Merged-chr7-48795353-37
NR2656--MA0508.2.PRDM1	chr9	87178920	87178929	-	0.000	0.000	Merged-chr9-87178792-36
NR383--MA0508.2.PRDM1	chr10	118714412	118714421	-	0.000	0.000	Merged-chr10-118714396-52
NR178--MA0508.2.PRDM1	chr1	161671161	161671170	-	0.000	0.000	Merged-chr1-161671075-50
NR306--MA0508.2.PRDM1	chr10	60000263	60000272	+	0.000	0.000	Merged-chr10-60000232-10
NR2364--MA0508.2.PRDM1	chr6	145193580	145193589	+	0.000	0.000	Merged-chr6-145193570-49
NR2736--MA0508.2.PRDM1	chrX	166185334	166185343	+	0.000	0.000	Merged-chrX-166185579-37
NR2098--MA0508.2.PRDM1	chr5	52149276	52149285	+	0.000	0.000	Merged-chr5-52149380-37
NR2173--MA0508.2.PRDM1	chr5	135703036	135703045	-	0.000	0.000	Merged-chr5-135702928-61
NR2696--MA0508.2.PRDM1	chr9	122399008	122399017	+	0.000	0.000	Merged-chr9-122399009-31
NR197--MA0508.2.PRDM1	chr1	179578866	179578875	+	0.000	0.000	Merged-chr1-179578897-31
NR1868--MA0508.2.PRDM1	chr4	35006647	35006656	-	0.000	0.000	Merged-chr4-35006607-36
NR2165--MA0508.2.PRDM1	chr5	115712214	115712223	+	0.000	0.000	Merged-chr5-115712054-77
NR1563--MA0508.2.PRDM1	chr2	144742297	144742306	+	0.000	0.000	Merged-chr2-144742373-21
NR1672--MA0508.2.PRDM1	chr3	55660117	55660126	-	0.000	0.000	Merged-chr3-55660012-44
NR1356--MA0508.2.PRDM1	chr19	41031243	41031252	+	0.000	0.000	Merged-chr19-41031181-46
NR1683--MA0508.2.PRDM1	chr3	65650520	65650529	+	0.000	0.000	Merged-chr3-65650597-39
NR1165--MA0508.2.PRDM1	chr17	43265573	43265582	+	0.000	0.000	Merged-chr17-43265450-43
NR1707--MA0508.2.PRDM1	chr3	83993486	83993495	+	0.000	0.000	Merged-chr3-83993440-19
NR2591--MA0508.2.PRDM1	chr9	7576796	7576805	-	0.000	0.000	Merged-chr9-7576753-19
NR1035--MA0508.2.PRDM1	chr16	23100343	23100352	-	0.000	0.000	Merged-chr16-23100189-17
NR1157--MA0508.2.PRDM1	chr17	34305029	34305038	+	0.000	0.000	Merged-chr17-34305077-21
