#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed
NR6504--MA1421.1.TCF7L1	chr8	120702002	120702013	-	0.000	0.000	Merged-chr8-120702084-56
NR6470--MA0523.1.TCF7L2	chr8	115112221	115112234	+	0.000	0.000	Merged-chr8-115112311-24
NR5287--MA1421.1.TCF7L1	chr5	122430228	122430239	+	0.000	0.000	Merged-chr5-122430278-22
NR4179--MA1421.1.TCF7L1	chr3	84023024	84023035	-	0.000	0.000	Merged-chr3-84022944-34
NR2076--MA0769.1.Tcf7	chr14	36316957	36316968	-	0.000	0.000	Merged-chr14-36316941-55
NR2074--MA1421.1.TCF7L1	chr14	36316957	36316968	-	0.000	0.000	Merged-chr14-36316941-55
NR6186--MA0523.1.TCF7L2	chr7	125511553	125511566	+	0.000	0.000	Merged-chr7-125511628-40
NR2444--MA1421.1.TCF7L1	chr15	67158783	67158794	-	0.000	0.000	Merged-chr15-67158847-15
NR6064--MA1421.1.TCF7L1	chr7	98797478	98797489	-	0.000	0.000	Merged-chr7-98797577-28
NR6270--MA1421.1.TCF7L1	chr7	143644168	143644179	-	0.000	0.000	Merged-chr7-143644190-29
NR1900--MA0769.1.Tcf7	chr13	95449979	95449990	-	0.000	0.000	Merged-chr13-95449730-51
NR659--MA0769.1.Tcf7	chr10	30570577	30570588	+	0.000	0.000	Merged-chr10-30570499-22
NR3480--MA0523.1.TCF7L2	chr2	17597779	17597792	+	0.000	0.000	Merged-chr2-17597899-18
NR6051--MA1421.1.TCF7L1	chr7	90007426	90007437	+	0.000	0.000	Merged-chr7-90007418-46
NR6653--MA1421.1.TCF7L1	chr9	56273653	56273664	+	0.000	0.000	Merged-chr9-56273762-19
NR6459--MA0769.1.Tcf7	chr8	110813241	110813252	+	0.000	0.000	Merged-chr8-110813191-16
NR4929--MA0523.1.TCF7L2	chr4	149658104	149658117	-	0.000	0.000	Merged-chr4-149658229-60
NR1357--MA1421.1.TCF7L1	chr12	25256494	25256505	+	0.000	0.000	Merged-chr12-25256439-11
NR1935--MA0523.1.TCF7L2	chr13	104615086	104615099	-	0.000	0.000	Merged-chr13-104615216-10
NR5086--MA0523.1.TCF7L2	chr5	64488158	64488171	-	0.000	0.000	Merged-chr5-64487990-63
NR6052--MA0769.1.Tcf7	chr7	90007426	90007437	+	0.000	0.000	Merged-chr7-90007418-46
NR4893--MA0769.1.Tcf7	chr4	141917967	141917978	+	0.000	0.000	Merged-chr4-141918116-30
NR3481--MA0769.1.Tcf7	chr2	17597779	17597790	+	0.000	0.000	Merged-chr2-17597899-18
NR177--MA0769.1.Tcf7	chr1	87378189	87378200	-	0.000	0.000	Merged-chr1-87378193-21
NR5310--MA0523.1.TCF7L2	chr5	134269609	134269622	+	0.000	0.000	Merged-chr5-134269909-65
NR5912--MA0523.1.TCF7L2	chr7	31086476	31086489	+	0.000	0.000	Merged-chr7-31086534-15
NR5657--MA0769.1.Tcf7	chr6	115513323	115513334	-	0.000	0.000	Merged-chr6-115513314-25
NR6164--MA0523.1.TCF7L2	chr7	120921346	120921359	-	0.000	0.000	Merged-chr7-120921372-21
NR2750--MA0523.1.TCF7L2	chr16	76323634	76323647	-	0.000	0.000	Merged-chr16-76323771-64
NR4455--MA0523.1.TCF7L2	chr3	144380111	144380124	+	0.000	0.000	Merged-chr3-144380037-3
NR4891--MA1421.1.TCF7L1	chr4	141917967	141917978	+	0.000	0.000	Merged-chr4-141918116-30
NR1592--MA1421.1.TCF7L1	chr12	110939502	110939513	-	0.000	0.000	Merged-chr12-110939619-21
NR2552--MA0523.1.TCF7L2	chr15	98623469	98623482	+	0.000	0.000	Merged-chr15-98623504-45
NR1373--MA1421.1.TCF7L1	chr12	35641147	35641158	+	0.000	0.000	Merged-chr12-35641137-33
NR2429--MA0769.1.Tcf7	chr15	65810845	65810856	-	0.000	0.000	Merged-chr15-65810890-18
NR2371--MA0523.1.TCF7L2	chr15	52753837	52753850	+	0.000	0.000	Merged-chr15-52753697-52
NR1129--MA0769.1.Tcf7	chr11	70113941	70113952	-	0.000	0.000	Merged-chr11-70113983-20
NR6050--MA0769.1.Tcf7	chr7	90004036	90004047	+	0.000	0.000	Merged-chr7-90004026-23
NR2285--MA0523.1.TCF7L2	chr14	121830283	121830296	-	0.000	0.000	Merged-chr14-121830164-49
NR4884--MA0523.1.TCF7L2	chr4	139367504	139367517	-	0.000	0.000	Merged-chr4-139367606-11
NR1899--MA0523.1.TCF7L2	chr13	95449977	95449990	-	0.000	0.000	Merged-chr13-95449730-51
NR514--MA0523.1.TCF7L2	chr1	180940844	180940857	-	0.000	0.000	Merged-chr1-180940937-14
NR3108--MA0769.1.Tcf7	chr18	39141919	39141930	-	0.000	0.000	Merged-chr18-39141814-16
NR4419--MA1421.1.TCF7L1	chr3	138334344	138334355	-	0.000	0.000	Merged-chr3-138334424-50
NR3254--MA1421.1.TCF7L1	chr18	82607534	82607545	+	0.000	0.000	Merged-chr18-82607647-23
NR1835--MA0523.1.TCF7L2	chr13	73491212	73491225	-	0.000	0.000	Merged-chr13-73491277-13
NR6069--MA0769.1.Tcf7	chr7	98797795	98797806	+	0.000	0.000	Merged-chr7-98797577-28
NR3256--MA0769.1.Tcf7	chr18	82607534	82607545	+	0.000	0.000	Merged-chr18-82607647-23
