#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tbx21/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_dn.bed
NR980--MA0690.1.TBX21	chr17	35817691	35817700	+	0.000	0.000	Merged-chr17-35817739-6
NR1405--MA0690.1.TBX21	chr3	68790886	68790895	-	0.000	0.000	Merged-chr3-68790735-6
NR420--MA0690.1.TBX21	chr11	83640445	83640454	-	0.000	0.000	Merged-chr11-83640282-44
NR1689--MA0690.1.TBX21	chr5	68033433	68033442	+	0.000	0.000	Merged-chr5-68033501-23
NR417--MA0690.1.TBX21	chr11	83541052	83541061	+	0.000	0.000	Merged-chr11-83541106-19
NR2324--MA0690.1.TBX21	chr9	118374902	118374911	+	0.000	0.000	Merged-chr9-118374902-24
NR322--MA0690.1.TBX21	chr10	117969955	117969964	+	0.000	0.000	Merged-chr10-117970017-9
NR1040--MA0690.1.TBX21	chr17	88701105	88701114	+	0.000	0.000	Merged-chr17-88701095-28
NR1786--MA0690.1.TBX21	chr5	146757450	146757459	+	0.000	0.000	Merged-chr5-146757539-9
NR1688--MA0690.1.TBX21	chr5	68033413	68033422	-	0.000	0.000	Merged-chr5-68033501-23
NR1035--MA0690.1.TBX21	chr17	86832827	86832836	+	0.000	0.000	Merged-chr17-86833009-31
NR995--MA0690.1.TBX21	chr17	50070269	50070278	+	0.000	0.000	Merged-chr17-50070273-24
NR961--MA0690.1.TBX21	chr17	23748250	23748259	-	0.000	0.000	Merged-chr17-23748319-15
NR1245--MA0690.1.TBX21	chr2	73346543	73346552	+	0.000	0.000	Merged-chr2-73346607-35
NR759--MA0690.1.TBX21	chr14	118838788	118838797	+	0.000	0.000	Merged-chr14-118838804-5
NR2185--MA0690.1.TBX21	chr8	120716738	120716747	+	0.000	0.000	Merged-chr8-120716591-36
NR2198--MA0690.1.TBX21	chr8	124594065	124594074	-	0.000	0.000	Merged-chr8-124594227-15
NR1764--MA0690.1.TBX21	chr5	139290988	139290997	-	0.000	0.000	Merged-chr5-139290875-38
NR1730--MA0690.1.TBX21	chr5	107533851	107533860	+	0.000	0.000	Merged-chr5-107533890-8
NR962--MA0690.1.TBX21	chr17	23748324	23748333	-	0.000	0.000	Merged-chr17-23748319-15
NR1151--MA0690.1.TBX21	chr19	40665958	40665967	+	0.000	0.000	Merged-chr19-40666029-20
NR211--MA0690.1.TBX21	chr10	8415278	8415287	-	0.000	0.000	Merged-chr10-8415419-33
NR726--MA0690.1.TBX21	chr14	64628283	64628292	+	0.000	0.000	Merged-chr14-64628307-21
NR1079--MA0690.1.TBX21	chr18	65189351	65189360	+	0.000	0.000	Merged-chr18-65189388-18
NR896--MA0690.1.TBX21	chr16	44497277	44497286	+	0.000	0.000	Merged-chr16-44497186-22
NR482--MA0690.1.TBX21	chr12	21226478	21226487	+	0.000	0.000	Merged-chr12-21226464-17
NR2192--MA0690.1.TBX21	chr8	122430451	122430460	+	0.000	0.000	Merged-chr8-122430402-7
NR779--MA0690.1.TBX21	chr15	5762407	5762416	+	0.000	0.000	Merged-chr15-5762586-40
NR888--MA0690.1.TBX21	chr16	35055325	35055334	-	0.000	0.000	Merged-chr16-35055168-21
NR2280--MA0690.1.TBX21	chr9	78593264	78593273	+	0.000	0.000	Merged-chr9-78593326-11
NR323--MA0690.1.TBX21	chr10	117969969	117969978	+	0.000	0.000	Merged-chr10-117970017-9
NR2264--MA0690.1.TBX21	chr9	61754045	61754054	-	0.000	0.000	Merged-chr9-61753912-30
