#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed
NR60204--MA0741.1.KLF16	chr7	80032535	80032545	+	0.000	0.000	Merged-chr7-80032517-2
NR35920--MA0599.1.KLF5	chr2	29820464	29820473	+	0.000	0.000	Merged-chr2-29820454-25
NR42232--MA1107.1.KLF9	chr3	79178356	79178368	+	0.000	0.000	Merged-chr3-79178280-26
NR6320--MA0599.1.KLF5	chr10	42849028	42849037	-	0.000	0.000	Merged-chr10-42848913-29
NR6322--MA0741.1.KLF16	chr10	42849025	42849035	-	0.000	0.000	Merged-chr10-42848913-29
NR60207--MA0741.1.KLF16	chr7	80032538	80032548	+	0.000	0.000	Merged-chr7-80032517-2
NR42231--MA0493.1.Klf1	chr3	79178356	79178366	+	0.000	0.000	Merged-chr3-79178280-26
NR35922--MA0741.1.KLF16	chr2	29820464	29820474	+	0.000	0.000	Merged-chr2-29820454-25
NR9554--MA0599.1.KLF5	chr10	128673569	128673578	-	0.000	0.000	Merged-chr10-128673425-1
NR6319--MA0740.1.KLF14	chr10	42849025	42849038	-	0.000	0.000	Merged-chr10-42848913-29
NR6321--MA0493.1.Klf1	chr10	42849028	42849038	-	0.000	0.000	Merged-chr10-42848913-29
NR60211--MA0741.1.KLF16	chr7	80032542	80032552	+	0.000	0.000	Merged-chr7-80032517-2
NR6323--MA0741.1.KLF16	chr10	42849027	42849037	-	0.000	0.000	Merged-chr10-42848913-29
NR60206--MA0741.1.KLF16	chr7	80032537	80032547	+	0.000	0.000	Merged-chr7-80032517-2
NR35921--MA0741.1.KLF16	chr2	29820461	29820471	+	0.000	0.000	Merged-chr2-29820454-25
NR60209--MA0741.1.KLF16	chr7	80032540	80032550	+	0.000	0.000	Merged-chr7-80032517-2
NR6324--MA1107.1.KLF9	chr10	42849026	42849038	-	0.000	0.000	Merged-chr10-42848913-29
NR60210--MA0741.1.KLF16	chr7	80032541	80032551	+	0.000	0.000	Merged-chr7-80032517-2
NR42426--MA0599.1.KLF5	chr3	87960961	87960970	+	0.000	0.000	Merged-chr3-87960988-36
NR60205--MA0741.1.KLF16	chr7	80032536	80032546	+	0.000	0.000	Merged-chr7-80032517-2
NR37184--MA0039.3.KLF4	chr2	71810233	71810243	+	0.000	0.000	Merged-chr2-71810145-53
NR60208--MA0741.1.KLF16	chr7	80032539	80032549	+	0.000	0.000	Merged-chr7-80032517-2
NR60203--MA0740.1.KLF14	chr7	80032534	80032547	+	0.000	0.000	Merged-chr7-80032517-2
NR42230--MA0599.1.KLF5	chr3	79178357	79178366	+	0.000	0.000	Merged-chr3-79178280-26
NR42427--MA0493.1.Klf1	chr3	87960960	87960970	+	0.000	0.000	Merged-chr3-87960988-36
