#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_dn.bed
NR921--MA0002.2.RUNX1	chr10	20119533	20119543	-	0.000	0.000	Merged-chr10-20119637-31
NR315--MA0002.2.RUNX1	chr1	97623608	97623618	+	0.000	0.000	Merged-chr1-97623545-45
NR9382--MA0684.1.RUNX3	chr7	99794243	99794252	-	0.000	0.000	Merged-chr7-99794311-17
NR3123--MA0684.1.RUNX3	chr13	113549211	113549220	-	0.000	0.000	Merged-chr13-113549207-25
NR3646--MA0684.1.RUNX3	chr15	34356866	34356875	+	0.000	0.000	Merged-chr15-34356866-8
NR10797--MA0002.2.RUNX1	chr9	121682307	121682317	-	0.000	0.000	Merged-chr9-121682469-52
NR8--MA0002.2.RUNX1	chr1	7095993	7096003	+	0.000	0.000	Merged-chr1-7096130-35
NR3446--MA0511.2.RUNX2	chr14	77742008	77742016	+	0.000	0.000	Merged-chr14-77742060-11
NR2997--MA0002.2.RUNX1	chr13	96555356	96555366	+	0.000	0.000	Merged-chr13-96555289-36
NR6561--MA0684.1.RUNX3	chr3	79504697	79504706	-	0.000	0.000	Merged-chr3-79504650-9
NR10497--MA0002.2.RUNX1	chr9	80266694	80266704	+	0.000	0.000	Merged-chr9-80266579-55
NR10483--MA0684.1.RUNX3	chr9	78593272	78593281	+	0.000	0.000	Merged-chr9-78593326-11
NR4181--MA0002.2.RUNX1	chr16	43697977	43697987	-	0.000	0.000	Merged-chr16-43697975-3
NR2772--MA0002.2.RUNX1	chr13	41346054	41346064	-	0.000	0.000	Merged-chr13-41345949-16
NR4--MA0511.2.RUNX2	chr1	6467288	6467296	-	0.000	0.000	Merged-chr1-6467226-38
NR6693--MA0511.2.RUNX2	chr3	108737883	108737891	-	0.000	0.000	Merged-chr3-108737869-29
NR9711--MA0002.2.RUNX1	chr7	142396753	142396763	+	0.000	0.000	Merged-chr7-142396800-18
NR1976--MA0002.2.RUNX1	chr11	108088370	108088380	-	0.000	0.000	Merged-chr11-108088190-36
NR8677--MA0684.1.RUNX3	chr6	114934410	114934419	+	0.000	0.000	Merged-chr6-114934394-6
NR1145--MA0002.2.RUNX1	chr10	76802235	76802245	+	0.000	0.000	Merged-chr10-76802342-40
NR4839--MA0684.1.RUNX3	chr17	86779459	86779468	+	0.000	0.000	Merged-chr17-86779381-46
