#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Lef1/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed
NR2762--MA0768.1.LEF1	chr8	123026115	123026129	-	0.000	0.000	Merged-chr8-123026094-33
NR203--MA0768.1.LEF1	chr1	164888772	164888786	-	0.000	0.000	Merged-chr1-164888737-16
NR1319--MA0768.1.LEF1	chr18	32543278	32543292	-	0.000	0.000	Merged-chr18-32543284-47
NR2767--MA0768.1.LEF1	chr8	126687068	126687082	+	0.000	0.000	Merged-chr8-126687126-29
NR2570--MA0768.1.LEF1	chr7	76229075	76229089	-	0.000	0.000	Merged-chr7-76229137-51
NR2342--MA0768.1.LEF1	chr6	58881113	58881127	+	0.000	0.000	Merged-chr6-58880983-47
NR1042--MA0768.1.LEF1	chr15	79729194	79729208	+	0.000	0.000	Merged-chr15-79729133-34
NR2182--MA0768.1.LEF1	chr5	52125950	52125964	-	0.000	0.000	Merged-chr5-52126006-25
NR2818--MA0768.1.LEF1	chr9	66492611	66492625	-	0.000	0.000	Merged-chr9-66492510-30
NR196--MA0768.1.LEF1	chr1	161480189	161480203	-	0.000	0.000	Merged-chr1-161480099-19
NR863--MA0768.1.LEF1	chr14	48427649	48427663	-	0.000	0.000	Merged-chr14-48427656-16
NR505--MA0768.1.LEF1	chr11	111056295	111056309	+	0.000	0.000	Merged-chr11-111056370-11
NR1321--MA0768.1.LEF1	chr18	32598283	32598297	+	0.000	0.000	Merged-chr18-32598271-33
NR2626--MA0768.1.LEF1	chr7	127189193	127189207	+	0.000	0.000	Merged-chr7-127189025-89
NR2886--MA0768.1.LEF1	chr9	116187522	116187536	-	0.000	0.000	Merged-chr9-116187633-9
NR555--MA0768.1.LEF1	chr12	41167986	41168000	-	0.000	0.000	Merged-chr12-41167989-46
NR1241--MA0768.1.LEF1	chr17	47171261	47171275	-	0.000	0.000	Merged-chr17-47171280-54
NR1362--MA0768.1.LEF1	chr18	61188287	61188301	-	0.000	0.000	Merged-chr18-61188282-36
NR2825--MA0768.1.LEF1	chr9	72660362	72660376	-	0.000	0.000	Merged-chr9-72660303-37
NR1561--MA0768.1.LEF1	chr2	102044477	102044491	+	0.000	0.000	Merged-chr2-102044515-18
NR2311--MA0768.1.LEF1	chr6	33683674	33683688	-	0.000	0.000	Merged-chr6-33683719-46
NR562--MA0768.1.LEF1	chr12	41844234	41844248	+	0.000	0.000	Merged-chr12-41844052-32
NR1584--MA0768.1.LEF1	chr2	120502274	120502288	+	0.000	0.000	Merged-chr2-120502347-30
NR482--MA0768.1.LEF1	chr11	63146799	63146813	-	0.000	0.000	Merged-chr11-63146790-18
NR1383--MA0768.1.LEF1	chr18	75374206	75374220	-	0.000	0.000	Merged-chr18-75374196-25
NR1630--MA0768.1.LEF1	chr2	150578758	150578772	-	0.000	0.000	Merged-chr2-150578789-44
NR506--MA0768.1.LEF1	chr11	113174335	113174349	-	0.000	0.000	Merged-chr11-113174221-33
NR2609--MA0768.1.LEF1	chr7	109951564	109951578	-	0.000	0.000	Merged-chr7-109951636-55
NR1649--MA0768.1.LEF1	chr2	164534495	164534509	-	0.000	0.000	Merged-chr2-164534526-17
NR999--MA0768.1.LEF1	chr15	39913586	39913600	-	0.000	0.000	Merged-chr15-39913439-55
NR1242--MA0768.1.LEF1	chr17	48318939	48318953	+	0.000	0.000	Merged-chr17-48318964-29
NR2319--MA0768.1.LEF1	chr6	41113489	41113503	+	0.000	0.000	Merged-chr6-41113305-59
NR1395--MA0768.1.LEF1	chr18	82607534	82607548	+	0.000	0.000	Merged-chr18-82607647-23
