#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tbx21/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed
NR368--MA0690.1.TBX21	chr11	99099208	99099217	+	0.000	0.000	Merged-chr11-99099093-22
NR892--MA0690.1.TBX21	chr17	47171340	47171349	+	0.000	0.000	Merged-chr17-47171280-54
NR632--MA0690.1.TBX21	chr14	59553395	59553404	+	0.000	0.000	Merged-chr14-59553394-22
NR903--MA0690.1.TBX21	chr17	66074026	66074035	+	0.000	0.000	Merged-chr17-66074199-45
NR1046--MA0690.1.TBX21	chr19	53760526	53760535	+	0.000	0.000	Merged-chr19-53760542-10
NR1277--MA0690.1.TBX21	chr3	89906194	89906203	-	0.000	0.000	Merged-chr3-89906356-37
NR84--MA0690.1.TBX21	chr1	136600956	136600965	-	0.000	0.000	Merged-chr1-136600909-41
NR948--MA0690.1.TBX21	chr18	32598387	32598396	-	0.000	0.000	Merged-chr18-32598271-33
NR786--MA0690.1.TBX21	chr16	23308242	23308251	-	0.000	0.000	Merged-chr16-23308226-35
NR1328--MA0690.1.TBX21	chr3	142533283	142533292	+	0.000	0.000	Merged-chr3-142533345-44
NR845--MA0690.1.TBX21	chr16	95999446	95999455	+	0.000	0.000	Merged-chr16-95999409-48
NR301--MA0690.1.TBX21	chr11	48926880	48926889	-	0.000	0.000	Merged-chr11-48927051-20
NR1089--MA0690.1.TBX21	chr2	29753035	29753044	-	0.000	0.000	Merged-chr2-29753036-13
NR131--MA0690.1.TBX21	chr1	174041076	174041085	-	0.000	0.000	Merged-chr1-174041007-47
NR2112--MA0690.1.TBX21	chrX	159447265	159447274	-	0.000	0.000	Merged-chrX-159447377-17
NR428--MA0690.1.TBX21	chr12	69102085	69102094	+	0.000	0.000	Merged-chr12-69102156-32
NR266--MA0690.1.TBX21	chr10	119083643	119083652	+	0.000	0.000	Merged-chr10-119083697-27
NR1632--MA0690.1.TBX21	chr6	73255031	73255040	+	0.000	0.000	Merged-chr6-73255048-51
NR2109--MA0690.1.TBX21	chrX	134804501	134804510	-	0.000	0.000	Merged-chrX-134804510-14
NR1324--MA0690.1.TBX21	chr3	137954535	137954544	+	0.000	0.000	Merged-chr3-137954430-54
NR1284--MA0690.1.TBX21	chr3	95909423	95909432	-	0.000	0.000	Merged-chr3-95909537-31
NR1948--MA0690.1.TBX21	chr8	128643073	128643082	-	0.000	0.000	Merged-chr8-128643198-31
NR1505--MA0690.1.TBX21	chr5	89045090	89045099	-	0.000	0.000	Merged-chr5-89044916-44
