#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tbx21/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed
NR1511--MA0690.1.TBX21	chr7	135598599	135598608	+	0.000	0.000	Merged-chr7-135598633-32
NR980--MA0690.1.TBX21	chr2	180256377	180256386	+	0.000	0.000	Merged-chr2-180256201-1
NR903--MA0690.1.TBX21	chr2	104172903	104172912	+	0.000	0.000	Merged-chr2-104172938-49
NR1607--MA0690.1.TBX21	chr9	21455339	21455348	-	0.000	0.000	Merged-chr9-21455385-20
NR303--MA0690.1.TBX21	chr12	17511235	17511244	+	0.000	0.000	Merged-chr12-17511273-48
NR284--MA0690.1.TBX21	chr11	90257389	90257398	-	0.000	0.000	Merged-chr11-90257307-51
NR1044--MA0690.1.TBX21	chr3	86961129	86961138	+	0.000	0.000	Merged-chr3-86961231-31
NR263--MA0690.1.TBX21	chr11	32139733	32139742	-	0.000	0.000	Merged-chr11-32139668-21
NR1089--MA0690.1.TBX21	chr3	142533283	142533292	+	0.000	0.000	Merged-chr3-142533345-44
NR1502--MA0690.1.TBX21	chr7	121059573	121059582	-	0.000	0.000	Merged-chr7-121059708-48
NR1101--MA0690.1.TBX21	chr3	152886788	152886797	-	0.000	0.000	Merged-chr3-152886887-20
NR703--MA0690.1.TBX21	chr16	95999446	95999455	+	0.000	0.000	Merged-chr16-95999409-48
NR1619--MA0690.1.TBX21	chr9	44691793	44691802	+	0.000	0.000	Merged-chr9-44691735-2
NR804--MA0690.1.TBX21	chr18	62151883	62151892	-	0.000	0.000	Merged-chr18-62151803-40
NR1659--MA0690.1.TBX21	chr9	107334440	107334449	-	0.000	0.000	Merged-chr9-107334469-86
NR531--MA0690.1.TBX21	chr14	78307336	78307345	-	0.000	0.000	Merged-chr14-78307471-124
NR958--MA0690.1.TBX21	chr2	150578690	150578699	-	0.000	0.000	Merged-chr2-150578789-44
NR557--MA0690.1.TBX21	chr14	120313615	120313624	-	0.000	0.000	Merged-chr14-120313531-118
NR666--MA0690.1.TBX21	chr16	37094606	37094615	+	0.000	0.000	Merged-chr16-37094405-73
NR252--MA0690.1.TBX21	chr11	6324414	6324423	-	0.000	0.000	Merged-chr11-6324359-18
NR475--MA0690.1.TBX21	chr13	111656016	111656025	-	0.000	0.000	Merged-chr13-111655949-74
NR1416--MA0690.1.TBX21	chr6	144922953	144922962	+	0.000	0.000	Merged-chr6-144923057-24
NR1254--MA0690.1.TBX21	chr5	64662588	64662597	+	0.000	0.000	Merged-chr5-64662440-49
NR1124--MA0690.1.TBX21	chr4	32423924	32423933	+	0.000	0.000	Merged-chr4-32423825-17
NR1427--MA0690.1.TBX21	chr7	4948533	4948542	-	0.000	0.000	Merged-chr7-4948568-26
NR516--MA0690.1.TBX21	chr14	53991545	53991554	+	0.000	0.000	Merged-chr14-53991550-13
NR455--MA0690.1.TBX21	chr13	101533205	101533214	+	0.000	0.000	Merged-chr13-101533206-46
NR1196--MA0690.1.TBX21	chr4	145319385	145319394	+	0.000	0.000	Merged-chr4-145319470-38
NR569--MA0690.1.TBX21	chr15	6726740	6726749	-	0.000	0.000	Merged-chr15-6726597-28
NR235--MA0690.1.TBX21	chr10	119031129	119031138	-	0.000	0.000	Merged-chr10-119031155-35
NR737--MA0690.1.TBX21	chr17	47171340	47171349	+	0.000	0.000	Merged-chr17-47171280-54
