#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Lef1/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed
NR2342--MA0768.1.LEF1	chr6	58881113	58881127	+	0.000	0.000	Merged-chr6-58880983-47
NR863--MA0768.1.LEF1	chr14	48427649	48427663	-	0.000	0.000	Merged-chr14-48427656-16
NR185--MA0768.1.LEF1	chr1	152253951	152253965	+	0.000	0.000	Merged-chr1-152254014-57
NR421--MA0768.1.LEF1	chr10	120193465	120193479	+	0.000	0.000	Merged-chr10-120193454-50
NR1242--MA0768.1.LEF1	chr17	48318939	48318953	+	0.000	0.000	Merged-chr17-48318964-29
NR1247--MA0768.1.LEF1	chr17	51789452	51789466	+	0.000	0.000	Merged-chr17-51789354-14
NR1395--MA0768.1.LEF1	chr18	82607534	82607548	+	0.000	0.000	Merged-chr18-82607647-23
NR2862--MA0768.1.LEF1	chr9	95315389	95315403	-	0.000	0.000	Merged-chr9-95315222-46
NR2584--MA0768.1.LEF1	chr7	88206950	88206964	+	0.000	0.000	Merged-chr7-88206806-101
NR952--MA0768.1.LEF1	chr14	121478315	121478329	+	0.000	0.000	Merged-chr14-121478313-77
NR2489--MA0768.1.LEF1	chr7	15949534	15949548	+	0.000	0.000	Merged-chr7-15949519-32
NR866--MA0768.1.LEF1	chr14	54061806	54061820	-	0.000	0.000	Merged-chr14-54061633-25
NR2316--MA0768.1.LEF1	chr6	35462667	35462681	-	0.000	0.000	Merged-chr6-35462751-23
NR1244--MA0768.1.LEF1	chr17	50025404	50025418	+	0.000	0.000	Merged-chr17-50025514-42
NR227--MA0768.1.LEF1	chr1	180410464	180410478	-	0.000	0.000	Merged-chr1-180410391-12
NR286--MA0768.1.LEF1	chr10	19504574	19504588	+	0.000	0.000	Merged-chr10-19504569-39
NR2926--MA0768.1.LEF1	chrX	113084363	113084377	+	0.000	0.000	Merged-chrX-113084391-25
NR305--MA0768.1.LEF1	chr10	34117965	34117979	-	0.000	0.000	Merged-chr10-34117997-36
NR2592--MA0768.1.LEF1	chr7	92420466	92420480	-	0.000	0.000	Merged-chr7-92420666-38
NR2243--MA0768.1.LEF1	chr5	105010601	105010615	+	0.000	0.000	Merged-chr5-105010527-49
NR1517--MA0768.1.LEF1	chr2	60774709	60774723	+	0.000	0.000	Merged-chr2-60774747-55
NR2755--MA0768.1.LEF1	chr8	116645573	116645587	-	0.000	0.000	Merged-chr8-116645599-31
NR536--MA0768.1.LEF1	chr12	25256494	25256508	+	0.000	0.000	Merged-chr12-25256439-11
NR228--MA0768.1.LEF1	chr1	180410472	180410486	-	0.000	0.000	Merged-chr1-180410391-12
