#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/Bcl6KO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.05_dn.bed
NR7185--MA0002.2.RUNX1	chr4	145341930	145341940	-	0.000	0.000	Merged-chr4-145342099-62
NR743--MA0002.2.RUNX1	chr1	189499858	189499868	-	0.000	0.000	Merged-chr1-189499965-39
NR2817--MA0002.2.RUNX1	chr13	94144819	94144829	+	0.000	0.000	Merged-chr13-94144726-31
NR221--MA0511.2.RUNX2	chr1	78537715	78537723	+	0.000	0.000	Merged-chr1-78537773-101
NR5990--MA0002.2.RUNX1	chr2	163131035	163131045	-	0.000	0.000	Merged-chr2-163131105-39
NR2348--MA0511.2.RUNX2	chr12	110381330	110381338	-	0.000	0.000	Merged-chr12-110381552-59
NR2349--MA0684.1.RUNX3	chr12	110381329	110381338	-	0.000	0.000	Merged-chr12-110381552-59
NR223--MA0684.1.RUNX3	chr1	78537715	78537724	+	0.000	0.000	Merged-chr1-78537773-101
NR2774--MA0511.2.RUNX2	chr13	84769189	84769197	-	0.000	0.000	Merged-chr13-84769190-19
NR2775--MA0684.1.RUNX3	chr13	84769188	84769197	-	0.000	0.000	Merged-chr13-84769190-19
NR7186--MA0684.1.RUNX3	chr4	145341930	145341939	+	0.000	0.000	Merged-chr4-145342099-62
NR222--MA0002.2.RUNX1	chr1	78537715	78537725	-	0.000	0.000	Merged-chr1-78537773-101
NR2818--MA0684.1.RUNX3	chr13	94144820	94144829	-	0.000	0.000	Merged-chr13-94144726-31
NR1192--MA0002.2.RUNX1	chr10	86795037	86795047	+	0.000	0.000	Merged-chr10-86794881-42
NR2810--MA0002.2.RUNX1	chr13	92722551	92722561	+	0.000	0.000	Merged-chr13-92722597-29
NR4471--MA0002.2.RUNX1	chr17	52468606	52468616	-	0.000	0.000	Merged-chr17-52468640-52
NR5028--MA0002.2.RUNX1	chr18	89627025	89627035	-	0.000	0.000	Merged-chr18-89627032-39
NR2816--MA0511.2.RUNX2	chr13	94144821	94144829	-	0.000	0.000	Merged-chr13-94144726-31
NR3711--MA0002.2.RUNX1	chr15	85233150	85233160	-	0.000	0.000	Merged-chr15-85233310-62
NR7926--MA0002.2.RUNX1	chr6	30657537	30657547	-	0.000	0.000	Merged-chr6-30657423-39
