#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed
NR2218--MA0769.1.Tcf7	chr16	45261682	45261693	+	0.000	0.000	Merged-chr16-45261551-46
NR2657--MA0523.1.TCF7L2	chr18	61614574	61614587	+	0.000	0.000	Merged-chr18-61614590-32
NR4738--MA0769.1.Tcf7	chr7	16001894	16001905	+	0.000	0.000	Merged-chr7-16001989-41
NR687--MA0523.1.TCF7L2	chr10	96691169	96691182	-	0.000	0.000	Merged-chr10-96691005-66
NR5375--MA0523.1.TCF7L2	chr9	42159039	42159052	+	0.000	0.000	Merged-chr9-42158908-46
NR5631--MA0769.1.Tcf7	chr9	118285718	118285729	-	0.000	0.000	Merged-chr9-118285683-37
NR1140--MA0523.1.TCF7L2	chr12	17726667	17726680	-	0.000	0.000	Merged-chr12-17726607-38
NR3064--MA0523.1.TCF7L2	chr2	91835180	91835193	-	0.000	0.000	Merged-chr2-91835374-51
NR4349--MA0523.1.TCF7L2	chr6	17851329	17851342	+	0.000	0.000	Merged-chr6-17851443-16
NR4989--MA0523.1.TCF7L2	chr7	123354475	123354488	+	0.000	0.000	Merged-chr7-123354508-1
NR4227--MA1421.1.TCF7L1	chr5	111200342	111200353	-	0.000	0.000	Merged-chr5-111200479-33
NR2627--MA0523.1.TCF7L2	chr18	46381184	46381197	+	0.000	0.000	Merged-chr18-46381195-31
NR2579--MA0523.1.TCF7L2	chr18	6106798	6106811	+	0.000	0.000	Merged-chr18-6106813-28
NR524--MA0769.1.Tcf7	chr10	30570577	30570588	+	0.000	0.000	Merged-chr10-30570499-22
NR1425--MA0769.1.Tcf7	chr13	8458069	8458080	+	0.000	0.000	Merged-chr13-8458004-23
NR2023--MA1421.1.TCF7L1	chr15	65810845	65810856	-	0.000	0.000	Merged-chr15-65810890-18
NR381--MA0523.1.TCF7L2	chr1	173432611	173432624	-	0.000	0.000	Merged-chr1-173432561-56
NR2625--MA1421.1.TCF7L1	chr18	46181992	46182003	+	0.000	0.000	Merged-chr18-46182052-26
NR3249--MA0523.1.TCF7L2	chr2	157746722	157746735	+	0.000	0.000	Merged-chr2-157746803-36
NR1927--MA0523.1.TCF7L2	chr15	9533555	9533568	+	0.000	0.000	Merged-chr15-9533546-44
NR5140--MA0769.1.Tcf7	chr8	56443932	56443943	-	0.000	0.000	Merged-chr8-56443904-53
NR4043--MA0523.1.TCF7L2	chr5	22587657	22587670	-	0.000	0.000	Merged-chr5-22587622-39
NR3236--MA0523.1.TCF7L2	chr2	151944250	151944263	+	0.000	0.000	Merged-chr2-151944383-43
NR1914--MA0523.1.TCF7L2	chr14	122952205	122952218	-	0.000	0.000	Merged-chr14-122951933-82
NR2591--MA0523.1.TCF7L2	chr18	19524573	19524586	-	0.000	0.000	Merged-chr18-19524471-22
NR4683--MA0523.1.TCF7L2	chr6	144333302	144333315	+	0.000	0.000	Merged-chr6-144333219-22
NR217--MA1421.1.TCF7L1	chr1	128794047	128794058	+	0.000	0.000	Merged-chr1-128794102-26
NR4055--MA0769.1.Tcf7	chr5	28402978	28402989	-	0.000	0.000	Merged-chr5-28402904-51
NR5239--MA0769.1.Tcf7	chr8	115136851	115136862	-	0.000	0.000	Merged-chr8-115136921-34
NR3055--MA0523.1.TCF7L2	chr2	85224477	85224490	+	0.000	0.000	Merged-chr2-85224623-28
NR1830--MA1421.1.TCF7L1	chr14	70962243	70962254	-	0.000	0.000	Merged-chr14-70962142-29
NR2587--MA0523.1.TCF7L2	chr18	14667173	14667186	-	0.000	0.000	Merged-chr18-14667256-44
NR419--MA1421.1.TCF7L1	chr1	183987878	183987889	+	0.000	0.000	Merged-chr1-183987914-47
NR3425--MA0523.1.TCF7L2	chr3	83997231	83997244	+	0.000	0.000	Merged-chr3-83997240-19
NR382--MA0769.1.Tcf7	chr1	173432613	173432624	-	0.000	0.000	Merged-chr1-173432561-56
NR420--MA0523.1.TCF7L2	chr1	183987878	183987891	+	0.000	0.000	Merged-chr1-183987914-47
NR2027--MA1421.1.TCF7L1	chr15	66998422	66998433	+	0.000	0.000	Merged-chr15-66998486-48
NR878--MA1421.1.TCF7L1	chr11	49722944	49722955	-	0.000	0.000	Merged-chr11-49723086-55
NR4228--MA0523.1.TCF7L2	chr5	111200340	111200353	-	0.000	0.000	Merged-chr5-111200479-33
NR1400--MA0769.1.Tcf7	chr12	116315552	116315563	-	0.000	0.000	Merged-chr12-116315725-53
NR1809--MA1421.1.TCF7L1	chr14	62928379	62928390	-	0.000	0.000	Merged-chr14-62928345-50
NR1727--MA0769.1.Tcf7	chr14	7913984	7913995	-	0.000	0.000	Merged-chr14-7914040-29
NR2029--MA0769.1.Tcf7	chr15	66998422	66998433	+	0.000	0.000	Merged-chr15-66998486-48
NR4578--MA1421.1.TCF7L1	chr6	120206759	120206770	+	0.000	0.000	Merged-chr6-120206801-39
NR549--MA0523.1.TCF7L2	chr10	42888502	42888515	-	0.000	0.000	Merged-chr10-42888420-50
NR3820--MA0523.1.TCF7L2	chr4	95448929	95448942	+	0.000	0.000	Merged-chr4-95449018-19
NR5540--MA1421.1.TCF7L1	chr9	92218022	92218033	+	0.000	0.000	Merged-chr9-92217904-40
NR880--MA0769.1.Tcf7	chr11	49722944	49722955	-	0.000	0.000	Merged-chr11-49723086-55
