#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed
NR33923--MA0493.1.Klf1	chr2	60375320	60375330	-	0.000	0.000	Merged-chr2-60375404-17
NR57107--MA1107.1.KLF9	chr7	116484542	116484554	-	0.000	0.000	Merged-chr7-116484434-42
NR5716--MA1107.1.KLF9	chr10	71399679	71399691	+	0.000	0.000	Merged-chr10-71399794-69
NR50540--MA0599.1.KLF5	chr6	22340138	22340147	-	0.000	0.000	Merged-chr6-22340067-27
NR44623--MA0599.1.KLF5	chr4	140833017	140833026	-	0.000	0.000	Merged-chr4-140833040-18
NR1361--MA0657.1.KLF13	chr1	88708257	88708274	+	0.000	0.000	Merged-chr1-88708373-21
NR16018--MA0599.1.KLF5	chr13	44507199	44507208	+	0.000	0.000	Merged-chr13-44507226-54
NR37409--MA0741.1.KLF16	chr2	173449002	173449012	+	0.000	0.000	Merged-chr2-173448878-59
NR15837--MA0599.1.KLF5	chr13	36369642	36369651	+	0.000	0.000	Merged-chr13-36369600-5
NR38724--MA0599.1.KLF5	chr3	86961190	86961199	-	0.000	0.000	Merged-chr3-86961231-31
NR46615--MA0740.1.KLF14	chr5	63943573	63943586	-	0.000	0.000	Merged-chr5-63943362-36
NR22032--MA0741.1.KLF16	chr15	80192525	80192535	+	0.000	0.000	Merged-chr15-80192413-58
NR44287--MA0493.1.Klf1	chr4	136140416	136140426	+	0.000	0.000	Merged-chr4-136140503-4
NR54685--MA0599.1.KLF5	chr7	24482004	24482013	-	0.000	0.000	Merged-chr7-24481860-36
NR23132--MA0742.1.Klf12	chr15	100060746	100060760	+	0.000	0.000	Merged-chr15-100060928-68
NR61660--MA0493.1.Klf1	chr8	128420724	128420734	+	0.000	0.000	Merged-chr8-128420826-46
NR17685--MA0493.1.Klf1	chr13	108100601	108100611	+	0.000	0.000	Merged-chr13-108100820-31
NR17327--MA0493.1.Klf1	chr13	99781082	99781092	-	0.000	0.000	Merged-chr13-99781144-21
NR58665--MA0742.1.Klf12	chr8	15018751	15018765	+	0.000	0.000	Merged-chr8-15018606-116
NR14719--MA0039.3.KLF4	chr12	109445245	109445255	+	0.000	0.000	Merged-chr12-109445419-17
NR62642--MA1107.1.KLF9	chr9	50512120	50512132	-	0.000	0.000	Merged-chr9-50512107-7
NR56510--MA1107.1.KLF9	chr7	98797413	98797425	-	0.000	0.000	Merged-chr7-98797577-28
NR66069--MA0740.1.KLF14	chrX	57185035	57185048	+	0.000	0.000	Merged-chrX-57185087-24
NR10538--MA0741.1.KLF16	chr11	85407803	85407813	+	0.000	0.000	Merged-chr11-85407928-27
NR14527--MA1107.1.KLF9	chr12	106016399	106016411	-	0.000	0.000	Merged-chr12-106016418-37
NR1854--MA1107.1.KLF9	chr1	127796457	127796469	-	0.000	0.000	Merged-chr1-127796546-56
NR28174--MA0741.1.KLF16	chr17	74864999	74865009	-	0.000	0.000	Merged-chr17-74864979-18
NR39092--MA0741.1.KLF16	chr3	95673115	95673125	+	0.000	0.000	Merged-chr3-95672932-76
NR41954--MA0599.1.KLF5	chr4	42866051	42866060	+	0.000	0.000	Merged-chr4-42865977-16
NR1421--MA0599.1.KLF5	chr1	91831310	91831319	+	0.000	0.000	Merged-chr1-91831329-12
NR45848--MA0599.1.KLF5	chr5	23413835	23413844	+	0.000	0.000	Merged-chr5-23413835-21
NR24106--MA0493.1.Klf1	chr16	24834894	24834904	+	0.000	0.000	Merged-chr16-24834930-16
NR61657--MA0742.1.Klf12	chr8	128420724	128420738	+	0.000	0.000	Merged-chr8-128420826-46
