#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed
NR3296--MA0523.1.TCF7L2	chr15	94235388	94235401	-	0.000	0.000	Merged-chr15-94235397-15
NR817--MA0523.1.TCF7L2	chr10	25918280	25918293	+	0.000	0.000	Merged-chr10-25918351-16
NR8705--MA0523.1.TCF7L2	chr9	65084567	65084580	-	0.000	0.000	Merged-chr9-65084631-10
NR5501--MA0769.1.Tcf7	chr3	59277951	59277962	+	0.000	0.000	Merged-chr3-59277984-20
NR3666--MA0769.1.Tcf7	chr16	91413339	91413350	+	0.000	0.000	Merged-chr16-91413429-37
NR5434--MA1421.1.TCF7L1	chr3	28318055	28318066	-	0.000	0.000	Merged-chr3-28318064-9
NR2438--MA0523.1.TCF7L2	chr13	92639029	92639042	-	0.000	0.000	Merged-chr13-92639220-17
NR2491--MA1421.1.TCF7L1	chr13	103357027	103357038	-	0.000	0.000	Merged-chr13-103356902-29
NR5215--MA1421.1.TCF7L1	chr2	150130342	150130353	+	0.000	0.000	Merged-chr2-150130462-1
NR3725--MA1421.1.TCF7L1	chr17	3246828	3246839	+	0.000	0.000	Merged-chr17-3246798-10
NR7020--MA0523.1.TCF7L2	chr5	149459345	149459358	+	0.000	0.000	Merged-chr5-149459249-24
NR3456--MA0769.1.Tcf7	chr16	32972828	32972839	-	0.000	0.000	Merged-chr16-32972762-21
NR5421--MA0769.1.Tcf7	chr3	21809910	21809921	+	0.000	0.000	Merged-chr3-21809864-17
NR3376--MA1421.1.TCF7L1	chr16	10669094	10669105	-	0.000	0.000	Merged-chr16-10669015-79
NR6502--MA0769.1.Tcf7	chr4	149854387	149854398	-	0.000	0.000	Merged-chr4-149854542-67
NR5766--MA0769.1.Tcf7	chr3	115933847	115933858	-	0.000	0.000	Merged-chr3-115933714-29
NR5358--MA0523.1.TCF7L2	chr2	174612773	174612786	-	0.000	0.000	Merged-chr2-174612913-27
NR825--MA0523.1.TCF7L2	chr10	26879379	26879392	+	0.000	0.000	Merged-chr10-26879299-36
NR2364--MA0523.1.TCF7L2	chr13	73772886	73772899	+	0.000	0.000	Merged-chr13-73772920-55
NR4060--MA0523.1.TCF7L2	chr18	24237172	24237185	+	0.000	0.000	Merged-chr18-24237197-17
NR4104--MA0523.1.TCF7L2	chr18	38701109	38701122	+	0.000	0.000	Merged-chr18-38700911-27
NR3394--MA0769.1.Tcf7	chr16	15910370	15910381	+	0.000	0.000	Merged-chr16-15910429-9
NR2631--MA0769.1.Tcf7	chr14	15273333	15273344	-	0.000	0.000	Merged-chr14-15273135-43
