#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_dn.bed
NR2936--MA0035.3.Gata1	chr17	5798686	5798696	-	0.000	0.000	Merged-chr17-5798527-14
NR617--MA0766.1.GATA5	chr1	191803663	191803670	-	0.000	0.000	Merged-chr1-191803516-12
NR6195--MA0036.3.GATA2	chr7	114616934	114616944	-	0.000	0.000	Merged-chr7-114616980-17
NR7060--MA0140.2.GATA1::TAL1	chr9	120057222	120057239	-	0.000	0.000	Merged-chr9-120057282-6
NR3608--MA0036.3.GATA2	chr19	41339337	41339347	-	0.000	0.000	Merged-chr19-41339315-54
NR2894--MA0766.1.GATA5	chr16	92443694	92443701	-	0.000	0.000	Merged-chr16-92443749-37
NR1246--MA0035.3.Gata1	chr11	87760741	87760751	-	0.000	0.000	Merged-chr11-87760646-1
NR792--MA0035.3.Gata1	chr10	68540789	68540799	+	0.000	0.000	Merged-chr10-68540864-1
NR2935--MA0035.3.Gata1	chr17	5798609	5798619	-	0.000	0.000	Merged-chr17-5798527-14
NR2895--MA0035.3.Gata1	chr16	92443693	92443703	+	0.000	0.000	Merged-chr16-92443749-37
NR790--MA1104.1.GATA6	chr10	68540788	68540800	-	0.000	0.000	Merged-chr10-68540864-1
NR2627--MA0035.3.Gata1	chr15	93298391	93298401	+	0.000	0.000	Merged-chr15-93298411-30
NR117--MA0140.2.GATA1::TAL1	chr1	82836638	82836655	-	0.000	0.000	Merged-chr1-82836652-59
NR7059--MA0036.3.GATA2	chr9	120057231	120057241	-	0.000	0.000	Merged-chr9-120057282-6
NR6196--MA0766.1.GATA5	chr7	114616936	114616943	+	0.000	0.000	Merged-chr7-114616980-17
NR833--MA0140.2.GATA1::TAL1	chr10	81194175	81194192	-	0.000	0.000	Merged-chr10-81194350-49
NR6197--MA0035.3.Gata1	chr7	114616934	114616944	-	0.000	0.000	Merged-chr7-114616980-17
NR3512--MA0035.3.Gata1	chr19	10816013	10816023	+	0.000	0.000	Merged-chr19-10816124-38
NR2891--MA0482.1.Gata4	chr16	92443694	92443704	+	0.000	0.000	Merged-chr16-92443749-37
NR791--MA0036.3.GATA2	chr10	68540789	68540799	+	0.000	0.000	Merged-chr10-68540864-1
NR2892--MA1104.1.GATA6	chr16	92443692	92443704	-	0.000	0.000	Merged-chr16-92443749-37
NR1245--MA0482.1.Gata4	chr11	87760740	87760750	-	0.000	0.000	Merged-chr11-87760646-1
NR616--MA0036.3.GATA2	chr1	191803662	191803672	+	0.000	0.000	Merged-chr1-191803516-12
NR2890--MA0037.3.GATA3	chr16	92443694	92443701	-	0.000	0.000	Merged-chr16-92443749-37
NR6193--MA0482.1.Gata4	chr7	114616933	114616943	-	0.000	0.000	Merged-chr7-114616980-17
NR6194--MA1104.1.GATA6	chr7	114616933	114616945	+	0.000	0.000	Merged-chr7-114616980-17
NR3511--MA0036.3.GATA2	chr19	10816013	10816023	+	0.000	0.000	Merged-chr19-10816124-38
NR3606--MA0482.1.Gata4	chr19	41339336	41339346	-	0.000	0.000	Merged-chr19-41339315-54
NR5743--MA0482.1.Gata4	chr6	130342155	130342165	+	0.000	0.000	Merged-chr6-130342331-49
NR3609--MA0035.3.Gata1	chr19	41339337	41339347	-	0.000	0.000	Merged-chr19-41339315-54
NR6192--MA0037.3.GATA3	chr7	114616936	114616943	+	0.000	0.000	Merged-chr7-114616980-17
NR3607--MA1104.1.GATA6	chr19	41339336	41339348	+	0.000	0.000	Merged-chr19-41339315-54
NR2893--MA0036.3.GATA2	chr16	92443693	92443703	+	0.000	0.000	Merged-chr16-92443749-37
