#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed
NR58436--MA0657.1.KLF13	chr7	116504217	116504234	+	0.000	0.000	Merged-chr7-116504406-66
NR65398--MA0741.1.KLF16	chr9	94607624	94607634	-	0.000	0.000	Merged-chr9-94607543-65
NR6919--MA0599.1.KLF5	chr10	84440818	84440827	-	0.000	0.000	Merged-chr10-84440807-71
NR51845--MA0599.1.KLF5	chr6	37564039	37564048	+	0.000	0.000	Merged-chr6-37564158-19
NR57932--MA0599.1.KLF5	chr7	102347595	102347604	+	0.000	0.000	Merged-chr7-102347477-20
NR61768--MA0599.1.KLF5	chr8	88668753	88668762	+	0.000	0.000	Merged-chr8-88668862-52
NR14376--MA0741.1.KLF16	chr12	87130510	87130520	+	0.000	0.000	Merged-chr12-87130424-26
NR28255--MA0599.1.KLF5	chr17	73246954	73246963	-	0.000	0.000	Merged-chr17-73247076-30
NR53693--MA0493.1.Klf1	chr6	116682496	116682506	-	0.000	0.000	Merged-chr6-116682504-22
NR60815--MA0741.1.KLF16	chr8	61606944	61606954	+	0.000	0.000	Merged-chr8-61607091-30
NR13441--MA0039.3.KLF4	chr12	33220641	33220651	-	0.000	0.000	Merged-chr12-33220672-27
NR62865--MA0742.1.Klf12	chr8	122769454	122769468	-	0.000	0.000	Merged-chr8-122769435-21
NR4621--MA0657.1.KLF13	chr1	193146632	193146649	-	0.000	0.000	Merged-chr1-193146532-29
NR5631--MA0039.3.KLF4	chr10	58480172	58480182	-	0.000	0.000	Merged-chr10-58480234-23
NR17278--MA0742.1.Klf12	chr13	89521652	89521666	+	0.000	0.000	Merged-chr13-89521757-30
NR34610--MA1107.1.KLF9	chr2	70425765	70425777	+	0.000	0.000	Merged-chr2-70425902-24
NR40093--MA1107.1.KLF9	chr3	101066374	101066386	-	0.000	0.000	Merged-chr3-101066330-34
NR452--MA0741.1.KLF16	chr1	39702701	39702711	-	0.000	0.000	Merged-chr1-39702774-23
NR62869--MA0741.1.KLF16	chr8	122769451	122769461	-	0.000	0.000	Merged-chr8-122769435-21
NR4623--MA0741.1.KLF16	chr1	193146637	193146647	-	0.000	0.000	Merged-chr1-193146532-29
NR23587--MA0740.1.KLF14	chr16	8455398	8455411	+	0.000	0.000	Merged-chr16-8455328-28
