#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.05_dn.bed
NR7139--MA1421.1.TCF7L1	chr5	52610120	52610131	+	0.000	0.000	Merged-chr5-52609918-24
NR4313--MA0769.1.Tcf7	chr18	32543281	32543292	-	0.000	0.000	Merged-chr18-32543284-47
NR4776--MA1421.1.TCF7L1	chr2	11552903	11552914	-	0.000	0.000	Merged-chr2-11552961-1
NR3522--MA1421.1.TCF7L1	chr15	96778434	96778445	+	0.000	0.000	Merged-chr15-96778537-47
NR3196--MA0523.1.TCF7L2	chr15	9533555	9533568	+	0.000	0.000	Merged-chr15-9533546-44
NR7832--MA0769.1.Tcf7	chr6	98632683	98632694	+	0.000	0.000	Merged-chr6-98632758-43
NR4606--MA0523.1.TCF7L2	chr18	89626966	89626979	-	0.000	0.000	Merged-chr18-89627032-39
NR3523--MA0523.1.TCF7L2	chr15	96778434	96778447	+	0.000	0.000	Merged-chr15-96778537-47
NR4312--MA0523.1.TCF7L2	chr18	32543279	32543292	-	0.000	0.000	Merged-chr18-32543284-47
NR7451--MA0523.1.TCF7L2	chr5	140871436	140871449	-	0.000	0.000	Merged-chr5-140871418-38
NR3909--MA0523.1.TCF7L2	chr16	95869617	95869630	+	0.000	0.000	Merged-chr16-95869616-44
NR3910--MA0769.1.Tcf7	chr16	95869617	95869628	+	0.000	0.000	Merged-chr16-95869616-44
NR7450--MA0523.1.TCF7L2	chr5	140871379	140871392	+	0.000	0.000	Merged-chr5-140871418-38
NR4605--MA1421.1.TCF7L1	chr18	89626968	89626979	-	0.000	0.000	Merged-chr18-89627032-39
NR7138--MA1421.1.TCF7L1	chr5	52609941	52609952	+	0.000	0.000	Merged-chr5-52609918-24
NR2851--MA1421.1.TCF7L1	chr14	48226347	48226358	-	0.000	0.000	Merged-chr14-48226336-60
NR9149--MA0523.1.TCF7L2	chr9	70310227	70310240	-	0.000	0.000	Merged-chr9-70310142-32
NR207--MA1421.1.TCF7L1	chr1	64875941	64875952	-	0.000	0.000	Merged-chr1-64875800-12
NR3908--MA1421.1.TCF7L1	chr16	95869617	95869628	+	0.000	0.000	Merged-chr16-95869616-44
NR4607--MA0769.1.Tcf7	chr18	89626968	89626979	-	0.000	0.000	Merged-chr18-89627032-39
NR6879--MA1421.1.TCF7L1	chr4	152124534	152124545	+	0.000	0.000	Merged-chr4-152124599-7
NR3524--MA0769.1.Tcf7	chr15	96778434	96778445	+	0.000	0.000	Merged-chr15-96778537-47
NR2852--MA0769.1.Tcf7	chr14	48226347	48226358	-	0.000	0.000	Merged-chr14-48226336-60
