#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed
NR472--MA0523.1.TCF7L2	chr1	135807747	135807760	+	0.000	0.000	Merged-chr1-135807785-37
NR1865--MA1421.1.TCF7L1	chr12	41167989	41168000	-	0.000	0.000	Merged-chr12-41167989-46
NR1701--MA0769.1.Tcf7	chr11	113206337	113206348	+	0.000	0.000	Merged-chr11-113206318-17
NR4738--MA0769.1.Tcf7	chr2	6622259	6622270	-	0.000	0.000	Merged-chr2-6622331-33
NR2394--MA0523.1.TCF7L2	chr13	73772886	73772899	+	0.000	0.000	Merged-chr13-73772920-55
NR3519--MA1421.1.TCF7L1	chr15	96319541	96319552	-	0.000	0.000	Merged-chr15-96319572-16
NR6815--MA0769.1.Tcf7	chr4	140601320	140601331	+	0.000	0.000	Merged-chr4-140601329-15
NR7139--MA1421.1.TCF7L1	chr5	52610120	52610131	+	0.000	0.000	Merged-chr5-52609918-24
NR7321--MA0523.1.TCF7L2	chr5	97090319	97090332	+	0.000	0.000	Merged-chr5-97090318-20
NR8394--MA0523.1.TCF7L2	chr7	84149083	84149096	-	0.000	0.000	Merged-chr7-84149073-24
NR935--MA0769.1.Tcf7	chr10	30627893	30627904	-	0.000	0.000	Merged-chr10-30627801-15
NR9150--MA0523.1.TCF7L2	chr9	70584886	70584899	-	0.000	0.000	Merged-chr9-70584670-22
NR3474--MA0769.1.Tcf7	chr15	85042792	85042803	-	0.000	0.000	Merged-chr15-85042702-72
NR287--MA0523.1.TCF7L2	chr1	82974138	82974151	+	0.000	0.000	Merged-chr1-82974163-36
NR2268--MA0769.1.Tcf7	chr13	34914828	34914839	-	0.000	0.000	Merged-chr13-34914852-26
NR3868--MA0523.1.TCF7L2	chr16	84972032	84972045	-	0.000	0.000	Merged-chr16-84972104-8
NR5775--MA0769.1.Tcf7	chr3	55660081	55660092	+	0.000	0.000	Merged-chr3-55660012-44
NR8377--MA0523.1.TCF7L2	chr7	79190893	79190906	+	0.000	0.000	Merged-chr7-79190820-25
NR285--MA1421.1.TCF7L1	chr1	82974090	82974101	+	0.000	0.000	Merged-chr1-82974163-36
NR5500--MA0523.1.TCF7L2	chr2	174612773	174612786	-	0.000	0.000	Merged-chr2-174612913-27
NR8204--MA1421.1.TCF7L1	chr7	28606006	28606017	-	0.000	0.000	Merged-chr7-28605979-11
NR6440--MA0769.1.Tcf7	chr4	34429185	34429196	+	0.000	0.000	Merged-chr4-34429163-2
NR7660--MA0769.1.Tcf7	chr6	55256723	55256734	-	0.000	0.000	Merged-chr6-55256807-22
NR2681--MA0769.1.Tcf7	chr14	8608659	8608670	+	0.000	0.000	Merged-chr14-8608793-20
NR6615--MA1421.1.TCF7L1	chr4	86683549	86683560	-	0.000	0.000	Merged-chr4-86683553-15
NR4030--MA0523.1.TCF7L2	chr17	34305137	34305150	-	0.000	0.000	Merged-chr17-34305077-21
NR9397--MA0769.1.Tcf7	chrX	52679290	52679301	-	0.000	0.000	Merged-chrX-52679336-26
NR5244--MA1421.1.TCF7L1	chr2	118008229	118008240	+	0.000	0.000	Merged-chr2-118008176-29
NR1565--MA0523.1.TCF7L2	chr11	52346203	52346216	+	0.000	0.000	Merged-chr11-52346075-2
NR480--MA0769.1.Tcf7	chr1	136618922	136618933	+	0.000	0.000	Merged-chr1-136618798-23
NR9318--MA0523.1.TCF7L2	chr9	113792793	113792806	-	0.000	0.000	Merged-chr9-113792868-32
NR457--MA1421.1.TCF7L1	chr1	131325033	131325044	-	0.000	0.000	Merged-chr1-131325042-10
NR1019--MA0769.1.Tcf7	chr10	50650808	50650819	-	0.000	0.000	Merged-chr10-50650757-16
NR906--MA0769.1.Tcf7	chr10	25387446	25387457	-	0.000	0.000	Merged-chr10-25387454-21
NR214--MA0523.1.TCF7L2	chr1	66987861	66987874	-	0.000	0.000	Merged-chr1-66987794-41
NR7370--MA0769.1.Tcf7	chr5	110274208	110274219	+	0.000	0.000	Merged-chr5-110274346-15
