#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/Bcl6KO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.05_up.bed
NR60382--MA0741.1.KLF16	chr9	21167775	21167785	+	0.000	0.000	Merged-chr9-21167831-1
NR13424--MA1107.1.KLF9	chr12	85632519	85632531	-	0.000	0.000	Merged-chr12-85632486-20
NR30889--MA0657.1.KLF13	chr19	57343622	57343639	-	0.000	0.000	Merged-chr19-57343616-1
NR10171--MA0599.1.KLF5	chr11	87595607	87595616	+	0.000	0.000	Merged-chr11-87595611-9
NR13423--MA0493.1.Klf1	chr12	85632521	85632531	-	0.000	0.000	Merged-chr12-85632486-20
NR60381--MA0741.1.KLF16	chr9	21167774	21167784	+	0.000	0.000	Merged-chr9-21167831-1
NR60387--MA0599.1.KLF5	chr9	21167894	21167903	-	0.000	0.000	Merged-chr9-21167831-1
NR60386--MA0741.1.KLF16	chr9	21167780	21167790	+	0.000	0.000	Merged-chr9-21167831-1
NR44416--MA0039.3.KLF4	chr5	33628847	33628857	+	0.000	0.000	Merged-chr5-33628968-1
NR37222--MA0493.1.Klf1	chr3	84772125	84772135	-	0.000	0.000	Merged-chr3-84772067-31
NR60384--MA0741.1.KLF16	chr9	21167777	21167787	+	0.000	0.000	Merged-chr9-21167831-1
NR2288--MA1107.1.KLF9	chr1	143202040	143202052	-	0.000	0.000	Merged-chr1-143201849-5
NR37224--MA1107.1.KLF9	chr3	84772121	84772133	-	0.000	0.000	Merged-chr3-84772067-31
NR27822--MA1107.1.KLF9	chr18	32958436	32958448	+	0.000	0.000	Merged-chr18-32958367-9
NR44417--MA1107.1.KLF9	chr5	33628845	33628857	+	0.000	0.000	Merged-chr5-33628968-1
NR37219--MA0599.1.KLF5	chr3	84772125	84772134	-	0.000	0.000	Merged-chr3-84772067-31
NR14662--MA0742.1.Klf12	chr13	8400888	8400902	+	0.000	0.000	Merged-chr13-8400702-31
NR2289--MA1107.1.KLF9	chr1	143202042	143202054	-	0.000	0.000	Merged-chr1-143201849-5
NR60385--MA0741.1.KLF16	chr9	21167778	21167788	+	0.000	0.000	Merged-chr9-21167831-1
NR37225--MA1107.1.KLF9	chr3	84772123	84772135	-	0.000	0.000	Merged-chr3-84772067-31
NR27823--MA1107.1.KLF9	chr18	32958438	32958450	+	0.000	0.000	Merged-chr18-32958367-9
NR60383--MA0741.1.KLF16	chr9	21167776	21167786	+	0.000	0.000	Merged-chr9-21167831-1
NR13421--MA0742.1.Klf12	chr12	85632517	85632531	-	0.000	0.000	Merged-chr12-85632486-20
NR13422--MA0039.3.KLF4	chr12	85632519	85632529	-	0.000	0.000	Merged-chr12-85632486-20
NR37226--MA1107.1.KLF9	chr3	84772128	84772140	-	0.000	0.000	Merged-chr3-84772067-31
NR37221--MA0039.3.KLF4	chr3	84772128	84772138	-	0.000	0.000	Merged-chr3-84772067-31
NR37223--MA0741.1.KLF16	chr3	84772124	84772134	-	0.000	0.000	Merged-chr3-84772067-31
NR37220--MA0599.1.KLF5	chr3	84772130	84772139	-	0.000	0.000	Merged-chr3-84772067-31
NR41091--MA0039.3.KLF4	chr4	89369357	89369367	+	0.000	0.000	Merged-chr4-89369224-21
