#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed
NR110--MA0117.2.Mafb	chr1	38777699	38777710	+	0.000	0.000	Merged-chr1-38777708-41
NR6409--MA0496.2.MAFK	chr2	30112755	30112773	-	0.000	0.000	Merged-chr2-30112786-18
NR11788--MA0089.1.MAFG::NFE2L1	chr9	5623575	5623580	-	0.000	0.000	Merged-chr9-5623590-21
NR5726--MA0501.1.MAF::NFE2	chr18	56412985	56412999	-	0.000	0.000	Merged-chr18-56413005-50
NR8824--MA0089.1.MAFG::NFE2L1	chr4	152038927	152038932	-	0.000	0.000	Merged-chr4-152038898-1
NR3851--MA0089.1.MAFG::NFE2L1	chr14	61774045	61774050	-	0.000	0.000	Merged-chr14-61773988-12
NR10340--MA0089.1.MAFG::NFE2L1	chr6	144922951	144922956	-	0.000	0.000	Merged-chr6-144923057-24
NR267--MA0501.1.MAF::NFE2	chr1	78644169	78644183	-	0.000	0.000	Merged-chr1-78644356-22
NR361--MA0117.2.Mafb	chr1	92119350	92119361	-	0.000	0.000	Merged-chr1-92119439-48
NR12136--MA0089.1.MAFG::NFE2L1	chr9	86618231	86618236	-	0.000	0.000	Merged-chr9-86618128-57
NR9441--MA0591.1.Bach1::Mafk	chr5	137857144	137857158	+	0.000	0.000	Merged-chr5-137857044-20
NR2554--MA0591.1.Bach1::Mafk	chr12	25851738	25851752	-	0.000	0.000	Merged-chr12-25851772-17
NR7549--MA0591.1.Bach1::Mafk	chr3	37272567	37272581	+	0.000	0.000	Merged-chr3-37272616-19
NR8337--MA0501.1.MAF::NFE2	chr4	88079194	88079208	+	0.000	0.000	Merged-chr4-88079193-33
NR5485--MA0496.2.MAFK	chr17	86206503	86206521	+	0.000	0.000	Merged-chr17-86206449-38
NR5047--MA0495.2.MAFF	chr16	97442080	97442100	+	0.000	0.000	Merged-chr16-97442198-19
NR5337--MA0591.1.Bach1::Mafk	chr17	63362391	63362405	-	0.000	0.000	Merged-chr17-63362357-31
NR3778--MA0501.1.MAF::NFE2	chr14	46578214	46578228	-	0.000	0.000	Merged-chr14-46578431-37
NR9612--MA0496.2.MAFK	chr6	22314619	22314637	-	0.000	0.000	Merged-chr6-22314730-22
NR10364--MA0089.1.MAFG::NFE2L1	chr6	146271409	146271414	-	0.000	0.000	Merged-chr6-146271470-40
NR234--MA0496.2.MAFK	chr1	69350805	69350823	+	0.000	0.000	Merged-chr1-69350970-27
