#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_up.bed
NR2698--MA0463.1.Bcl6	chrX	73082485	73082498	-	0.000	0.000	Merged-chrX-73082481-64
NR1707--MA0463.1.Bcl6	chr3	129308435	129308448	+	0.000	0.000	Merged-chr3-129308560-67
NR1922--MA0731.1.BCL6B	chr4	121002575	121002591	-	0.000	0.000	Merged-chr4-121002570-50
NR721--MA0463.1.Bcl6	chr13	92671666	92671679	-	0.000	0.000	Merged-chr13-92671922-24
NR1346--MA0463.1.Bcl6	chr19	41031105	41031118	+	0.000	0.000	Merged-chr19-41031181-46
NR105--MA0463.1.Bcl6	chr1	88578415	88578428	-	0.000	0.000	Merged-chr1-88578300-28
NR2360--MA0463.1.Bcl6	chr7	67353779	67353792	-	0.000	0.000	Merged-chr7-67353683-35
NR173--MA0463.1.Bcl6	chr1	161713000	161713013	-	0.000	0.000	Merged-chr1-161713119-39
NR809--MA0731.1.BCL6B	chr14	25481268	25481284	-	0.000	0.000	Merged-chr14-25481230-34
NR27--MA0463.1.Bcl6	chr1	23321543	23321556	+	0.000	0.000	Merged-chr1-23321414-28
NR722--MA0731.1.BCL6B	chr13	92671666	92671682	+	0.000	0.000	Merged-chr13-92671922-24
NR1529--MA0731.1.BCL6B	chr2	135737800	135737816	-	0.000	0.000	Merged-chr2-135737673-31
NR1264--MA0463.1.Bcl6	chr18	39664129	39664142	+	0.000	0.000	Merged-chr18-39664266-42
NR2429--MA0731.1.BCL6B	chr7	126230773	126230789	-	0.000	0.000	Merged-chr7-126230639-34
NR2601--MA0463.1.Bcl6	chr9	48538503	48538516	-	0.000	0.000	Merged-chr9-48538454-59
NR507--MA0731.1.BCL6B	chr12	24565591	24565607	-	0.000	0.000	Merged-chr12-24565518-17
NR1920--MA0463.1.Bcl6	chr4	120381174	120381187	+	0.000	0.000	Merged-chr4-120381159-28
NR1365--MA0463.1.Bcl6	chr2	10343658	10343671	-	0.000	0.000	Merged-chr2-10343676-43
NR482--MA0463.1.Bcl6	chr11	114873360	114873373	-	0.000	0.000	Merged-chr11-114873395-35
NR2567--MA0463.1.Bcl6	chr8	127447272	127447285	-	0.000	0.000	Merged-chr8-127447217-34
NR1710--MA0463.1.Bcl6	chr3	129602473	129602486	-	0.000	0.000	Merged-chr3-129602465-51
NR1173--MA0463.1.Bcl6	chr17	33865564	33865577	-	0.000	0.000	Merged-chr17-33865585-36
NR1093--MA0463.1.Bcl6	chr16	57465557	57465570	+	0.000	0.000	Merged-chr16-57465471-22
NR1220--MA0731.1.BCL6B	chr17	80772627	80772643	-	0.000	0.000	Merged-chr17-80772766-52
NR540--MA0731.1.BCL6B	chr12	55015516	55015532	+	0.000	0.000	Merged-chr12-55015619-6
NR1162--MA0463.1.Bcl6	chr17	17845415	17845428	+	0.000	0.000	Merged-chr17-17845619-46
NR1919--MA0463.1.Bcl6	chr4	120381111	120381124	+	0.000	0.000	Merged-chr4-120381159-28
NR723--MA0463.1.Bcl6	chr13	92671874	92671887	+	0.000	0.000	Merged-chr13-92671922-24
NR1265--MA0731.1.BCL6B	chr18	39664126	39664142	-	0.000	0.000	Merged-chr18-39664266-42
NR53--MA0463.1.Bcl6	chr1	43389146	43389159	+	0.000	0.000	Merged-chr1-43389283-10
NR1334--MA0463.1.Bcl6	chr19	25062768	25062781	-	0.000	0.000	Merged-chr19-25062644-33
NR564--MA0731.1.BCL6B	chr12	76923262	76923278	-	0.000	0.000	Merged-chr12-76923289-32
NR514--MA0731.1.BCL6B	chr12	29291093	29291109	+	0.000	0.000	Merged-chr12-29291093-42
NR2463--MA0463.1.Bcl6	chr8	34817845	34817858	+	0.000	0.000	Merged-chr8-34817852-8
NR804--MA0463.1.Bcl6	chr14	17414438	17414451	+	0.000	0.000	Merged-chr14-17414498-32
NR2007--MA0463.1.Bcl6	chr5	20845318	20845331	+	0.000	0.000	Merged-chr5-20845245-18
NR2486--MA0463.1.Bcl6	chr8	53630672	53630685	+	0.000	0.000	Merged-chr8-53630787-29
NR164--MA0463.1.Bcl6	chr1	156710886	156710899	-	0.000	0.000	Merged-chr1-156710970-33
NR1864--MA0731.1.BCL6B	chr4	86683518	86683534	+	0.000	0.000	Merged-chr4-86683553-15
NR1211--MA0731.1.BCL6B	chr17	70755478	70755494	+	0.000	0.000	Merged-chr17-70755266-44
NR77--MA0463.1.Bcl6	chr1	66714310	66714323	+	0.000	0.000	Merged-chr1-66714205-8
NR1163--MA0731.1.BCL6B	chr17	21501098	21501114	-	0.000	0.000	Merged-chr17-21500914-14
NR1708--MA0463.1.Bcl6	chr3	129308458	129308471	+	0.000	0.000	Merged-chr3-129308560-67
NR1744--MA0463.1.Bcl6	chr3	146063290	146063303	-	0.000	0.000	Merged-chr3-146063322-20
NR1570--MA0463.1.Bcl6	chr2	164081821	164081834	-	0.000	0.000	Merged-chr2-164081803-8
NR1212--MA0463.1.Bcl6	chr17	70973772	70973785	+	0.000	0.000	Merged-chr17-70973710-59
NR1132--MA0463.1.Bcl6	chr16	96767747	96767760	+	0.000	0.000	Merged-chr16-96767615-1
NR1052--MA0731.1.BCL6B	chr16	23250854	23250870	+	0.000	0.000	Merged-chr16-23250750-42
NR1034--MA0463.1.Bcl6	chr16	11577696	11577709	-	0.000	0.000	Merged-chr16-11577786-44
NR147--MA0463.1.Bcl6	chr1	135818023	135818036	-	0.000	0.000	Merged-chr1-135817909-9
NR286--MA0463.1.Bcl6	chr10	37232213	37232226	+	0.000	0.000	Merged-chr10-37232300-62
NR1307--MA0731.1.BCL6B	chr18	79258159	79258175	+	0.000	0.000	Merged-chr18-79258074-1
NR350--MA0463.1.Bcl6	chr10	94378508	94378521	+	0.000	0.000	Merged-chr10-94378414-58
NR2113--MA0463.1.Bcl6	chr5	124907074	124907087	+	0.000	0.000	Merged-chr5-124907107-45
NR2568--MA0731.1.BCL6B	chr8	127447272	127447288	+	0.000	0.000	Merged-chr8-127447217-34
NR1274--MA0463.1.Bcl6	chr18	46182171	46182184	-	0.000	0.000	Merged-chr18-46182052-26
NR1709--MA0463.1.Bcl6	chr3	129308481	129308494	+	0.000	0.000	Merged-chr3-129308560-67
NR2293--MA0463.1.Bcl6	chr6	143115346	143115359	-	0.000	0.000	Merged-chr6-143115192-122
NR80--MA0463.1.Bcl6	chr1	69331973	69331986	+	0.000	0.000	Merged-chr1-69331775-34
NR1227--MA0463.1.Bcl6	chr17	85189679	85189692	-	0.000	0.000	Merged-chr17-85189630-51
NR1693--MA0731.1.BCL6B	chr3	115933922	115933938	+	0.000	0.000	Merged-chr3-115933714-29
