#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_dn.bed
NR7366--MA1421.1.TCF7L1	chr5	107932809	107932820	+	0.000	0.000	Merged-chr5-107932779-30
NR3068--MA0523.1.TCF7L2	chr14	103363460	103363473	-	0.000	0.000	Merged-chr14-103363341-36
NR3057--MA1421.1.TCF7L1	chr14	102980037	102980048	-	0.000	0.000	Merged-chr14-102979979-6
NR3069--MA0769.1.Tcf7	chr14	103363462	103363473	-	0.000	0.000	Merged-chr14-103363341-36
NR13--MA0769.1.Tcf7	chr1	6467360	6467371	-	0.000	0.000	Merged-chr1-6467226-38
NR3988--MA1421.1.TCF7L1	chr17	21536889	21536900	-	0.000	0.000	Merged-chr17-21536922-38
NR3058--MA0769.1.Tcf7	chr14	102980037	102980048	-	0.000	0.000	Merged-chr14-102979979-6
NR1376--MA0769.1.Tcf7	chr10	118096221	118096232	+	0.000	0.000	Merged-chr10-118096400-51
NR9117--MA0523.1.TCF7L2	chr9	57633601	57633614	+	0.000	0.000	Merged-chr9-57633729-59
NR1375--MA1421.1.TCF7L1	chr10	118096221	118096232	+	0.000	0.000	Merged-chr10-118096400-51
NR4890--MA0769.1.Tcf7	chr2	35445515	35445526	-	0.000	0.000	Merged-chr2-35445506-29
NR1462--MA0523.1.TCF7L2	chr11	11498084	11498097	-	0.000	0.000	Merged-chr11-11498094-24
NR12--MA0523.1.TCF7L2	chr1	6467358	6467371	-	0.000	0.000	Merged-chr1-6467226-38
NR3067--MA0769.1.Tcf7	chr14	103363339	103363350	-	0.000	0.000	Merged-chr14-103363341-36
NR4889--MA1421.1.TCF7L1	chr2	35445515	35445526	-	0.000	0.000	Merged-chr2-35445506-29
NR1659--MA1421.1.TCF7L1	chr11	94997845	94997856	+	0.000	0.000	Merged-chr11-94997870-1
