#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_dn.bed
NR4991--MA0769.1.Tcf7	chr5	146757475	146757486	-	0.000	0.000	Merged-chr5-146757539-9
NR2519--MA0523.1.TCF7L2	chr16	23286589	23286602	-	0.000	0.000	Merged-chr16-23286554-38
NR30--MA0769.1.Tcf7	chr1	36611566	36611577	+	0.000	0.000	Merged-chr1-36611587-31
NR4990--MA1421.1.TCF7L1	chr5	146757475	146757486	-	0.000	0.000	Merged-chr5-146757539-9
NR4565--MA1421.1.TCF7L1	chr4	145284608	145284619	+	0.000	0.000	Merged-chr4-145284668-43
NR2087--MA0523.1.TCF7L2	chr14	71257836	71257849	-	0.000	0.000	Merged-chr14-71257853-52
NR6446--MA0769.1.Tcf7	chr9	116366431	116366442	-	0.000	0.000	Merged-chr9-116366334-59
NR6236--MA0523.1.TCF7L2	chr9	57633601	57633614	+	0.000	0.000	Merged-chr9-57633729-59
NR2201--MA0769.1.Tcf7	chr14	120572590	120572601	-	0.000	0.000	Merged-chr14-120572441-59
NR1762--MA1421.1.TCF7L1	chr13	95719890	95719901	+	0.000	0.000	Merged-chr13-95719909-48
NR2200--MA1421.1.TCF7L1	chr14	120572590	120572601	-	0.000	0.000	Merged-chr14-120572441-59
NR2160--MA0769.1.Tcf7	chr14	103363339	103363350	-	0.000	0.000	Merged-chr14-103363341-36
NR2088--MA0769.1.Tcf7	chr14	71257838	71257849	-	0.000	0.000	Merged-chr14-71257853-52
NR3804--MA1421.1.TCF7L1	chr2	166399345	166399356	+	0.000	0.000	Merged-chr2-166399399-25
NR4566--MA0769.1.Tcf7	chr4	145284608	145284619	+	0.000	0.000	Merged-chr4-145284668-43
NR3574--MA1421.1.TCF7L1	chr2	90528495	90528506	+	0.000	0.000	Merged-chr2-90528384-23
