#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed
NR6139--MA1104.1.GATA6	chr7	67500440	67500452	+	0.000	0.000	Merged-chr7-67500556-27
NR2801--MA0035.3.Gata1	chr16	24826502	24826512	+	0.000	0.000	Merged-chr16-24826564-20
NR397--MA0037.3.GATA3	chr1	175631875	175631882	+	0.000	0.000	Merged-chr1-175631822-65
NR3559--MA0035.3.Gata1	chr19	31321987	31321997	-	0.000	0.000	Merged-chr19-31321995-11
NR6912--MA0482.1.Gata4	chr9	92274723	92274733	-	0.000	0.000	Merged-chr9-92274591-56
NR474--MA0036.3.GATA2	chr1	191102863	191102873	+	0.000	0.000	Merged-chr1-191102990-43
NR3042--MA1104.1.GATA6	chr17	7904964	7904976	-	0.000	0.000	Merged-chr17-7905100-9
NR3108--MA1104.1.GATA6	chr17	27323301	27323313	-	0.000	0.000	Merged-chr17-27323176-36
NR2213--MA0766.1.GATA5	chr14	52437183	52437190	-	0.000	0.000	Merged-chr14-52437010-8
NR2854--MA1104.1.GATA6	chr16	45025477	45025489	+	0.000	0.000	Merged-chr16-45025536-40
NR3543--MA0140.2.GATA1::TAL1	chr19	25360755	25360772	-	0.000	0.000	Merged-chr19-25360847-26
NR6501--MA0035.3.Gata1	chr8	94240435	94240445	+	0.000	0.000	Merged-chr8-94240399-13
NR6410--MA0766.1.GATA5	chr8	40595271	40595278	+	0.000	0.000	Merged-chr8-40595277-53
NR3055--MA1104.1.GATA6	chr17	12513726	12513738	-	0.000	0.000	Merged-chr17-12513699-7
NR6657--MA0035.3.Gata1	chr8	128530707	128530717	-	0.000	0.000	Merged-chr8-128530780-6
NR2086--MA0037.3.GATA3	chr13	113031447	113031454	+	0.000	0.000	Merged-chr13-113031425-1
