#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed
NR4723--MA0523.1.TCF7L2	chr2	48328422	48328435	-	0.000	0.000	Merged-chr2-48328415-44
NR6853--MA0523.1.TCF7L2	chr5	105010601	105010614	+	0.000	0.000	Merged-chr5-105010527-49
NR3000--MA0523.1.TCF7L2	chr14	122187101	122187114	-	0.000	0.000	Merged-chr14-122187060-26
NR7283--MA0769.1.Tcf7	chr6	82744605	82744616	+	0.000	0.000	Merged-chr6-82744737-54
NR7875--MA0523.1.TCF7L2	chr7	98797476	98797489	-	0.000	0.000	Merged-chr7-98797577-28
NR876--MA0523.1.TCF7L2	chr10	44821926	44821939	+	0.000	0.000	Merged-chr10-44821803-43
NR8812--MA0769.1.Tcf7	chr9	85671681	85671692	+	0.000	0.000	Merged-chr9-85671881-60
NR6296--MA1421.1.TCF7L1	chr4	101176525	101176536	+	0.000	0.000	Merged-chr4-101176356-14
NR8293--MA0769.1.Tcf7	chr8	72291253	72291264	+	0.000	0.000	Merged-chr8-72291225-23
NR8105--MA1421.1.TCF7L1	chr7	142056828	142056839	+	0.000	0.000	Merged-chr7-142056944-50
NR3876--MA0523.1.TCF7L2	chr17	50485168	50485181	-	0.000	0.000	Merged-chr17-50485186-33
NR3863--MA0523.1.TCF7L2	chr17	48318939	48318952	+	0.000	0.000	Merged-chr17-48318964-29
NR3002--MA0769.1.Tcf7	chr14	122290588	122290599	+	0.000	0.000	Merged-chr14-122290582-19
NR3930--MA1421.1.TCF7L1	chr17	73952218	73952229	+	0.000	0.000	Merged-chr17-73952254-58
NR1255--MA0523.1.TCF7L2	chr10	120193465	120193478	+	0.000	0.000	Merged-chr10-120193454-50
NR8099--MA1421.1.TCF7L1	chr7	140947313	140947324	-	0.000	0.000	Merged-chr7-140947277-49
NR3827--MA0769.1.Tcf7	chr17	35766542	35766553	+	0.000	0.000	Merged-chr17-35766522-37
NR442--MA0769.1.Tcf7	chr1	143466098	143466109	+	0.000	0.000	Merged-chr1-143466091-51
NR1516--MA1421.1.TCF7L1	chr11	88132000	88132011	-	0.000	0.000	Merged-chr11-88132051-21
NR6583--MA1421.1.TCF7L1	chr5	28269931	28269942	-	0.000	0.000	Merged-chr5-28269924-54
NR5595--MA1421.1.TCF7L1	chr3	84023024	84023035	-	0.000	0.000	Merged-chr3-84022944-34
NR2813--MA1421.1.TCF7L1	chr14	62928379	62928390	-	0.000	0.000	Merged-chr14-62928345-50
NR2689--MA0769.1.Tcf7	chr14	36316957	36316968	-	0.000	0.000	Merged-chr14-36316941-55
NR3873--MA1421.1.TCF7L1	chr17	50148311	50148322	+	0.000	0.000	Merged-chr17-50148334-29
NR2765--MA1421.1.TCF7L1	chr14	54061809	54061820	-	0.000	0.000	Merged-chr14-54061633-25
NR3582--MA0769.1.Tcf7	chr16	58546298	58546309	+	0.000	0.000	Merged-chr16-58546287-56
NR2971--MA1421.1.TCF7L1	chr14	118124306	118124317	+	0.000	0.000	Merged-chr14-118124409-31
NR6297--MA0769.1.Tcf7	chr4	101176525	101176536	+	0.000	0.000	Merged-chr4-101176356-14
NR4495--MA1421.1.TCF7L1	chr19	55768424	55768435	-	0.000	0.000	Merged-chr19-55768445-7
NR4574--MA0769.1.Tcf7	chr2	11617019	11617030	+	0.000	0.000	Merged-chr2-11617013-39
NR9008--MA0769.1.Tcf7	chr9	120082887	120082898	+	0.000	0.000	Merged-chr9-120082843-44
NR5476--MA0523.1.TCF7L2	chr3	52791015	52791028	-	0.000	0.000	Merged-chr3-52791161-46
NR3083--MA0523.1.TCF7L2	chr15	31440135	31440148	-	0.000	0.000	Merged-chr15-31440136-19
NR9007--MA0523.1.TCF7L2	chr9	120082887	120082900	+	0.000	0.000	Merged-chr9-120082843-44
NR9035--MA0769.1.Tcf7	chr9	123872233	123872244	+	0.000	0.000	Merged-chr9-123872293-49
NR7876--MA0769.1.Tcf7	chr7	98797478	98797489	-	0.000	0.000	Merged-chr7-98797577-28
NR6498--MA0523.1.TCF7L2	chr4	149658104	149658117	-	0.000	0.000	Merged-chr4-149658229-60
NR8291--MA1421.1.TCF7L1	chr8	72291253	72291264	+	0.000	0.000	Merged-chr8-72291225-23
NR6916--MA0523.1.TCF7L2	chr5	120685869	120685882	-	0.000	0.000	Merged-chr5-120685893-52
NR748--MA1421.1.TCF7L1	chr10	8197752	8197763	+	0.000	0.000	Merged-chr10-8197795-23
NR9028--MA0523.1.TCF7L2	chr9	123462003	123462016	-	0.000	0.000	Merged-chr9-123461997-47
NR9030--MA1421.1.TCF7L1	chr9	123734309	123734320	-	0.000	0.000	Merged-chr9-123734197-54
NR3159--MA1421.1.TCF7L1	chr15	58655206	58655217	-	0.000	0.000	Merged-chr15-58655104-54
NR1176--MA0523.1.TCF7L2	chr10	111031786	111031799	-	0.000	0.000	Merged-chr10-111031729-43
NR1168--MA0769.1.Tcf7	chr10	109115281	109115292	-	0.000	0.000	Merged-chr10-109115316-22
NR8100--MA0523.1.TCF7L2	chr7	140947311	140947324	-	0.000	0.000	Merged-chr7-140947277-49
NR4350--MA0523.1.TCF7L2	chr19	10698523	10698536	-	0.000	0.000	Merged-chr19-10698600-31
NR6958--MA0769.1.Tcf7	chr5	137857125	137857136	+	0.000	0.000	Merged-chr5-137857044-20
NR3676--MA0523.1.TCF7L2	chr16	92743981	92743994	+	0.000	0.000	Merged-chr16-92743989-33
NR3457--MA0523.1.TCF7L2	chr16	33053357	33053370	-	0.000	0.000	Merged-chr16-33053250-22
NR305--MA1421.1.TCF7L1	chr1	105565176	105565187	-	0.000	0.000	Merged-chr1-105565114-33
NR3663--MA0523.1.TCF7L2	chr16	91366677	91366690	+	0.000	0.000	Merged-chr16-91366873-55
NR2688--MA0523.1.TCF7L2	chr14	36316955	36316968	-	0.000	0.000	Merged-chr14-36316941-55
NR2940--MA1421.1.TCF7L1	chr14	103850721	103850732	-	0.000	0.000	Merged-chr14-103850623-36
NR1458--MA1421.1.TCF7L1	chr11	70113941	70113952	-	0.000	0.000	Merged-chr11-70113983-20
NR8292--MA0523.1.TCF7L2	chr8	72291253	72291266	+	0.000	0.000	Merged-chr8-72291225-23
NR4285--MA0523.1.TCF7L2	chr18	80686384	80686397	+	0.000	0.000	Merged-chr18-80686265-50
NR9181--MA0769.1.Tcf7	chrX	164318701	164318712	-	0.000	0.000	Merged-chrX-164318746-35
NR9029--MA0769.1.Tcf7	chr9	123462005	123462016	-	0.000	0.000	Merged-chr9-123461997-47
NR1167--MA0523.1.TCF7L2	chr10	109115279	109115292	-	0.000	0.000	Merged-chr10-109115316-22
NR1007--MA1421.1.TCF7L1	chr10	76271523	76271534	+	0.000	0.000	Merged-chr10-76271555-43
NR8912--MA0523.1.TCF7L2	chr9	107334462	107334475	-	0.000	0.000	Merged-chr9-107334469-86
NR637--MA0523.1.TCF7L2	chr1	180390379	180390392	-	0.000	0.000	Merged-chr1-180390562-55
NR6812--MA0769.1.Tcf7	chr5	100526271	100526282	-	0.000	0.000	Merged-chr5-100526478-48
NR5073--MA0769.1.Tcf7	chr2	124732681	124732692	+	0.000	0.000	Merged-chr2-124732800-44
NR5856--MA1421.1.TCF7L1	chr3	133078570	133078581	-	0.000	0.000	Merged-chr3-133078514-46
NR3668--MA0769.1.Tcf7	chr16	91781056	91781067	-	0.000	0.000	Merged-chr16-91781071-63
NR6385--MA0523.1.TCF7L2	chr4	121002521	121002534	-	0.000	0.000	Merged-chr4-121002570-50
NR5843--MA1421.1.TCF7L1	chr3	131057422	131057433	-	0.000	0.000	Merged-chr3-131057396-52
NR3001--MA0523.1.TCF7L2	chr14	122290588	122290601	+	0.000	0.000	Merged-chr14-122290582-19
NR2941--MA0769.1.Tcf7	chr14	103850721	103850732	-	0.000	0.000	Merged-chr14-103850623-36
NR5857--MA0769.1.Tcf7	chr3	133078570	133078581	-	0.000	0.000	Merged-chr3-133078514-46
NR7619--MA0523.1.TCF7L2	chr6	146081207	146081220	+	0.000	0.000	Merged-chr6-146081045-99
NR6865--MA1421.1.TCF7L1	chr5	107646069	107646080	-	0.000	0.000	Merged-chr5-107646170-26
NR782--MA0523.1.TCF7L2	chr10	19504574	19504587	+	0.000	0.000	Merged-chr10-19504569-39
NR8123--MA1421.1.TCF7L1	chr7	143644168	143644179	-	0.000	0.000	Merged-chr7-143644190-29
NR7850--MA0523.1.TCF7L2	chr7	89712126	89712139	-	0.000	0.000	Merged-chr7-89711964-5
NR8232--MA0523.1.TCF7L2	chr8	46869686	46869699	+	0.000	0.000	Merged-chr8-46869591-35
NR7874--MA1421.1.TCF7L1	chr7	98797478	98797489	-	0.000	0.000	Merged-chr7-98797577-28
NR6824--MA0523.1.TCF7L2	chr5	100875852	100875865	-	0.000	0.000	Merged-chr5-100875815-38
NR6957--MA0523.1.TCF7L2	chr5	137857125	137857138	+	0.000	0.000	Merged-chr5-137857044-20
NR6811--MA0523.1.TCF7L2	chr5	100526269	100526282	-	0.000	0.000	Merged-chr5-100526478-48
NR638--MA0769.1.Tcf7	chr1	180390381	180390392	-	0.000	0.000	Merged-chr1-180390562-55
NR1515--MA0523.1.TCF7L2	chr11	88103375	88103388	-	0.000	0.000	Merged-chr11-88103479-31
NR3669--MA1421.1.TCF7L1	chr16	91789973	91789984	+	0.000	0.000	Merged-chr16-91789935-50
NR8674--MA0523.1.TCF7L2	chr9	54613058	54613071	+	0.000	0.000	Merged-chr9-54612864-43
NR2209--MA1421.1.TCF7L1	chr13	30682118	30682129	+	0.000	0.000	Merged-chr13-30682181-38
NR3670--MA0769.1.Tcf7	chr16	91789973	91789984	+	0.000	0.000	Merged-chr16-91789935-50
NR482--MA0769.1.Tcf7	chr1	151083957	151083968	-	0.000	0.000	Merged-chr1-151084034-24
NR1177--MA1421.1.TCF7L1	chr10	111031857	111031868	-	0.000	0.000	Merged-chr10-111031729-43
NR3752--MA0523.1.TCF7L2	chr17	12727941	12727954	+	0.000	0.000	Merged-chr17-12727995-27
NR2814--MA0769.1.Tcf7	chr14	62928379	62928390	-	0.000	0.000	Merged-chr14-62928345-50
NR1328--MA1421.1.TCF7L1	chr11	11557375	11557386	+	0.000	0.000	Merged-chr11-11557510-103
NR4686--MA1421.1.TCF7L1	chr2	44345135	44345146	+	0.000	0.000	Merged-chr2-44345197-78
NR4299--MA1421.1.TCF7L1	chr18	82607534	82607545	+	0.000	0.000	Merged-chr18-82607647-23
NR3335--MA0523.1.TCF7L2	chr15	100668288	100668301	-	0.000	0.000	Merged-chr15-100668117-50
NR8433--MA0523.1.TCF7L2	chr8	115188726	115188739	-	0.000	0.000	Merged-chr8-115188643-43
NR6680--MA0523.1.TCF7L2	chr5	64488158	64488171	-	0.000	0.000	Merged-chr5-64487990-63
NR3874--MA0769.1.Tcf7	chr17	50148311	50148322	+	0.000	0.000	Merged-chr17-50148334-29
NR2574--MA0769.1.Tcf7	chr13	117051689	117051700	+	0.000	0.000	Merged-chr13-117051602-40
NR2888--MA0523.1.TCF7L2	chr14	78687934	78687947	-	0.000	0.000	Merged-chr14-78687892-42
NR3664--MA0769.1.Tcf7	chr16	91366677	91366688	+	0.000	0.000	Merged-chr16-91366873-55
NR1256--MA0769.1.Tcf7	chr10	120193465	120193476	+	0.000	0.000	Merged-chr10-120193454-50
NR5844--MA0769.1.Tcf7	chr3	131057422	131057433	-	0.000	0.000	Merged-chr3-131057396-52
NR2572--MA1421.1.TCF7L1	chr13	117051689	117051700	+	0.000	0.000	Merged-chr13-117051602-40
NR6431--MA0523.1.TCF7L2	chr4	138089686	138089699	+	0.000	0.000	Merged-chr4-138089649-31
NR4058--MA1421.1.TCF7L1	chr18	24116825	24116836	+	0.000	0.000	Merged-chr18-24116838-23
NR441--MA0523.1.TCF7L2	chr1	143466098	143466111	+	0.000	0.000	Merged-chr1-143466091-51
NR7520--MA1421.1.TCF7L1	chr6	129627626	129627637	-	0.000	0.000	Merged-chr6-129627649-22
NR4841--MA0769.1.Tcf7	chr2	72282907	72282918	+	0.000	0.000	Merged-chr2-72282934-17
NR6678--MA1421.1.TCF7L1	chr5	64488116	64488127	+	0.000	0.000	Merged-chr5-64487990-63
NR8999--MA0523.1.TCF7L2	chr9	119453609	119453622	-	0.000	0.000	Merged-chr9-119453486-15
NR3317--MA0523.1.TCF7L2	chr15	98623375	98623388	-	0.000	0.000	Merged-chr15-98623504-45
NR4421--MA0769.1.Tcf7	chr19	33081784	33081795	-	0.000	0.000	Merged-chr19-33081699-35
NR4645--MA0769.1.Tcf7	chr2	32715042	32715053	-	0.000	0.000	Merged-chr2-32715137-51
NR2508--MA1421.1.TCF7L1	chr13	107867139	107867150	+	0.000	0.000	Merged-chr13-107866970-30
NR2573--MA0523.1.TCF7L2	chr13	117051689	117051702	+	0.000	0.000	Merged-chr13-117051602-40
NR6825--MA0769.1.Tcf7	chr5	100875854	100875865	-	0.000	0.000	Merged-chr5-100875815-38
NR4300--MA0523.1.TCF7L2	chr18	82607534	82607547	+	0.000	0.000	Merged-chr18-82607647-23
