#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/Bcl6KO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.05_dn.bed
NR10580--MA0501.1.MAF::NFE2	chr8	126539878	126539892	-	0.000	0.000	Merged-chr8-126539798-23
NR10579--MA0591.1.Bach1::Mafk	chr8	126539881	126539895	-	0.000	0.000	Merged-chr8-126539798-23
NR1299--MA0659.1.MAFG	chr10	86794890	86794910	-	0.000	0.000	Merged-chr10-86794881-42
NR9712--MA0501.1.MAF::NFE2	chr7	78583770	78583784	-	0.000	0.000	Merged-chr7-78583930-15
NR9322--MA0117.2.Mafb	chr6	142451427	142451438	-	0.000	0.000	Merged-chr6-142451587-10
NR5004--MA0659.1.MAFG	chr17	84633515	84633535	+	0.000	0.000	Merged-chr17-84633706-27
NR4006--MA0089.1.MAFG::NFE2L1	chr15	59618610	59618615	-	0.000	0.000	Merged-chr15-59618561-44
NR5120--MA0089.1.MAFG::NFE2L1	chr18	32543299	32543304	-	0.000	0.000	Merged-chr18-32543284-47
NR273--MA0501.1.MAF::NFE2	chr1	89069610	89069624	+	0.000	0.000	Merged-chr1-89069635-1
NR3108--MA0089.1.MAFG::NFE2L1	chr13	92722632	92722637	+	0.000	0.000	Merged-chr13-92722597-29
NR4626--MA0089.1.MAFG::NFE2L1	chr16	95809371	95809376	-	0.000	0.000	Merged-chr16-95809247-50
NR11115--MA0089.1.MAFG::NFE2L1	chr9	123259905	123259910	-	0.000	0.000	Merged-chr9-123259798-3
NR274--MA0501.1.MAF::NFE2	chr1	89069604	89069618	-	0.000	0.000	Merged-chr1-89069635-1
NR1296--MA0495.2.MAFF	chr10	86794890	86794910	+	0.000	0.000	Merged-chr10-86794881-42
NR9979--MA0496.2.MAFK	chr7	125186774	125186792	-	0.000	0.000	Merged-chr7-125186656-23
NR5005--MA0659.1.MAFG	chr17	84633515	84633535	-	0.000	0.000	Merged-chr17-84633706-27
NR4007--MA0591.1.Bach1::Mafk	chr15	59618586	59618600	-	0.000	0.000	Merged-chr15-59618561-44
NR7104--MA0089.1.MAFG::NFE2L1	chr3	133159667	133159672	-	0.000	0.000	Merged-chr3-133159832-24
NR1297--MA0495.2.MAFF	chr10	86794890	86794910	-	0.000	0.000	Merged-chr10-86794881-42
NR5003--MA0591.1.Bach1::Mafk	chr17	84633518	84633532	+	0.000	0.000	Merged-chr17-84633706-27
NR9980--MA0089.1.MAFG::NFE2L1	chr7	125190161	125190166	+	0.000	0.000	Merged-chr7-125190262-47
NR9978--MA0495.2.MAFF	chr7	125186773	125186793	-	0.000	0.000	Merged-chr7-125186656-23
NR4159--MA0591.1.Bach1::Mafk	chr15	93581873	93581887	+	0.000	0.000	Merged-chr15-93581886-25
NR1300--MA0496.2.MAFK	chr10	86794891	86794909	+	0.000	0.000	Merged-chr10-86794881-42
NR5007--MA0496.2.MAFK	chr17	84633516	84633534	+	0.000	0.000	Merged-chr17-84633706-27
NR7105--MA0089.1.MAFG::NFE2L1	chr3	133160001	133160006	-	0.000	0.000	Merged-chr3-133159832-24
NR5000--MA0495.2.MAFF	chr17	84633515	84633535	+	0.000	0.000	Merged-chr17-84633706-27
NR5002--MA0117.2.Mafb	chr17	84633524	84633535	-	0.000	0.000	Merged-chr17-84633706-27
NR9462--MA0591.1.Bach1::Mafk	chr7	3290321	3290335	-	0.000	0.000	Merged-chr7-3290343-35
NR1298--MA0659.1.MAFG	chr10	86794890	86794910	+	0.000	0.000	Merged-chr10-86794881-42
NR1301--MA0496.2.MAFK	chr10	86794891	86794909	-	0.000	0.000	Merged-chr10-86794881-42
NR5008--MA0496.2.MAFK	chr17	84633516	84633534	-	0.000	0.000	Merged-chr17-84633706-27
NR5006--MA0501.1.MAF::NFE2	chr17	84633521	84633535	+	0.000	0.000	Merged-chr17-84633706-27
NR5001--MA0495.2.MAFF	chr17	84633515	84633535	-	0.000	0.000	Merged-chr17-84633706-27
