#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tbx21/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed
NR158--MA0690.1.TBX21	chr1	174041076	174041085	-	0.000	0.000	Merged-chr1-174041007-47
NR538--MA0690.1.TBX21	chr12	112720147	112720156	-	0.000	0.000	Merged-chr12-112720162-15
NR1877--MA0690.1.TBX21	chr6	108338393	108338402	+	0.000	0.000	Merged-chr6-108338556-41
NR1681--MA0690.1.TBX21	chr5	64662588	64662597	+	0.000	0.000	Merged-chr5-64662440-49
NR1171--MA0690.1.TBX21	chr19	60182257	60182266	+	0.000	0.000	Merged-chr19-60182316-4
NR1163--MA0690.1.TBX21	chr19	53760526	53760535	+	0.000	0.000	Merged-chr19-53760542-10
NR52--MA0690.1.TBX21	chr1	74570562	74570571	-	0.000	0.000	Merged-chr1-74570528-25
NR762--MA0690.1.TBX21	chr14	120313615	120313624	-	0.000	0.000	Merged-chr14-120313531-118
NR1699--MA0690.1.TBX21	chr5	89045090	89045099	-	0.000	0.000	Merged-chr5-89044916-44
NR903--MA0690.1.TBX21	chr16	52230078	52230087	-	0.000	0.000	Merged-chr16-52230114-26
NR1418--MA0690.1.TBX21	chr3	89906194	89906203	-	0.000	0.000	Merged-chr3-89906356-37
NR985--MA0690.1.TBX21	chr17	45703392	45703401	+	0.000	0.000	Merged-chr17-45703436-19
NR1182--MA0690.1.TBX21	chr2	17597866	17597875	-	0.000	0.000	Merged-chr2-17597899-18
NR890--MA0690.1.TBX21	chr16	37094606	37094615	+	0.000	0.000	Merged-chr16-37094405-73
NR1296--MA0690.1.TBX21	chr2	131145666	131145675	+	0.000	0.000	Merged-chr2-131145703-8
NR818--MA0690.1.TBX21	chr15	64192774	64192783	-	0.000	0.000	Merged-chr15-64192878-29
NR494--MA0690.1.TBX21	chr12	69102085	69102094	+	0.000	0.000	Merged-chr12-69102156-32
NR2210--MA0690.1.TBX21	chr8	128643073	128643082	-	0.000	0.000	Merged-chr8-128643198-31
NR2215--MA0690.1.TBX21	chr9	5623627	5623636	-	0.000	0.000	Merged-chr9-5623590-21
NR715--MA0690.1.TBX21	chr14	59553395	59553404	+	0.000	0.000	Merged-chr14-59553394-22
NR436--MA0690.1.TBX21	chr11	99131611	99131620	-	0.000	0.000	Merged-chr11-99131567-85
NR558--MA0690.1.TBX21	chr13	5979609	5979618	+	0.000	0.000	Merged-chr13-5979653-26
NR266--MA0690.1.TBX21	chr10	67112130	67112139	+	0.000	0.000	Merged-chr10-67112116-37
NR1181--MA0690.1.TBX21	chr2	17597878	17597887	+	0.000	0.000	Merged-chr2-17597899-18
NR942--MA0690.1.TBX21	chr16	95999446	95999455	+	0.000	0.000	Merged-chr16-95999409-48
NR846--MA0690.1.TBX21	chr15	84168898	84168907	-	0.000	0.000	Merged-chr15-84168860-11
NR663--MA0690.1.TBX21	chr13	109843080	109843089	-	0.000	0.000	Merged-chr13-109843139-39
NR1295--MA0690.1.TBX21	chr2	131145643	131145652	+	0.000	0.000	Merged-chr2-131145703-8
NR990--MA0690.1.TBX21	chr17	47171340	47171349	+	0.000	0.000	Merged-chr17-47171280-54
