#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_up.bed
NR8354--MA0591.1.Bach1::Mafk	chr3	61345900	61345914	+	0.000	0.000	Merged-chr3-61345898-20
NR8817--MA0496.2.MAFK	chr3	133563698	133563716	+	0.000	0.000	Merged-chr3-133563771-42
NR269--MA0089.1.MAFG::NFE2L1	chr1	58742727	58742732	+	0.000	0.000	Merged-chr1-58742743-31
NR8737--MA0495.2.MAFF	chr3	121593326	121593346	+	0.000	0.000	Merged-chr3-121593516-30
NR7828--MA0501.1.MAF::NFE2	chr2	158723942	158723956	-	0.000	0.000	Merged-chr2-158724013-3
NR8816--MA0501.1.MAF::NFE2	chr3	133563697	133563711	-	0.000	0.000	Merged-chr3-133563771-42
NR529--MA0496.2.MAFK	chr1	95263049	95263067	-	0.000	0.000	Merged-chr1-95263160-5
NR1591--MA0496.2.MAFK	chr10	67512299	67512317	+	0.000	0.000	Merged-chr10-67512381-13
NR13367--MA0089.1.MAFG::NFE2L1	chr9	96696411	96696416	-	0.000	0.000	Merged-chr9-96696442-50
NR6255--MA0117.2.Mafb	chr18	13787133	13787144	-	0.000	0.000	Merged-chr18-13787099-71
NR13491--MA0591.1.Bach1::Mafk	chr9	120960867	120960881	+	0.000	0.000	Merged-chr9-120960803-26
NR7574--MA0591.1.Bach1::Mafk	chr2	122789558	122789572	-	0.000	0.000	Merged-chr2-122789643-8
NR7337--MA0591.1.Bach1::Mafk	chr2	70933191	70933205	+	0.000	0.000	Merged-chr2-70933304-29
NR1550--MA0501.1.MAF::NFE2	chr10	62590345	62590359	+	0.000	0.000	Merged-chr10-62590420-43
NR9368--MA0501.1.MAF::NFE2	chr4	62476050	62476064	+	0.000	0.000	Merged-chr4-62476033-55
NR6447--MA0591.1.Bach1::Mafk	chr18	49721874	49721888	+	0.000	0.000	Merged-chr18-49721855-41
NR4538--MA0089.1.MAFG::NFE2L1	chr14	121879680	121879685	-	0.000	0.000	Merged-chr14-121879691-39
NR12019--MA0495.2.MAFF	chr7	80629088	80629108	-	0.000	0.000	Merged-chr7-80629014-41
NR10302--MA0117.2.Mafb	chr5	75645649	75645660	-	0.000	0.000	Merged-chr5-75645576-13
NR3036--MA0659.1.MAFG	chr12	116315653	116315673	+	0.000	0.000	Merged-chr12-116315725-53
NR12961--MA0659.1.MAFG	chr8	126686967	126686987	-	0.000	0.000	Merged-chr8-126687126-29
NR13124--MA0117.2.Mafb	chr9	41181626	41181637	+	0.000	0.000	Merged-chr9-41181548-13
NR7813--MA0089.1.MAFG::NFE2L1	chr2	156970625	156970630	+	0.000	0.000	Merged-chr2-156970494-23
NR7335--MA0089.1.MAFG::NFE2L1	chr2	70920017	70920022	+	0.000	0.000	Merged-chr2-70920097-22
NR5670--MA0496.2.MAFK	chr17	5303510	5303528	-	0.000	0.000	Merged-chr17-5303448-46
NR8900--MA0591.1.Bach1::Mafk	chr3	144232018	144232032	+	0.000	0.000	Merged-chr3-144232172-58
NR5257--MA0501.1.MAF::NFE2	chr16	32972774	32972788	+	0.000	0.000	Merged-chr16-32972762-21
NR417--MA0659.1.MAFG	chr1	78422793	78422813	+	0.000	0.000	Merged-chr1-78422740-38
NR7824--MA0089.1.MAFG::NFE2L1	chr2	158160167	158160172	-	0.000	0.000	Merged-chr2-158160127-37
NR12254--MA0089.1.MAFG::NFE2L1	chr7	125507477	125507482	-	0.000	0.000	Merged-chr7-125507552-10
NR13044--MA0117.2.Mafb	chr9	15582149	15582160	-	0.000	0.000	Merged-chr9-15582230-13
NR12530--MA0495.2.MAFF	chr8	46550338	46550358	+	0.000	0.000	Merged-chr8-46550228-39
NR12532--MA0659.1.MAFG	chr8	46550338	46550358	+	0.000	0.000	Merged-chr8-46550228-39
NR7910--MA0501.1.MAF::NFE2	chr2	170247792	170247806	+	0.000	0.000	Merged-chr2-170247949-28
NR8853--MA0089.1.MAFG::NFE2L1	chr3	138008297	138008302	+	0.000	0.000	Merged-chr3-138008366-30
NR8918--MA0496.2.MAFK	chr3	146063413	146063431	+	0.000	0.000	Merged-chr3-146063322-20
NR2435--MA0659.1.MAFG	chr11	115463665	115463685	+	0.000	0.000	Merged-chr11-115463666-29
NR7620--MA0089.1.MAFG::NFE2L1	chr2	132110874	132110879	-	0.000	0.000	Merged-chr2-132110934-3
NR11928--MA0591.1.Bach1::Mafk	chr7	67951790	67951804	-	0.000	0.000	Merged-chr7-67951675-118
NR8186--MA0089.1.MAFG::NFE2L1	chr3	28969065	28969070	-	0.000	0.000	Merged-chr3-28968988-13
NR2429--MA0495.2.MAFF	chr11	113536965	113536985	-	0.000	0.000	Merged-chr11-113536889-33
NR10469--MA0117.2.Mafb	chr5	106982741	106982752	+	0.000	0.000	Merged-chr5-106982609-23
NR1712--MA0501.1.MAF::NFE2	chr10	85829471	85829485	-	0.000	0.000	Merged-chr10-85829298-76
NR4545--MA0501.1.MAF::NFE2	chr14	122000896	122000910	-	0.000	0.000	Merged-chr14-122000857-51
NR6328--MA0591.1.Bach1::Mafk	chr18	32311876	32311890	-	0.000	0.000	Merged-chr18-32311918-36
NR4162--MA0501.1.MAF::NFE2	chr14	46578293	46578307	-	0.000	0.000	Merged-chr14-46578431-37
NR8673--MA0089.1.MAFG::NFE2L1	chr3	109732676	109732681	-	0.000	0.000	Merged-chr3-109732646-37
NR6329--MA0501.1.MAF::NFE2	chr18	32311873	32311887	-	0.000	0.000	Merged-chr18-32311918-36
NR11832--MA0501.1.MAF::NFE2	chr7	49335179	49335193	+	0.000	0.000	Merged-chr7-49335315-27
NR2293--MA0089.1.MAFG::NFE2L1	chr11	68447293	68447298	+	0.000	0.000	Merged-chr11-68447453-15
NR6073--MA0495.2.MAFF	chr17	80139917	80139937	-	0.000	0.000	Merged-chr17-80140059-47
NR5522--MA0117.2.Mafb	chr16	76202324	76202335	-	0.000	0.000	Merged-chr16-76202306-30
NR6075--MA0659.1.MAFG	chr17	80139917	80139937	+	0.000	0.000	Merged-chr17-80140059-47
NR12613--MA0501.1.MAF::NFE2	chr8	64826687	64826701	-	0.000	0.000	Merged-chr8-64826546-37
NR2536--MA0501.1.MAF::NFE2	chr12	16874311	16874325	+	0.000	0.000	Merged-chr12-16874379-16
NR7174--MA0117.2.Mafb	chr2	52176797	52176808	+	0.000	0.000	Merged-chr2-52176630-15
NR11831--MA0591.1.Bach1::Mafk	chr7	49335176	49335190	+	0.000	0.000	Merged-chr7-49335315-27
NR1084--MA0089.1.MAFG::NFE2L1	chr1	191259313	191259318	-	0.000	0.000	Merged-chr1-191259374-46
NR2634--MA0117.2.Mafb	chr12	36317334	36317345	-	0.000	0.000	Merged-chr12-36317326-46
NR7595--MA0501.1.MAF::NFE2	chr2	125136046	125136060	+	0.000	0.000	Merged-chr2-125136116-38
NR4393--MA0117.2.Mafb	chr14	103017209	103017220	-	0.000	0.000	Merged-chr14-103017290-44
NR5577--MA0117.2.Mafb	chr16	84972108	84972119	+	0.000	0.000	Merged-chr16-84972104-8
NR10032--MA0089.1.MAFG::NFE2L1	chr5	20845378	20845383	+	0.000	0.000	Merged-chr5-20845245-18
NR9386--MA0117.2.Mafb	chr4	63486681	63486692	+	0.000	0.000	Merged-chr4-63486767-20
NR8893--MA0089.1.MAFG::NFE2L1	chr3	143399664	143399669	-	0.000	0.000	Merged-chr3-143399493-1
NR11263--MA0089.1.MAFG::NFE2L1	chr6	99643708	99643713	-	0.000	0.000	Merged-chr6-99643748-32
NR3793--MA0591.1.Bach1::Mafk	chr13	119472036	119472050	-	0.000	0.000	Merged-chr13-119472102-16
NR8738--MA0495.2.MAFF	chr3	121593326	121593346	-	0.000	0.000	Merged-chr3-121593516-30
NR13031--MA0089.1.MAFG::NFE2L1	chr9	13536892	13536897	+	0.000	0.000	Merged-chr9-13536890-20
NR12814--MA0591.1.Bach1::Mafk	chr8	91545805	91545819	-	0.000	0.000	Merged-chr8-91545805-43
NR2815--MA0591.1.Bach1::Mafk	chr12	69893059	69893073	-	0.000	0.000	Merged-chr12-69892936-80
NR1592--MA0496.2.MAFK	chr10	67512299	67512317	-	0.000	0.000	Merged-chr10-67512381-13
NR2436--MA0496.2.MAFK	chr11	115463666	115463684	+	0.000	0.000	Merged-chr11-115463666-29
NR8814--MA0089.1.MAFG::NFE2L1	chr3	133563707	133563712	-	0.000	0.000	Merged-chr3-133563771-42
NR2838--MA0089.1.MAFG::NFE2L1	chr12	79623461	79623466	+	0.000	0.000	Merged-chr12-79623487-16
NR5913--MA0089.1.MAFG::NFE2L1	chr17	45632145	45632150	+	0.000	0.000	Merged-chr17-45632137-18
NR9341--MA0591.1.Bach1::Mafk	chr4	58236005	58236019	+	0.000	0.000	Merged-chr4-58236026-17
NR3074--MA0089.1.MAFG::NFE2L1	chr13	5806245	5806250	-	0.000	0.000	Merged-chr13-5806398-17
NR2736--MA0089.1.MAFG::NFE2L1	chr12	52796533	52796538	-	0.000	0.000	Merged-chr12-52796443-43
NR2245--MA0089.1.MAFG::NFE2L1	chr11	52320617	52320622	-	0.000	0.000	Merged-chr11-52320694-9
NR11229--MA0496.2.MAFK	chr6	94623148	94623166	+	0.000	0.000	Merged-chr6-94623201-16
NR4691--MA0591.1.Bach1::Mafk	chr15	30662285	30662299	+	0.000	0.000	Merged-chr15-30662184-17
NR833--MA0117.2.Mafb	chr1	151766370	151766381	+	0.000	0.000	Merged-chr1-151766309-19
NR9674--MA0117.2.Mafb	chr4	120815857	120815868	-	0.000	0.000	Merged-chr4-120815867-58
NR8815--MA0591.1.Bach1::Mafk	chr3	133563700	133563714	-	0.000	0.000	Merged-chr3-133563771-42
NR2735--MA0501.1.MAF::NFE2	chr12	52644368	52644382	+	0.000	0.000	Merged-chr12-52644289-23
NR5988--MA0501.1.MAF::NFE2	chr17	65826440	65826454	+	0.000	0.000	Merged-chr17-65826425-32
NR13465--MA0117.2.Mafb	chr9	114496670	114496681	+	0.000	0.000	Merged-chr9-114496634-56
NR8916--MA0659.1.MAFG	chr3	146063412	146063432	+	0.000	0.000	Merged-chr3-146063322-20
NR6388--MA0089.1.MAFG::NFE2L1	chr18	41888474	41888479	+	0.000	0.000	Merged-chr18-41888397-77
NR12274--MA0501.1.MAF::NFE2	chr7	130886484	130886498	-	0.000	0.000	Merged-chr7-130886495-31
NR1542--MA0117.2.Mafb	chr10	60028309	60028320	-	0.000	0.000	Merged-chr10-60028260-54
NR4913--MA0495.2.MAFF	chr15	73627474	73627494	+	0.000	0.000	Merged-chr15-73627530-51
NR1303--MA0501.1.MAF::NFE2	chr10	25457374	25457388	-	0.000	0.000	Merged-chr10-25457296-47
NR12813--MA0089.1.MAFG::NFE2L1	chr8	91545812	91545817	-	0.000	0.000	Merged-chr8-91545805-43
NR12067--MA0501.1.MAF::NFE2	chr7	89712840	89712854	-	0.000	0.000	Merged-chr7-89712844-48
NR868--MA0495.2.MAFF	chr1	161480011	161480031	+	0.000	0.000	Merged-chr1-161480099-19
NR418--MA0659.1.MAFG	chr1	78422793	78422813	-	0.000	0.000	Merged-chr1-78422740-38
NR2066--MA0496.2.MAFK	chr11	5416087	5416105	-	0.000	0.000	Merged-chr11-5415987-23
NR10223--MA0117.2.Mafb	chr5	65005507	65005518	+	0.000	0.000	Merged-chr5-65005487-8
NR12531--MA0495.2.MAFF	chr8	46550338	46550358	-	0.000	0.000	Merged-chr8-46550228-39
NR5395--MA0591.1.Bach1::Mafk	chr16	55975111	55975125	+	0.000	0.000	Merged-chr16-55975100-1
NR10174--MA0089.1.MAFG::NFE2L1	chr5	53584528	53584533	+	0.000	0.000	Merged-chr5-53584497-5
NR13495--MA0496.2.MAFK	chr9	120960865	120960883	-	0.000	0.000	Merged-chr9-120960803-26
NR12533--MA0659.1.MAFG	chr8	46550338	46550358	-	0.000	0.000	Merged-chr8-46550228-39
NR11475--MA0501.1.MAF::NFE2	chr6	130029867	130029881	-	0.000	0.000	Merged-chr6-130029953-23
NR8919--MA0496.2.MAFK	chr3	146063413	146063431	-	0.000	0.000	Merged-chr3-146063322-20
NR2430--MA0501.1.MAF::NFE2	chr11	113536965	113536979	-	0.000	0.000	Merged-chr11-113536889-33
NR6509--MA0089.1.MAFG::NFE2L1	chr18	57970375	57970380	-	0.000	0.000	Merged-chr18-57970531-36
NR8740--MA0496.2.MAFK	chr3	121593327	121593345	+	0.000	0.000	Merged-chr3-121593516-30
NR5807--MA0495.2.MAFF	chr17	27755570	27755590	+	0.000	0.000	Merged-chr17-27755639-7
NR11227--MA0495.2.MAFF	chr6	94623147	94623167	+	0.000	0.000	Merged-chr6-94623201-16
NR2856--MA0501.1.MAF::NFE2	chr12	82284810	82284824	-	0.000	0.000	Merged-chr12-82284829-46
NR3976--MA0496.2.MAFK	chr14	17414422	17414440	+	0.000	0.000	Merged-chr14-17414498-32
NR11515--MA0089.1.MAFG::NFE2L1	chr6	134148219	134148224	+	0.000	0.000	Merged-chr6-134148194-39
NR8856--MA0089.1.MAFG::NFE2L1	chr3	138715491	138715496	-	0.000	0.000	Merged-chr3-138715512-11
NR13171--MA0089.1.MAFG::NFE2L1	chr9	62510771	62510776	+	0.000	0.000	Merged-chr9-62510656-38
NR13494--MA0501.1.MAF::NFE2	chr9	120960861	120960875	+	0.000	0.000	Merged-chr9-120960803-26
NR7623--MA0089.1.MAFG::NFE2L1	chr2	132282172	132282177	+	0.000	0.000	Merged-chr2-132282020-68
NR1936--MA0089.1.MAFG::NFE2L1	chr10	111924394	111924399	+	0.000	0.000	Merged-chr10-111924366-28
NR13220--MA0501.1.MAF::NFE2	chr9	77467012	77467026	-	0.000	0.000	Merged-chr9-77466988-20
NR11265--MA0117.2.Mafb	chr6	100581278	100581289	+	0.000	0.000	Merged-chr6-100581320-61
NR5245--MA0501.1.MAF::NFE2	chr16	29865266	29865280	+	0.000	0.000	Merged-chr16-29865304-40
NR7823--MA0089.1.MAFG::NFE2L1	chr2	158160159	158160164	-	0.000	0.000	Merged-chr2-158160127-37
NR3243--MA0495.2.MAFF	chr13	31505464	31505484	-	0.000	0.000	Merged-chr13-31505526-12
NR1785--MA0501.1.MAF::NFE2	chr10	94378535	94378549	+	0.000	0.000	Merged-chr10-94378414-58
NR6076--MA0659.1.MAFG	chr17	80139917	80139937	-	0.000	0.000	Merged-chr17-80140059-47
NR11622--MA0495.2.MAFF	chr6	144679046	144679066	+	0.000	0.000	Merged-chr6-144679049-11
NR10995--MA0117.2.Mafb	chr6	54760026	54760037	-	0.000	0.000	Merged-chr6-54760187-57
NR8978--MA0089.1.MAFG::NFE2L1	chr3	152355557	152355562	+	0.000	0.000	Merged-chr3-152355609-21
