#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.05_dn.bed
NR2652--MA0035.3.Gata1	chr15	96778480	96778490	+	0.000	0.000	Merged-chr15-96778537-47
NR4191--MA0036.3.GATA2	chr2	163131099	163131109	+	0.000	0.000	Merged-chr2-163131105-39
NR2650--MA1104.1.GATA6	chr15	96778479	96778491	-	0.000	0.000	Merged-chr15-96778537-47
NR2649--MA0482.1.Gata4	chr15	96778481	96778491	+	0.000	0.000	Merged-chr15-96778537-47
NR6044--MA0482.1.Gata4	chr7	78583901	78583911	-	0.000	0.000	Merged-chr7-78583930-15
NR6045--MA1104.1.GATA6	chr7	78583901	78583913	+	0.000	0.000	Merged-chr7-78583930-15
NR3618--MA0140.2.GATA1::TAL1	chr19	44078411	44078428	+	0.000	0.000	Merged-chr19-44078434-18
NR4192--MA0140.2.GATA1::TAL1	chr2	163131101	163131118	+	0.000	0.000	Merged-chr2-163131105-39
NR6042--MA0140.2.GATA1::TAL1	chr7	78451915	78451932	-	0.000	0.000	Merged-chr7-78451897-56
NR6043--MA0037.3.GATA3	chr7	78583904	78583911	+	0.000	0.000	Merged-chr7-78583930-15
NR2651--MA0036.3.GATA2	chr15	96778480	96778490	+	0.000	0.000	Merged-chr15-96778537-47
NR4665--MA0482.1.Gata4	chr3	145663520	145663530	-	0.000	0.000	Merged-chr3-145663343-1
NR4190--MA0482.1.Gata4	chr2	163131100	163131110	+	0.000	0.000	Merged-chr2-163131105-39
NR6046--MA0036.3.GATA2	chr7	78583902	78583912	-	0.000	0.000	Merged-chr7-78583930-15
NR1721--MA1104.1.GATA6	chr12	117679066	117679078	-	0.000	0.000	Merged-chr12-117679056-43
NR1173--MA0140.2.GATA1::TAL1	chr11	66906100	66906117	-	0.000	0.000	Merged-chr11-66906049-23
NR4666--MA0140.2.GATA1::TAL1	chr3	145663512	145663529	-	0.000	0.000	Merged-chr3-145663343-1
NR6047--MA0766.1.GATA5	chr7	78583904	78583911	+	0.000	0.000	Merged-chr7-78583930-15
NR6048--MA0035.3.Gata1	chr7	78583902	78583912	-	0.000	0.000	Merged-chr7-78583930-15
NR5210--MA0140.2.GATA1::TAL1	chr5	86783451	86783468	-	0.000	0.000	Merged-chr5-86783243-43
