#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_dn.bed
NR1760--MA0731.1.BCL6B	chr3	152920442	152920458	-	0.000	0.000	Merged-chr3-152920565-52
NR1949--MA0463.1.Bcl6	chr4	145312772	145312785	-	0.000	0.000	Merged-chr4-145312696-44
NR461--MA0731.1.BCL6B	chr11	95261347	95261363	-	0.000	0.000	Merged-chr11-95261394-7
NR440--MA0731.1.BCL6B	chr11	57952816	57952832	-	0.000	0.000	Merged-chr11-57952769-40
NR1812--MA0463.1.Bcl6	chr4	40781446	40781459	-	0.000	0.000	Merged-chr4-40781341-5
NR2276--MA0463.1.Bcl6	chr6	131276621	131276634	-	0.000	0.000	Merged-chr6-131276753-31
NR439--MA0463.1.Bcl6	chr11	57952819	57952832	+	0.000	0.000	Merged-chr11-57952769-40
NR658--MA0731.1.BCL6B	chr13	33001651	33001667	-	0.000	0.000	Merged-chr13-33001523-50
NR175--MA0731.1.BCL6B	chr1	164966186	164966202	+	0.000	0.000	Merged-chr1-164966286-53
NR1425--MA0463.1.Bcl6	chr2	60204337	60204350	-	0.000	0.000	Merged-chr2-60204421-25
NR2663--MA0463.1.Bcl6	chr9	106215647	106215660	+	0.000	0.000	Merged-chr9-106215485-26
NR2099--MA0463.1.Bcl6	chr5	113828686	113828699	-	0.000	0.000	Merged-chr5-113828538-48
NR1674--MA0731.1.BCL6B	chr3	98027543	98027559	+	0.000	0.000	Merged-chr3-98027437-43
NR808--MA0463.1.Bcl6	chr14	25162015	25162028	-	0.000	0.000	Merged-chr14-25161984-35
NR1087--MA0463.1.Bcl6	chr16	52468700	52468713	+	0.000	0.000	Merged-chr16-52468577-24
NR451--MA0463.1.Bcl6	chr11	71996080	71996093	-	0.000	0.000	Merged-chr11-71996185-51
NR2554--MA0463.1.Bcl6	chr8	120702038	120702051	+	0.000	0.000	Merged-chr8-120702084-56
NR176--MA0731.1.BCL6B	chr1	165682669	165682685	+	0.000	0.000	Merged-chr1-165682736-19
NR1841--MA0463.1.Bcl6	chr4	59334501	59334514	-	0.000	0.000	Merged-chr4-59334483-11
NR2358--MA0463.1.Bcl6	chr7	66197354	66197367	-	0.000	0.000	Merged-chr7-66197224-72
NR570--MA0463.1.Bcl6	chr12	85123320	85123333	+	0.000	0.000	Merged-chr12-85123310-39
NR477--MA0463.1.Bcl6	chr11	106536328	106536341	+	0.000	0.000	Merged-chr11-106536245-61
NR649--MA0463.1.Bcl6	chr13	23581784	23581797	+	0.000	0.000	Merged-chr13-23581680-55
NR1614--MA0463.1.Bcl6	chr3	37605793	37605806	-	0.000	0.000	Merged-chr3-37605967-27
NR1426--MA0731.1.BCL6B	chr2	60204337	60204353	+	0.000	0.000	Merged-chr2-60204421-25
NR1896--MA0731.1.BCL6B	chr4	101298359	101298375	-	0.000	0.000	Merged-chr4-101298593-40
NR57--MA0731.1.BCL6B	chr1	53843227	53843243	+	0.000	0.000	Merged-chr1-53843171-20
NR191--MA0731.1.BCL6B	chr1	172277328	172277344	+	0.000	0.000	Merged-chr1-172277440-42
NR571--MA0731.1.BCL6B	chr12	85123318	85123334	+	0.000	0.000	Merged-chr12-85123310-39
NR1669--MA0463.1.Bcl6	chr3	96273720	96273733	-	0.000	0.000	Merged-chr3-96273916-38
NR2562--MA0463.1.Bcl6	chr8	124266025	124266038	+	0.000	0.000	Merged-chr8-124265993-45
NR1916--MA0463.1.Bcl6	chr4	119127468	119127481	-	0.000	0.000	Merged-chr4-119127359-48
NR1331--MA0463.1.Bcl6	chr19	18591399	18591412	-	0.000	0.000	Merged-chr19-18591291-34
NR356--MA0731.1.BCL6B	chr10	96181067	96181083	-	0.000	0.000	Merged-chr10-96181297-117
NR979--MA0463.1.Bcl6	chr15	62730649	62730662	+	0.000	0.000	Merged-chr15-62730717-24
NR456--MA0463.1.Bcl6	chr11	78345897	78345910	+	0.000	0.000	Merged-chr11-78345997-37
NR2327--MA0731.1.BCL6B	chr7	38215087	38215103	+	0.000	0.000	Merged-chr7-38215034-63
