#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_dn.bed
NR1078--MA1421.1.TCF7L1	chr10	91138671	91138682	-	0.000	0.000	Merged-chr10-91138476-30
NR3000--MA0523.1.TCF7L2	chr14	122187101	122187114	-	0.000	0.000	Merged-chr14-122187060-26
NR7283--MA0769.1.Tcf7	chr6	82744605	82744616	+	0.000	0.000	Merged-chr6-82744737-54
NR876--MA0523.1.TCF7L2	chr10	44821926	44821939	+	0.000	0.000	Merged-chr10-44821803-43
NR8812--MA0769.1.Tcf7	chr9	85671681	85671692	+	0.000	0.000	Merged-chr9-85671881-60
NR6296--MA1421.1.TCF7L1	chr4	101176525	101176536	+	0.000	0.000	Merged-chr4-101176356-14
NR8293--MA0769.1.Tcf7	chr8	72291253	72291264	+	0.000	0.000	Merged-chr8-72291225-23
NR1593--MA1421.1.TCF7L1	chr11	106493442	106493453	-	0.000	0.000	Merged-chr11-106493297-20
NR1241--MA1421.1.TCF7L1	chr10	118096221	118096232	+	0.000	0.000	Merged-chr10-118096400-51
NR6902--MA0769.1.Tcf7	chr5	118465205	118465216	+	0.000	0.000	Merged-chr5-118465239-56
NR8657--MA0769.1.Tcf7	chr9	50852881	50852892	-	0.000	0.000	Merged-chr9-50852835-21
NR1079--MA0523.1.TCF7L2	chr10	91138669	91138682	-	0.000	0.000	Merged-chr10-91138476-30
NR3930--MA1421.1.TCF7L1	chr17	73952218	73952229	+	0.000	0.000	Merged-chr17-73952254-58
NR5312--MA0769.1.Tcf7	chr2	168429802	168429813	+	0.000	0.000	Merged-chr2-168429700-17
NR2363--MA0523.1.TCF7L2	chr13	73737018	73737031	-	0.000	0.000	Merged-chr13-73737138-53
NR3827--MA0769.1.Tcf7	chr17	35766542	35766553	+	0.000	0.000	Merged-chr17-35766522-37
NR442--MA0769.1.Tcf7	chr1	143466098	143466109	+	0.000	0.000	Merged-chr1-143466091-51
NR3416--MA0523.1.TCF7L2	chr16	23286589	23286602	-	0.000	0.000	Merged-chr16-23286554-38
NR3187--MA0769.1.Tcf7	chr15	66825623	66825634	+	0.000	0.000	Merged-chr15-66825502-98
NR8073--MA1421.1.TCF7L1	chr7	135605122	135605133	+	0.000	0.000	Merged-chr7-135605308-40
NR5595--MA1421.1.TCF7L1	chr3	84023024	84023035	-	0.000	0.000	Merged-chr3-84022944-34
NR5051--MA0523.1.TCF7L2	chr2	119547496	119547509	-	0.000	0.000	Merged-chr2-119547513-90
NR2971--MA1421.1.TCF7L1	chr14	118124306	118124317	+	0.000	0.000	Merged-chr14-118124409-31
NR1080--MA0769.1.Tcf7	chr10	91138671	91138682	-	0.000	0.000	Merged-chr10-91138476-30
NR3185--MA1421.1.TCF7L1	chr15	66825623	66825634	+	0.000	0.000	Merged-chr15-66825502-98
NR6297--MA0769.1.Tcf7	chr4	101176525	101176536	+	0.000	0.000	Merged-chr4-101176356-14
NR9035--MA0769.1.Tcf7	chr9	123872233	123872244	+	0.000	0.000	Merged-chr9-123872293-49
NR6498--MA0523.1.TCF7L2	chr4	149658104	149658117	-	0.000	0.000	Merged-chr4-149658229-60
NR8291--MA1421.1.TCF7L1	chr8	72291253	72291264	+	0.000	0.000	Merged-chr8-72291225-23
NR8358--MA0523.1.TCF7L2	chr8	88771556	88771569	-	0.000	0.000	Merged-chr8-88771445-24
NR9028--MA0523.1.TCF7L2	chr9	123462003	123462016	-	0.000	0.000	Merged-chr9-123461997-47
NR16--MA0523.1.TCF7L2	chr1	13559596	13559609	+	0.000	0.000	Merged-chr1-13559747-54
NR6901--MA1421.1.TCF7L1	chr5	118465205	118465216	+	0.000	0.000	Merged-chr5-118465239-56
NR3159--MA1421.1.TCF7L1	chr15	58655206	58655217	-	0.000	0.000	Merged-chr15-58655104-54
NR8448--MA0769.1.Tcf7	chr8	120715517	120715528	-	0.000	0.000	Merged-chr8-120715474-36
NR1605--MA1421.1.TCF7L1	chr11	109495865	109495876	+	0.000	0.000	Merged-chr11-109495747-14
NR4350--MA0523.1.TCF7L2	chr19	10698523	10698536	-	0.000	0.000	Merged-chr19-10698600-31
NR3457--MA0523.1.TCF7L2	chr16	33053357	33053370	-	0.000	0.000	Merged-chr16-33053250-22
NR3663--MA0523.1.TCF7L2	chr16	91366677	91366690	+	0.000	0.000	Merged-chr16-91366873-55
NR8292--MA0523.1.TCF7L2	chr8	72291253	72291266	+	0.000	0.000	Merged-chr8-72291225-23
NR9181--MA0769.1.Tcf7	chrX	164318701	164318712	-	0.000	0.000	Merged-chrX-164318746-35
NR9029--MA0769.1.Tcf7	chr9	123462005	123462016	-	0.000	0.000	Merged-chr9-123461997-47
NR1007--MA1421.1.TCF7L1	chr10	76271523	76271534	+	0.000	0.000	Merged-chr10-76271555-43
NR6812--MA0769.1.Tcf7	chr5	100526271	100526282	-	0.000	0.000	Merged-chr5-100526478-48
NR3668--MA0769.1.Tcf7	chr16	91781056	91781067	-	0.000	0.000	Merged-chr16-91781071-63
NR3463--MA1421.1.TCF7L1	chr16	33691697	33691708	-	0.000	0.000	Merged-chr16-33691596-37
NR5843--MA1421.1.TCF7L1	chr3	131057422	131057433	-	0.000	0.000	Merged-chr3-131057396-52
NR6865--MA1421.1.TCF7L1	chr5	107646069	107646080	-	0.000	0.000	Merged-chr5-107646170-26
NR8123--MA1421.1.TCF7L1	chr7	143644168	143644179	-	0.000	0.000	Merged-chr7-143644190-29
NR839--MA0769.1.Tcf7	chr10	34171286	34171297	+	0.000	0.000	Merged-chr10-34171360-52
NR8232--MA0523.1.TCF7L2	chr8	46869686	46869699	+	0.000	0.000	Merged-chr8-46869591-35
NR6811--MA0523.1.TCF7L2	chr5	100526269	100526282	-	0.000	0.000	Merged-chr5-100526478-48
NR6869--MA1421.1.TCF7L1	chr5	107932809	107932820	+	0.000	0.000	Merged-chr5-107932779-30
NR3669--MA1421.1.TCF7L1	chr16	91789973	91789984	+	0.000	0.000	Merged-chr16-91789935-50
NR8674--MA0523.1.TCF7L2	chr9	54613058	54613071	+	0.000	0.000	Merged-chr9-54612864-43
NR3670--MA0769.1.Tcf7	chr16	91789973	91789984	+	0.000	0.000	Merged-chr16-91789935-50
NR482--MA0769.1.Tcf7	chr1	151083957	151083968	-	0.000	0.000	Merged-chr1-151084034-24
NR3752--MA0523.1.TCF7L2	chr17	12727941	12727954	+	0.000	0.000	Merged-chr17-12727995-27
NR8693--MA1421.1.TCF7L1	chr9	61427179	61427190	-	0.000	0.000	Merged-chr9-61427187-31
NR8074--MA0769.1.Tcf7	chr7	135605122	135605133	+	0.000	0.000	Merged-chr7-135605308-40
NR3537--MA0523.1.TCF7L2	chr16	49772876	49772889	+	0.000	0.000	Merged-chr16-49772867-33
NR1242--MA0769.1.Tcf7	chr10	118096221	118096232	+	0.000	0.000	Merged-chr10-118096400-51
NR2888--MA0523.1.TCF7L2	chr14	78687934	78687947	-	0.000	0.000	Merged-chr14-78687892-42
NR3664--MA0769.1.Tcf7	chr16	91366677	91366688	+	0.000	0.000	Merged-chr16-91366873-55
NR5844--MA0769.1.Tcf7	chr3	131057422	131057433	-	0.000	0.000	Merged-chr3-131057396-52
NR441--MA0523.1.TCF7L2	chr1	143466098	143466111	+	0.000	0.000	Merged-chr1-143466091-51
NR7520--MA1421.1.TCF7L1	chr6	129627626	129627637	-	0.000	0.000	Merged-chr6-129627649-22
NR1240--MA1421.1.TCF7L1	chr10	118050337	118050348	-	0.000	0.000	Merged-chr10-118050458-52
NR8357--MA1421.1.TCF7L1	chr8	88771558	88771569	-	0.000	0.000	Merged-chr8-88771445-24
NR4645--MA0769.1.Tcf7	chr2	32715042	32715053	-	0.000	0.000	Merged-chr2-32715137-51
NR5773--MA0523.1.TCF7L2	chr3	116652211	116652224	+	0.000	0.000	Merged-chr3-116652176-28
NR1657--MA1421.1.TCF7L1	chr11	117848740	117848751	-	0.000	0.000	Merged-chr11-117848914-89
NR481--MA1421.1.TCF7L1	chr1	151083957	151083968	-	0.000	0.000	Merged-chr1-151084034-24
NR7305--MA1421.1.TCF7L1	chr6	86593410	86593421	-	0.000	0.000	Merged-chr6-86593452-56
NR4441--MA0523.1.TCF7L2	chr19	40665895	40665908	-	0.000	0.000	Merged-chr19-40666029-20
NR8335--MA1421.1.TCF7L1	chr8	83779701	83779712	-	0.000	0.000	Merged-chr8-83779707-23
NR9180--MA1421.1.TCF7L1	chrX	164318701	164318712	-	0.000	0.000	Merged-chrX-164318746-35
NR7515--MA1421.1.TCF7L1	chr6	129406118	129406129	-	0.000	0.000	Merged-chr6-129406250-15
NR244--MA0769.1.Tcf7	chr1	88450938	88450949	-	0.000	0.000	Merged-chr1-88450830-24
NR3186--MA0523.1.TCF7L2	chr15	66825623	66825636	+	0.000	0.000	Merged-chr15-66825502-98
NR4442--MA0769.1.Tcf7	chr19	40665897	40665908	-	0.000	0.000	Merged-chr19-40666029-20
NR8336--MA0769.1.Tcf7	chr8	83779701	83779712	-	0.000	0.000	Merged-chr8-83779707-23
NR5311--MA1421.1.TCF7L1	chr2	168429802	168429813	+	0.000	0.000	Merged-chr2-168429700-17
