#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_dn.bed
NR3493--MA0002.2.RUNX1	chr15	80897004	80897014	-	0.000	0.000	Merged-chr15-80896921-31
NR3022--MA0684.1.RUNX3	chr14	73290033	73290042	-	0.000	0.000	Merged-chr14-73290096-39
NR3145--MA0002.2.RUNX1	chr14	115250747	115250757	+	0.000	0.000	Merged-chr14-115250840-27
NR5652--MA0511.2.RUNX2	chr3	21911281	21911289	-	0.000	0.000	Merged-chr3-21911228-38
NR5348--MA0002.2.RUNX1	chr2	128470658	128470668	-	0.000	0.000	Merged-chr2-128470524-44
NR5456--MA0684.1.RUNX3	chr2	150307354	150307363	+	0.000	0.000	Merged-chr2-150307166-50
NR540--MA0684.1.RUNX3	chr1	144355777	144355786	-	0.000	0.000	Merged-chr1-144355940-45
NR9382--MA0684.1.RUNX3	chr9	116369243	116369252	-	0.000	0.000	Merged-chr9-116369265-54
NR5545--MA0002.2.RUNX1	chr2	172390742	172390752	+	0.000	0.000	Merged-chr2-172390550-32
NR8922--MA0002.2.RUNX1	chr8	124242428	124242438	+	0.000	0.000	Merged-chr8-124242348-54
NR533--MA0002.2.RUNX1	chr1	144086318	144086328	+	0.000	0.000	Merged-chr1-144086303-34
NR4833--MA0684.1.RUNX3	chr19	41354448	41354457	-	0.000	0.000	Merged-chr19-41354593-71
NR9235--MA0511.2.RUNX2	chr9	85671752	85671760	-	0.000	0.000	Merged-chr9-85671881-60
NR10--MA0511.2.RUNX2	chr1	6467288	6467296	-	0.000	0.000	Merged-chr1-6467226-38
NR3625--MA0684.1.RUNX3	chr16	14088467	14088476	-	0.000	0.000	Merged-chr16-14088440-49
NR493--MA0002.2.RUNX1	chr1	133695096	133695106	-	0.000	0.000	Merged-chr1-133694971-54
NR6711--MA0002.2.RUNX1	chr4	134041640	134041650	-	0.000	0.000	Merged-chr4-134041766-28
NR621--MA0002.2.RUNX1	chr1	164966197	164966207	-	0.000	0.000	Merged-chr1-164966286-53
NR3115--MA0684.1.RUNX3	chr14	105272269	105272278	+	0.000	0.000	Merged-chr14-105272291-16
NR7726--MA0684.1.RUNX3	chr6	86850880	86850889	-	0.000	0.000	Merged-chr6-86850884-40
NR9244--MA0684.1.RUNX3	chr9	86624320	86624329	-	0.000	0.000	Merged-chr9-86624608-86
NR4901--MA0002.2.RUNX1	chr2	9871365	9871375	+	0.000	0.000	Merged-chr2-9871528-52
NR8242--MA0002.2.RUNX1	chr7	64043159	64043169	-	0.000	0.000	Merged-chr7-64043125-48
NR4500--MA0002.2.RUNX1	chr18	39009101	39009111	-	0.000	0.000	Merged-chr18-39009323-57
NR4900--MA0684.1.RUNX3	chr2	9689686	9689695	-	0.000	0.000	Merged-chr2-9689730-31
NR4133--MA0002.2.RUNX1	chr17	25584077	25584087	+	0.000	0.000	Merged-chr17-25583989-33
NR1427--MA0684.1.RUNX3	chr11	23818891	23818900	-	0.000	0.000	Merged-chr11-23819028-15
NR9598--MA0002.2.RUNX1	chrX	162868555	162868565	-	0.000	0.000	Merged-chrX-162868446-21
NR9379--MA0684.1.RUNX3	chr9	116366366	116366375	+	0.000	0.000	Merged-chr9-116366334-59
NR2671--MA0002.2.RUNX1	chr13	108303579	108303589	+	0.000	0.000	Merged-chr13-108303499-73
NR212--MA0002.2.RUNX1	chr1	62829800	62829810	+	0.000	0.000	Merged-chr1-62829921-36
NR2975--MA0684.1.RUNX3	chr14	60712417	60712426	+	0.000	0.000	Merged-chr14-60712353-74
NR1039--MA0684.1.RUNX3	chr10	57799672	57799681	+	0.000	0.000	Merged-chr10-57799667-19
NR162--MA0511.2.RUNX2	chr1	52019869	52019877	-	0.000	0.000	Merged-chr1-52019898-50
NR605--MA0002.2.RUNX1	chr1	161794746	161794756	+	0.000	0.000	Merged-chr1-161794797-65
NR6933--MA0684.1.RUNX3	chr5	23637511	23637520	+	0.000	0.000	Merged-chr5-23637519-38
NR6741--MA0511.2.RUNX2	chr4	138257420	138257428	+	0.000	0.000	Merged-chr4-138257384-22
NR6708--MA0002.2.RUNX1	chr4	133873110	133873120	+	0.000	0.000	Merged-chr4-133873054-46
NR727--MA0002.2.RUNX1	chr1	184005826	184005836	-	0.000	0.000	Merged-chr1-184005889-70
NR585--MA0684.1.RUNX3	chr1	155476449	155476458	-	0.000	0.000	Merged-chr1-155476472-40
NR6145--MA0002.2.RUNX1	chr3	142281338	142281348	-	0.000	0.000	Merged-chr3-142281213-32
NR4845--MA0002.2.RUNX1	chr19	46705948	46705958	+	0.000	0.000	Merged-chr19-46705884-16
NR9329--MA0684.1.RUNX3	chr9	107280571	107280580	+	0.000	0.000	Merged-chr9-107280639-112
NR2274--MA0684.1.RUNX3	chr13	8742951	8742960	+	0.000	0.000	Merged-chr13-8742974-25
NR143--MA0002.2.RUNX1	chr1	40470134	40470144	+	0.000	0.000	Merged-chr1-40470075-45
NR4761--MA0511.2.RUNX2	chr19	8592422	8592430	+	0.000	0.000	Merged-chr19-8592238-38
NR6964--MA0511.2.RUNX2	chr5	35166062	35166070	-	0.000	0.000	Merged-chr5-35166204-55
NR8753--MA0511.2.RUNX2	chr8	81704155	81704163	-	0.000	0.000	Merged-chr8-81703996-53
NR4837--MA0002.2.RUNX1	chr19	41874495	41874505	-	0.000	0.000	Merged-chr19-41874574-30
NR8654--MA0002.2.RUNX1	chr8	36016391	36016401	+	0.000	0.000	Merged-chr8-36016456-26
NR8110--MA0002.2.RUNX1	chr7	16827511	16827521	+	0.000	0.000	Merged-chr7-16827547-27
NR4383--MA0002.2.RUNX1	chr17	86779459	86779469	-	0.000	0.000	Merged-chr17-86779381-46
NR723--MA0511.2.RUNX2	chr1	181860901	181860909	-	0.000	0.000	Merged-chr1-181860828-54
NR7349--MA0684.1.RUNX3	chr5	138085494	138085503	-	0.000	0.000	Merged-chr5-138085334-61
NR6032--MA0511.2.RUNX2	chr3	115692546	115692554	+	0.000	0.000	Merged-chr3-115692552-34
NR7500--MA0002.2.RUNX1	chr6	30326368	30326378	+	0.000	0.000	Merged-chr6-30326370-32
NR6203--MA0684.1.RUNX3	chr3	146686722	146686731	-	0.000	0.000	Merged-chr3-146686610-31
NR3620--MA0511.2.RUNX2	chr16	14088428	14088436	-	0.000	0.000	Merged-chr16-14088440-49
NR8863--MA0684.1.RUNX3	chr8	114879898	114879907	-	0.000	0.000	Merged-chr8-114879936-19
NR4649--MA0511.2.RUNX2	chr18	70633836	70633844	+	0.000	0.000	Merged-chr18-70633740-34
NR2456--MA0002.2.RUNX1	chr13	63189852	63189862	-	0.000	0.000	Merged-chr13-63189715-33
NR4182--MA0511.2.RUNX2	chr17	35246464	35246472	-	0.000	0.000	Merged-chr17-35246340-22
NR4658--MA0684.1.RUNX3	chr18	73548756	73548765	-	0.000	0.000	Merged-chr18-73548790-35
NR4367--MA0002.2.RUNX1	chr17	83846459	83846469	+	0.000	0.000	Merged-chr17-83846499-25
NR3513--MA0002.2.RUNX1	chr15	89131568	89131578	-	0.000	0.000	Merged-chr15-89131620-40
NR8315--MA0511.2.RUNX2	chr7	80209934	80209942	-	0.000	0.000	Merged-chr7-80209951-53
NR5825--MA0002.2.RUNX1	chr3	61409818	61409828	+	0.000	0.000	Merged-chr3-61409766-58
NR4607--MA0511.2.RUNX2	chr18	62186217	62186225	+	0.000	0.000	Merged-chr18-62186304-32
NR6046--MA0684.1.RUNX3	chr3	116652129	116652138	-	0.000	0.000	Merged-chr3-116652176-28
NR7200--MA0002.2.RUNX1	chr5	100886743	100886753	-	0.000	0.000	Merged-chr5-100886788-32
NR1541--MA0002.2.RUNX1	chr11	58424151	58424161	+	0.000	0.000	Merged-chr11-58424093-17
NR5424--MA0002.2.RUNX1	chr2	144231342	144231352	+	0.000	0.000	Merged-chr2-144231243-34
NR4468--MA0002.2.RUNX1	chr18	23734925	23734935	+	0.000	0.000	Merged-chr18-23734973-16
NR6277--MA0684.1.RUNX3	chr4	6924977	6924986	+	0.000	0.000	Merged-chr4-6924913-49
NR9111--MA0002.2.RUNX1	chr9	54612825	54612835	+	0.000	0.000	Merged-chr9-54612864-43
NR5480--MA0002.2.RUNX1	chr2	156877905	156877915	+	0.000	0.000	Merged-chr2-156878033-50
NR3627--MA0002.2.RUNX1	chr16	14088506	14088516	+	0.000	0.000	Merged-chr16-14088440-49
NR7282--MA0002.2.RUNX1	chr5	118465459	118465469	+	0.000	0.000	Merged-chr5-118465239-56
NR4132--MA0511.2.RUNX2	chr17	25584079	25584087	-	0.000	0.000	Merged-chr17-25583989-33
NR5654--MA0684.1.RUNX3	chr3	21911280	21911289	-	0.000	0.000	Merged-chr3-21911228-38
NR2356--MA0511.2.RUNX2	chr13	32966242	32966250	-	0.000	0.000	Merged-chr13-32966239-7
NR1655--MA0002.2.RUNX1	chr11	97718555	97718565	-	0.000	0.000	Merged-chr11-97718519-10
NR1764--MA0002.2.RUNX1	chr11	119166074	119166084	+	0.000	0.000	Merged-chr11-119166198-51
NR3696--MA0002.2.RUNX1	chr16	32190254	32190264	-	0.000	0.000	Merged-chr16-32190230-31
NR3301--MA0002.2.RUNX1	chr15	36562936	36562946	-	0.000	0.000	Merged-chr15-36562926-39
NR1350--MA0002.2.RUNX1	chr11	3328488	3328498	+	0.000	0.000	Merged-chr11-3328528-3
NR4992--MA0002.2.RUNX1	chr2	27693898	27693908	-	0.000	0.000	Merged-chr2-27693880-30
NR6707--MA0511.2.RUNX2	chr4	133873112	133873120	-	0.000	0.000	Merged-chr4-133873054-46
NR9380--MA0511.2.RUNX2	chr9	116369244	116369252	-	0.000	0.000	Merged-chr9-116369265-54
NR3932--MA0684.1.RUNX3	chr16	91781029	91781038	+	0.000	0.000	Merged-chr16-91781071-63
NR7396--MA0002.2.RUNX1	chr5	149246236	149246246	-	0.000	0.000	Merged-chr5-149246178-51
NR3816--MA0002.2.RUNX1	chr16	64758703	64758713	+	0.000	0.000	Merged-chr16-64758494-145
NR12--MA0684.1.RUNX3	chr1	6467287	6467296	-	0.000	0.000	Merged-chr1-6467226-38
NR3623--MA0511.2.RUNX2	chr16	14088468	14088476	-	0.000	0.000	Merged-chr16-14088440-49
NR3113--MA0511.2.RUNX2	chr14	105272269	105272277	+	0.000	0.000	Merged-chr14-105272291-16
NR7724--MA0511.2.RUNX2	chr6	86850881	86850889	-	0.000	0.000	Merged-chr6-86850884-40
NR5653--MA0002.2.RUNX1	chr3	21911279	21911289	+	0.000	0.000	Merged-chr3-21911228-38
NR8934--MA0002.2.RUNX1	chr8	125725663	125725673	+	0.000	0.000	Merged-chr8-125725496-61
NR9374--MA0002.2.RUNX1	chr9	116212260	116212270	+	0.000	0.000	Merged-chr9-116212405-59
NR7346--MA0002.2.RUNX1	chr5	138085468	138085478	+	0.000	0.000	Merged-chr5-138085334-61
NR4650--MA0002.2.RUNX1	chr18	70633836	70633846	-	0.000	0.000	Merged-chr18-70633740-34
NR3747--MA0002.2.RUNX1	chr16	46022382	46022392	+	0.000	0.000	Merged-chr16-46022516-69
NR4140--MA0002.2.RUNX1	chr17	28015636	28015646	+	0.000	0.000	Merged-chr17-28015703-1
NR5278--MA0002.2.RUNX1	chr2	102948327	102948337	-	0.000	0.000	Merged-chr2-102948525-77
NR904--MA0002.2.RUNX1	chr10	19209817	19209827	+	0.000	0.000	Merged-chr10-19209945-33
NR6931--MA0511.2.RUNX2	chr5	23637511	23637519	+	0.000	0.000	Merged-chr5-23637519-38
NR375--MA0002.2.RUNX1	chr1	92469137	92469147	-	0.000	0.000	Merged-chr1-92469061-38
NR9236--MA0002.2.RUNX1	chr9	85671750	85671760	+	0.000	0.000	Merged-chr9-85671881-60
NR341--MA0002.2.RUNX1	chr1	87607792	87607802	-	0.000	0.000	Merged-chr1-87607643-76
NR7271--MA0684.1.RUNX3	chr5	115516845	115516854	+	0.000	0.000	Merged-chr5-115516638-85
NR9202--MA0002.2.RUNX1	chr9	80266694	80266704	+	0.000	0.000	Merged-chr9-80266579-55
NR2290--MA0002.2.RUNX1	chr13	12521851	12521861	+	0.000	0.000	Merged-chr13-12521905-15
NR4764--MA0002.2.RUNX1	chr19	8592429	8592439	-	0.000	0.000	Merged-chr19-8592238-38
NR2670--MA0002.2.RUNX1	chr13	108303436	108303446	+	0.000	0.000	Merged-chr13-108303499-73
NR9201--MA0684.1.RUNX3	chr9	79810696	79810705	+	0.000	0.000	Merged-chr9-79810670-36
NR9195--MA0684.1.RUNX3	chr9	78074229	78074238	+	0.000	0.000	Merged-chr9-78074095-46
NR4899--MA0002.2.RUNX1	chr2	9689685	9689695	+	0.000	0.000	Merged-chr2-9689730-31
NR19--MA0511.2.RUNX2	chr1	7147198	7147206	+	0.000	0.000	Merged-chr1-7147128-26
NR62--MA0511.2.RUNX2	chr1	16228098	16228106	-	0.000	0.000	Merged-chr1-16228179-38
NR9110--MA0511.2.RUNX2	chr9	54612827	54612835	-	0.000	0.000	Merged-chr9-54612864-43
NR725--MA0684.1.RUNX3	chr1	181860900	181860909	-	0.000	0.000	Merged-chr1-181860828-54
NR2992--MA0511.2.RUNX2	chr14	65102596	65102604	+	0.000	0.000	Merged-chr14-65102691-41
NR163--MA0002.2.RUNX1	chr1	52019867	52019877	+	0.000	0.000	Merged-chr1-52019898-50
NR3626--MA0511.2.RUNX2	chr16	14088508	14088516	-	0.000	0.000	Merged-chr16-14088440-49
NR4225--MA0002.2.RUNX1	chr17	50071769	50071779	+	0.000	0.000	Merged-chr17-50071769-42
NR5144--MA0511.2.RUNX2	chr2	60845519	60845527	-	0.000	0.000	Merged-chr2-60845573-40
NR7347--MA0511.2.RUNX2	chr5	138085495	138085503	-	0.000	0.000	Merged-chr5-138085334-61
NR6742--MA0002.2.RUNX1	chr4	138257420	138257430	-	0.000	0.000	Merged-chr4-138257384-22
NR7599--MA0511.2.RUNX2	chr6	52965624	52965632	-	0.000	0.000	Merged-chr6-52965594-53
NR2872--MA0002.2.RUNX1	chr14	25421961	25421971	-	0.000	0.000	Merged-chr14-25421957-44
NR2667--MA0002.2.RUNX1	chr13	107897467	107897477	-	0.000	0.000	Merged-chr13-107897363-37
NR9245--MA0511.2.RUNX2	chr9	86624346	86624354	-	0.000	0.000	Merged-chr9-86624608-86
NR6201--MA0511.2.RUNX2	chr3	146686723	146686731	-	0.000	0.000	Merged-chr3-146686610-31
