#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_dn.bed
NR63934--MA0599.1.KLF5	chr8	3353394	3353403	+	0.000	0.000	Merged-chr8-3353373-47
NR58250--MA0741.1.KLF16	chr6	140722427	140722437	+	0.000	0.000	Merged-chr6-140722560-90
NR42746--MA0039.3.KLF4	chr3	115692528	115692538	+	0.000	0.000	Merged-chr3-115692552-34
NR37377--MA0741.1.KLF16	chr2	102850114	102850124	+	0.000	0.000	Merged-chr2-102849968-21
NR52129--MA0599.1.KLF5	chr5	114246626	114246635	+	0.000	0.000	Merged-chr5-114246791-23
NR10923--MA0039.3.KLF4	chr11	72342369	72342379	-	0.000	0.000	Merged-chr11-72342522-29
NR3073--MA0742.1.Klf12	chr1	153304278	153304292	+	0.000	0.000	Merged-chr1-153304263-23
NR22038--MA0599.1.KLF5	chr14	120520132	120520141	+	0.000	0.000	Merged-chr14-120520145-25
NR12478--MA0741.1.KLF16	chr11	106193671	106193681	+	0.000	0.000	Merged-chr11-106193514-84
NR3313--MA0493.1.Klf1	chr1	156956591	156956601	-	0.000	0.000	Merged-chr1-156956579-55
NR49256--MA0039.3.KLF4	chr5	5420286	5420296	+	0.000	0.000	Merged-chr5-5420247-39
NR51033--MA0039.3.KLF4	chr5	77092011	77092021	-	0.000	0.000	Merged-chr5-77092081-48
NR47821--MA0741.1.KLF16	chr4	134117230	134117240	+	0.000	0.000	Merged-chr4-134117148-42
NR50681--MA0742.1.Klf12	chr5	64864850	64864864	+	0.000	0.000	Merged-chr5-64864889-25
NR48327--MA0741.1.KLF16	chr4	140983708	140983718	-	0.000	0.000	Merged-chr4-140983649-41
NR17340--MA0493.1.Klf1	chr13	63189530	63189540	-	0.000	0.000	Merged-chr13-63189715-33
NR47678--MA0599.1.KLF5	chr4	132749054	132749063	-	0.000	0.000	Merged-chr4-132748989-25
NR57478--MA0742.1.Klf12	chr6	125067855	125067869	-	0.000	0.000	Merged-chr6-125067765-41
NR12393--MA0740.1.KLF14	chr11	104631542	104631555	-	0.000	0.000	Merged-chr11-104631492-24
