#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/Bcl6KO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.05_dn.bed
NR3920--MA0523.1.TCF7L2	chr6	98632683	98632696	+	0.000	0.000	Merged-chr6-98632758-43
NR2257--MA0523.1.TCF7L2	chr18	32543279	32543292	-	0.000	0.000	Merged-chr18-32543284-47
NR2373--MA1421.1.TCF7L1	chr18	89626968	89626979	-	0.000	0.000	Merged-chr18-89627032-39
NR3922--MA0523.1.TCF7L2	chr6	98632817	98632830	+	0.000	0.000	Merged-chr6-98632758-43
NR2259--MA0523.1.TCF7L2	chr18	32543343	32543356	-	0.000	0.000	Merged-chr18-32543284-47
NR2258--MA0769.1.Tcf7	chr18	32543281	32543292	-	0.000	0.000	Merged-chr18-32543284-47
NR3921--MA0769.1.Tcf7	chr6	98632683	98632694	+	0.000	0.000	Merged-chr6-98632758-43
NR2374--MA0523.1.TCF7L2	chr18	89626966	89626979	-	0.000	0.000	Merged-chr18-89627032-39
NR3065--MA0523.1.TCF7L2	chr3	109421018	109421031	+	0.000	0.000	Merged-chr3-109421125-43
NR2375--MA0769.1.Tcf7	chr18	89626968	89626979	-	0.000	0.000	Merged-chr18-89627032-39
NR4028--MA0769.1.Tcf7	chr6	142451678	142451689	+	0.000	0.000	Merged-chr6-142451587-10
NR4550--MA0523.1.TCF7L2	chr8	126539840	126539853	-	0.000	0.000	Merged-chr8-126539798-23
NR3734--MA0523.1.TCF7L2	chr5	140871379	140871392	+	0.000	0.000	Merged-chr5-140871418-38
NR3066--MA0769.1.Tcf7	chr3	109421018	109421029	+	0.000	0.000	Merged-chr3-109421125-43
NR3064--MA1421.1.TCF7L1	chr3	109421018	109421029	+	0.000	0.000	Merged-chr3-109421125-43
NR2980--MA0523.1.TCF7L2	chr3	79451540	79451553	-	0.000	0.000	Merged-chr3-79451498-29
NR2260--MA0769.1.Tcf7	chr18	32543345	32543356	-	0.000	0.000	Merged-chr18-32543284-47
