#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tbx21/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed
NR1099--MA0690.1.TBX21	chr2	32181496	32181505	-	0.000	0.000	Merged-chr2-32181600-13
NR1993--MA0690.1.TBX21	chr8	117198136	117198145	-	0.000	0.000	Merged-chr8-117198283-35
NR1555--MA0690.1.TBX21	chr5	68033433	68033442	+	0.000	0.000	Merged-chr5-68033501-23
NR1412--MA0690.1.TBX21	chr4	35096792	35096801	-	0.000	0.000	Merged-chr4-35096609-40
NR1351--MA0690.1.TBX21	chr3	132927943	132927952	-	0.000	0.000	Merged-chr3-132927951-20
NR554--MA0690.1.TBX21	chr13	53346174	53346183	-	0.000	0.000	Merged-chr13-53346089-14
NR852--MA0690.1.TBX21	chr16	76310895	76310904	+	0.000	0.000	Merged-chr16-76310830-49
NR647--MA0690.1.TBX21	chr14	30184812	30184821	-	0.000	0.000	Merged-chr14-30184705-37
NR531--MA0690.1.TBX21	chr13	35841997	35842006	+	0.000	0.000	Merged-chr13-35841945-14
NR448--MA0690.1.TBX21	chr12	33220643	33220652	+	0.000	0.000	Merged-chr12-33220672-27
NR1968--MA0690.1.TBX21	chr8	84201493	84201502	-	0.000	0.000	Merged-chr8-84201386-2
NR1817--MA0690.1.TBX21	chr7	35729784	35729793	+	0.000	0.000	Merged-chr7-35729754-35
NR82--MA0690.1.TBX21	chr1	138542802	138542811	-	0.000	0.000	Merged-chr1-138542700-22
NR1788--MA0690.1.TBX21	chr6	145469461	145469470	-	0.000	0.000	Merged-chr6-145469437-17
NR1515--MA0690.1.TBX21	chr4	154936066	154936075	+	0.000	0.000	Merged-chr4-154936025-18
NR1087--MA0690.1.TBX21	chr2	25095323	25095332	+	0.000	0.000	Merged-chr2-25095278-14
