#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Lef1/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_up.bed
NR874--MA0768.1.LEF1	chr14	61784756	61784770	+	0.000	0.000	Merged-chr14-61784854-5
NR1560--MA0768.1.LEF1	chr2	101616180	101616194	+	0.000	0.000	Merged-chr2-101616143-32
NR2762--MA0768.1.LEF1	chr8	123026115	123026129	-	0.000	0.000	Merged-chr8-123026094-33
NR1350--MA0768.1.LEF1	chr18	55107223	55107237	-	0.000	0.000	Merged-chr18-55107186-34
NR1319--MA0768.1.LEF1	chr18	32543278	32543292	-	0.000	0.000	Merged-chr18-32543284-47
NR682--MA0768.1.LEF1	chr13	31505530	31505544	+	0.000	0.000	Merged-chr13-31505526-12
NR1583--MA0768.1.LEF1	chr2	118008229	118008243	+	0.000	0.000	Merged-chr2-118008176-29
NR2767--MA0768.1.LEF1	chr8	126687068	126687082	+	0.000	0.000	Merged-chr8-126687126-29
NR1480--MA0768.1.LEF1	chr2	32181551	32181565	-	0.000	0.000	Merged-chr2-32181600-13
NR2570--MA0768.1.LEF1	chr7	76229075	76229089	-	0.000	0.000	Merged-chr7-76229137-51
NR2897--MA0768.1.LEF1	chrX	17521300	17521314	-	0.000	0.000	Merged-chrX-17521323-26
NR1252--MA0768.1.LEF1	chr17	57286902	57286916	+	0.000	0.000	Merged-chr17-57286889-25
NR490--MA0768.1.LEF1	chr11	75282809	75282823	+	0.000	0.000	Merged-chr11-75282753-54
NR338--MA0768.1.LEF1	chr10	60000162	60000176	-	0.000	0.000	Merged-chr10-60000232-10
NR1024--MA0768.1.LEF1	chr15	63989878	63989892	+	0.000	0.000	Merged-chr15-63989879-13
NR2472--MA0768.1.LEF1	chr6	143115264	143115278	-	0.000	0.000	Merged-chr6-143115192-122
NR1042--MA0768.1.LEF1	chr15	79729194	79729208	+	0.000	0.000	Merged-chr15-79729133-34
NR2902--MA0768.1.LEF1	chrX	52679287	52679301	-	0.000	0.000	Merged-chrX-52679336-26
NR1938--MA0768.1.LEF1	chr4	11143326	11143340	+	0.000	0.000	Merged-chr4-11143309-7
NR2822--MA0768.1.LEF1	chr9	70584885	70584899	-	0.000	0.000	Merged-chr9-70584670-22
NR1956--MA0768.1.LEF1	chr4	21777291	21777305	-	0.000	0.000	Merged-chr4-21777140-4
NR809--MA0768.1.LEF1	chr13	119472025	119472039	-	0.000	0.000	Merged-chr13-119472102-16
NR191--MA0768.1.LEF1	chr1	156901812	156901826	+	0.000	0.000	Merged-chr1-156901975-24
NR2182--MA0768.1.LEF1	chr5	52125950	52125964	-	0.000	0.000	Merged-chr5-52126006-25
NR1849--MA0768.1.LEF1	chr3	131190856	131190870	-	0.000	0.000	Merged-chr3-131190965-19
NR2818--MA0768.1.LEF1	chr9	66492611	66492625	-	0.000	0.000	Merged-chr9-66492510-30
NR196--MA0768.1.LEF1	chr1	161480189	161480203	-	0.000	0.000	Merged-chr1-161480099-19
NR863--MA0768.1.LEF1	chr14	48427649	48427663	-	0.000	0.000	Merged-chr14-48427656-16
NR1979--MA0768.1.LEF1	chr4	46182306	46182320	+	0.000	0.000	Merged-chr4-46182367-16
NR1321--MA0768.1.LEF1	chr18	32598283	32598297	+	0.000	0.000	Merged-chr18-32598271-33
NR1666--MA0768.1.LEF1	chr2	173444361	173444375	+	0.000	0.000	Merged-chr2-173444560-32
NR519--MA0768.1.LEF1	chr12	3990027	3990041	-	0.000	0.000	Merged-chr12-3989980-1
NR1796--MA0768.1.LEF1	chr3	89892611	89892625	-	0.000	0.000	Merged-chr3-89892725-25
NR2886--MA0768.1.LEF1	chr9	116187522	116187536	-	0.000	0.000	Merged-chr9-116187633-9
NR555--MA0768.1.LEF1	chr12	41167986	41168000	-	0.000	0.000	Merged-chr12-41167989-46
NR1241--MA0768.1.LEF1	chr17	47171261	47171275	-	0.000	0.000	Merged-chr17-47171280-54
NR1362--MA0768.1.LEF1	chr18	61188287	61188301	-	0.000	0.000	Merged-chr18-61188282-36
NR685--MA0768.1.LEF1	chr13	34096090	34096104	+	0.000	0.000	Merged-chr13-34096039-50
