#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tbx21/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_up.bed
NR267--MA0690.1.TBX21	chr11	35283352	35283361	+	0.000	0.000	Merged-chr11-35283251-26
NR1580--MA0690.1.TBX21	chr8	117198136	117198145	-	0.000	0.000	Merged-chr8-117198283-35
NR1293--MA0690.1.TBX21	chr5	118589284	118589293	-	0.000	0.000	Merged-chr5-118589133-25
NR1360--MA0690.1.TBX21	chr6	67129047	67129056	-	0.000	0.000	Merged-chr6-67129210-17
NR71--MA0690.1.TBX21	chr1	106688284	106688293	-	0.000	0.000	Merged-chr1-106688184-71
NR284--MA0690.1.TBX21	chr11	90257389	90257398	-	0.000	0.000	Merged-chr11-90257307-51
NR1187--MA0690.1.TBX21	chr4	127095185	127095194	-	0.000	0.000	Merged-chr4-127095353-15
NR263--MA0690.1.TBX21	chr11	32139733	32139742	-	0.000	0.000	Merged-chr11-32139668-21
NR173--MA0690.1.TBX21	chr10	40479339	40479348	+	0.000	0.000	Merged-chr10-40479489-48
NR186--MA0690.1.TBX21	chr10	58350963	58350972	-	0.000	0.000	Merged-chr10-58350801-17
NR1502--MA0690.1.TBX21	chr7	121059573	121059582	-	0.000	0.000	Merged-chr7-121059708-48
NR1685--MA0690.1.TBX21	chrX	106962486	106962495	-	0.000	0.000	Merged-chrX-106962471-28
NR1316--MA0690.1.TBX21	chr5	148377743	148377752	-	0.000	0.000	Merged-chr5-148377759-34
NR27--MA0690.1.TBX21	chr1	43501267	43501276	+	0.000	0.000	Merged-chr1-43501314-13
NR70--MA0690.1.TBX21	chr1	106647500	106647509	+	0.000	0.000	Merged-chr1-106647524-44
NR804--MA0690.1.TBX21	chr18	62151883	62151892	-	0.000	0.000	Merged-chr18-62151803-40
NR1149--MA0690.1.TBX21	chr4	63486692	63486701	-	0.000	0.000	Merged-chr4-63486767-20
NR531--MA0690.1.TBX21	chr14	78307336	78307345	-	0.000	0.000	Merged-chr14-78307471-124
NR958--MA0690.1.TBX21	chr2	150578690	150578699	-	0.000	0.000	Merged-chr2-150578789-44
NR265--MA0690.1.TBX21	chr11	34043144	34043153	+	0.000	0.000	Merged-chr11-34043059-39
NR1416--MA0690.1.TBX21	chr6	144922953	144922962	+	0.000	0.000	Merged-chr6-144923057-24
NR1254--MA0690.1.TBX21	chr5	64662588	64662597	+	0.000	0.000	Merged-chr5-64662440-49
NR1477--MA0690.1.TBX21	chr7	84149056	84149065	-	0.000	0.000	Merged-chr7-84149073-24
NR1172--MA0690.1.TBX21	chr4	98436801	98436810	+	0.000	0.000	Merged-chr4-98436733-103
NR1509--MA0690.1.TBX21	chr7	128376333	128376342	-	0.000	0.000	Merged-chr7-128376440-37
NR933--MA0690.1.TBX21	chr2	132292463	132292472	+	0.000	0.000	Merged-chr2-132292299-25
NR532--MA0690.1.TBX21	chr14	79239542	79239551	+	0.000	0.000	Merged-chr14-79239575-1
NR402--MA0690.1.TBX21	chr13	34096003	34096012	+	0.000	0.000	Merged-chr13-34096039-50
NR1427--MA0690.1.TBX21	chr7	4948533	4948542	-	0.000	0.000	Merged-chr7-4948568-26
NR1536--MA0690.1.TBX21	chr8	22537167	22537176	-	0.000	0.000	Merged-chr8-22537059-19
NR960--MA0690.1.TBX21	chr2	153278540	153278549	+	0.000	0.000	Merged-chr2-153278581-35
NR58--MA0690.1.TBX21	chr1	89090453	89090462	+	0.000	0.000	Merged-chr1-89090487-27
NR856--MA0690.1.TBX21	chr2	18920292	18920301	-	0.000	0.000	Merged-chr2-18920394-54
NR203--MA0690.1.TBX21	chr10	90969660	90969669	+	0.000	0.000	Merged-chr10-90969735-47
NR1079--MA0690.1.TBX21	chr3	130749539	130749548	-	0.000	0.000	Merged-chr3-130749369-18
NR569--MA0690.1.TBX21	chr15	6726740	6726749	-	0.000	0.000	Merged-chr15-6726597-28
NR134--MA0690.1.TBX21	chr1	193285698	193285707	-	0.000	0.000	Merged-chr1-193285975-30
NR737--MA0690.1.TBX21	chr17	47171340	47171349	+	0.000	0.000	Merged-chr17-47171280-54
NR859--MA0690.1.TBX21	chr2	25828789	25828798	+	0.000	0.000	Merged-chr2-25828697-14
NR1683--MA0690.1.TBX21	chrX	99042697	99042706	-	0.000	0.000	Merged-chrX-99042663-22
