#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed
NR9204--MA0684.1.RUNX3	chr9	80313775	80313784	-	0.000	0.000	Merged-chr9-80313733-27
NR8950--MA0684.1.RUNX3	chr8	128473688	128473697	+	0.000	0.000	Merged-chr8-128473725-2
NR7855--MA0511.2.RUNX2	chr6	120077253	120077261	+	0.000	0.000	Merged-chr6-120077232-23
NR5728--MA0002.2.RUNX1	chr3	41077544	41077554	+	0.000	0.000	Merged-chr3-41077638-22
NR5043--MA0002.2.RUNX1	chr2	45197066	45197076	-	0.000	0.000	Merged-chr2-45197380-25
NR3366--MA0511.2.RUNX2	chr15	50841965	50841973	+	0.000	0.000	Merged-chr15-50841998-15
NR5022--MA0002.2.RUNX1	chr2	35259869	35259879	+	0.000	0.000	Merged-chr2-35259882-5
NR18--MA0684.1.RUNX3	chr1	7095994	7096003	-	0.000	0.000	Merged-chr1-7096130-35
NR3259--MA0002.2.RUNX1	chr15	25828624	25828634	+	0.000	0.000	Merged-chr15-25828667-44
NR4542--MA0002.2.RUNX1	chr18	49721779	49721789	-	0.000	0.000	Merged-chr18-49721855-41
NR7284--MA0511.2.RUNX2	chr5	118601662	118601670	-	0.000	0.000	Merged-chr5-118601665-20
NR6955--MA0002.2.RUNX1	chr5	31964050	31964060	+	0.000	0.000	Merged-chr5-31963887-11
NR1279--MA0002.2.RUNX1	chr10	116914010	116914020	-	0.000	0.000	Merged-chr10-116914032-56
NR6676--MA0002.2.RUNX1	chr4	123588773	123588783	-	0.000	0.000	Merged-chr4-123588937-38
NR17--MA0002.2.RUNX1	chr1	7095993	7096003	+	0.000	0.000	Merged-chr1-7096130-35
NR978--MA0684.1.RUNX3	chr10	39005776	39005785	+	0.000	0.000	Merged-chr10-39005753-18
NR1801--MA0002.2.RUNX1	chr12	8844922	8844932	+	0.000	0.000	Merged-chr12-8844937-14
NR276--MA0511.2.RUNX2	chr1	78537715	78537723	+	0.000	0.000	Merged-chr1-78537773-101
NR2829--MA0684.1.RUNX3	chr14	15273275	15273284	-	0.000	0.000	Merged-chr14-15273135-43
NR6673--MA0684.1.RUNX3	chr4	123416433	123416442	-	0.000	0.000	Merged-chr4-123416422-1
NR7561--MA0002.2.RUNX1	chr6	43619393	43619403	-	0.000	0.000	Merged-chr6-43619418-19
NR3505--MA0002.2.RUNX1	chr15	85233150	85233160	-	0.000	0.000	Merged-chr15-85233310-62
NR1030--MA0684.1.RUNX3	chr10	56486719	56486728	+	0.000	0.000	Merged-chr10-56486689-18
NR1798--MA0002.2.RUNX1	chr12	8818046	8818056	-	0.000	0.000	Merged-chr12-8817903-12
NR1621--MA0002.2.RUNX1	chr11	85324191	85324201	+	0.000	0.000	Merged-chr11-85324179-42
NR1876--MA0511.2.RUNX2	chr12	34248929	34248937	+	0.000	0.000	Merged-chr12-34249045-49
NR6228--MA0002.2.RUNX1	chr3	152355531	152355541	+	0.000	0.000	Merged-chr3-152355609-21
NR3707--MA0002.2.RUNX1	chr16	35781230	35781240	+	0.000	0.000	Merged-chr16-35781109-15
NR3260--MA0684.1.RUNX3	chr15	25828625	25828634	-	0.000	0.000	Merged-chr15-25828667-44
NR9326--MA0002.2.RUNX1	chr9	105689681	105689691	+	0.000	0.000	Merged-chr9-105689631-24
NR9435--MA0002.2.RUNX1	chrX	17590935	17590945	+	0.000	0.000	Merged-chrX-17590800-11
NR1800--MA0511.2.RUNX2	chr12	8844924	8844932	-	0.000	0.000	Merged-chr12-8844937-14
NR1280--MA0684.1.RUNX3	chr10	116914010	116914019	+	0.000	0.000	Merged-chr10-116914032-56
NR3367--MA0002.2.RUNX1	chr15	50841965	50841975	-	0.000	0.000	Merged-chr15-50841998-15
NR3184--MA0002.2.RUNX1	chr14	120373173	120373183	-	0.000	0.000	Merged-chr14-120372978-21
NR2582--MA0002.2.RUNX1	chr13	93939604	93939614	+	0.000	0.000	Merged-chr13-93939742-17
