#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_up.bed
NR3701--MA0037.3.GATA3	chr18	46448741	46448748	+	0.000	0.000	Merged-chr18-46448750-18
NR3155--MA0482.1.Gata4	chr16	57319937	57319947	-	0.000	0.000	Merged-chr16-57319907-20
NR5587--MA0035.3.Gata1	chr4	124769255	124769265	-	0.000	0.000	Merged-chr4-124769177-27
NR3036--MA0035.3.Gata1	chr16	36602847	36602857	+	0.000	0.000	Merged-chr16-36602811-38
NR6413--MA0035.3.Gata1	chr6	99801066	99801076	+	0.000	0.000	Merged-chr6-99800956-8
NR7689--MA0036.3.GATA2	chr9	78024980	78024990	+	0.000	0.000	Merged-chr9-78024957-31
NR1008--MA0035.3.Gata1	chr10	120895743	120895753	-	0.000	0.000	Merged-chr10-120895921-55
NR7469--MA1104.1.GATA6	chr9	7576784	7576796	+	0.000	0.000	Merged-chr9-7576753-19
NR873--MA1104.1.GATA6	chr10	85359513	85359525	-	0.000	0.000	Merged-chr10-85359625-39
NR2343--MA0766.1.GATA5	chr14	31401017	31401024	+	0.000	0.000	Merged-chr14-31401139-16
NR4241--MA0140.2.GATA1::TAL1	chr2	59474550	59474567	-	0.000	0.000	Merged-chr2-59474458-28
NR5625--MA1104.1.GATA6	chr4	136106795	136106807	-	0.000	0.000	Merged-chr4-136106995-34
NR6482--MA0035.3.Gata1	chr6	120580288	120580298	-	0.000	0.000	Merged-chr6-120580158-49
NR986--MA0766.1.GATA5	chr10	117377488	117377495	-	0.000	0.000	Merged-chr10-117377577-5
NR2749--MA0766.1.GATA5	chr15	36440115	36440122	+	0.000	0.000	Merged-chr15-36440213-15
NR466--MA0036.3.GATA2	chr1	161309341	161309351	-	0.000	0.000	Merged-chr1-161309457-43
NR2012--MA0035.3.Gata1	chr13	63548593	63548603	-	0.000	0.000	Merged-chr13-63548573-9
NR5297--MA0482.1.Gata4	chr4	11404221	11404231	+	0.000	0.000	Merged-chr4-11404244-13
NR5700--MA0037.3.GATA3	chr4	148638466	148638473	+	0.000	0.000	Merged-chr4-148638535-16
NR161--MA0036.3.GATA2	chr1	84817775	84817785	-	0.000	0.000	Merged-chr1-84817778-11
NR5062--MA1104.1.GATA6	chr3	121689284	121689296	+	0.000	0.000	Merged-chr3-121689232-23
NR5585--MA1104.1.GATA6	chr4	124769254	124769266	+	0.000	0.000	Merged-chr4-124769177-27
NR3034--MA1104.1.GATA6	chr16	36602846	36602858	-	0.000	0.000	Merged-chr16-36602811-38
NR2524--MA0482.1.Gata4	chr14	74889137	74889147	+	0.000	0.000	Merged-chr14-74889136-25
NR4956--MA0035.3.Gata1	chr3	84570696	84570706	+	0.000	0.000	Merged-chr3-84570776-21
NR203--MA0766.1.GATA5	chr1	88578424	88578431	+	0.000	0.000	Merged-chr1-88578300-28
NR4661--MA0482.1.Gata4	chr2	154754225	154754235	-	0.000	0.000	Merged-chr2-154754253-27
NR7599--MA0035.3.Gata1	chr9	48538518	48538528	-	0.000	0.000	Merged-chr9-48538454-59
NR132--MA0035.3.Gata1	chr1	79752488	79752498	-	0.000	0.000	Merged-chr1-79752241-78
NR6492--MA0766.1.GATA5	chr6	122334238	122334245	+	0.000	0.000	Merged-chr6-122334221-7
NR6287--MA0766.1.GATA5	chr6	61225494	61225501	-	0.000	0.000	Merged-chr6-61225621-10
NR3156--MA1104.1.GATA6	chr16	57319937	57319949	+	0.000	0.000	Merged-chr16-57319907-20
NR1421--MA0140.2.GATA1::TAL1	chr11	115589137	115589154	-	0.000	0.000	Merged-chr11-115589146-15
NR6808--MA0766.1.GATA5	chr7	35742554	35742561	-	0.000	0.000	Merged-chr7-35742502-39
NR836--MA1104.1.GATA6	chr10	75417897	75417909	-	0.000	0.000	Merged-chr10-75417748-37
NR2010--MA1104.1.GATA6	chr13	63548592	63548604	+	0.000	0.000	Merged-chr13-63548573-9
NR7075--MA0140.2.GATA1::TAL1	chr7	135647125	135647142	+	0.000	0.000	Merged-chr7-135647119-33
NR3594--MA0140.2.GATA1::TAL1	chr17	84273171	84273188	-	0.000	0.000	Merged-chr17-84273035-23
NR4284--MA0036.3.GATA2	chr2	70425814	70425824	+	0.000	0.000	Merged-chr2-70425902-24
NR2885--MA0766.1.GATA5	chr15	91616651	91616658	+	0.000	0.000	Merged-chr15-91616695-12
NR5298--MA1104.1.GATA6	chr4	11404219	11404231	-	0.000	0.000	Merged-chr4-11404244-13
NR2896--MA0140.2.GATA1::TAL1	chr15	93751199	93751216	-	0.000	0.000	Merged-chr15-93751087-35
