#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/Prdm1KO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-pval-0.05_up.bed
NR63048--MA0599.1.KLF5	chr8	124265927	124265936	-	0.000	0.000	Merged-chr8-124265993-45
NR34108--MA0742.1.Klf12	chr2	71275531	71275545	+	0.000	0.000	Merged-chr2-71275399-1
NR24354--MA1107.1.KLF9	chr16	49982432	49982444	-	0.000	0.000	Merged-chr16-49982447-38
NR34111--MA0741.1.KLF16	chr2	71275532	71275542	+	0.000	0.000	Merged-chr2-71275399-1
NR63049--MA0493.1.Klf1	chr8	124265927	124265937	-	0.000	0.000	Merged-chr8-124265993-45
NR63045--MA0740.1.KLF14	chr8	124265924	124265937	-	0.000	0.000	Merged-chr8-124265993-45
NR26882--MA0742.1.Klf12	chr17	35997915	35997929	-	0.000	0.000	Merged-chr17-35997756-9
NR26886--MA0741.1.KLF16	chr17	35997918	35997928	-	0.000	0.000	Merged-chr17-35997756-9
NR63046--MA0657.1.KLF13	chr8	124265921	124265938	-	0.000	0.000	Merged-chr8-124265993-45
NR34112--MA0741.1.KLF16	chr2	71275534	71275544	+	0.000	0.000	Merged-chr2-71275399-1
NR26881--MA0740.1.KLF14	chr17	35997916	35997929	-	0.000	0.000	Merged-chr17-35997756-9
NR34110--MA0493.1.Klf1	chr2	71275531	71275541	+	0.000	0.000	Merged-chr2-71275399-1
NR26883--MA0599.1.KLF5	chr17	35997919	35997928	-	0.000	0.000	Merged-chr17-35997756-9
NR63047--MA0742.1.Klf12	chr8	124265923	124265937	-	0.000	0.000	Merged-chr8-124265993-45
NR38887--MA0039.3.KLF4	chr3	87383521	87383531	-	0.000	0.000	Merged-chr3-87383448-9
NR63051--MA1107.1.KLF9	chr8	124265925	124265937	-	0.000	0.000	Merged-chr8-124265993-45
NR63050--MA0741.1.KLF16	chr8	124265926	124265936	-	0.000	0.000	Merged-chr8-124265993-45
NR44804--MA0493.1.Klf1	chr4	133677408	133677418	-	0.000	0.000	Merged-chr4-133677483-20
NR34107--MA0740.1.KLF14	chr2	71275531	71275544	+	0.000	0.000	Merged-chr2-71275399-1
NR34106--MA0742.1.Klf12	chr2	71275398	71275412	-	0.000	0.000	Merged-chr2-71275399-1
NR26885--MA0741.1.KLF16	chr17	35997896	35997906	-	0.000	0.000	Merged-chr17-35997756-9
NR36145--MA0599.1.KLF5	chr2	150918853	150918862	+	0.000	0.000	Merged-chr2-150918832-31
NR26884--MA0493.1.Klf1	chr17	35997919	35997929	-	0.000	0.000	Merged-chr17-35997756-9
NR38888--MA1107.1.KLF9	chr3	87383521	87383533	-	0.000	0.000	Merged-chr3-87383448-9
NR34113--MA1107.1.KLF9	chr2	71275531	71275543	+	0.000	0.000	Merged-chr2-71275399-1
NR61088--MA0599.1.KLF5	chr8	70351637	70351646	+	0.000	0.000	Merged-chr8-70351517-7
NR7211--MA0039.3.KLF4	chr10	95998455	95998465	-	0.000	0.000	Merged-chr10-95998321-17
NR2485--MA0657.1.KLF13	chr1	138963221	138963238	-	0.000	0.000	Merged-chr1-138963261-12
NR24355--MA1107.1.KLF9	chr16	49982434	49982446	-	0.000	0.000	Merged-chr16-49982447-38
NR47458--MA0741.1.KLF16	chr5	64040799	64040809	+	0.000	0.000	Merged-chr5-64040859-39
NR44803--MA0742.1.Klf12	chr4	133677404	133677418	-	0.000	0.000	Merged-chr4-133677483-20
NR47457--MA0039.3.KLF4	chr5	64040800	64040810	+	0.000	0.000	Merged-chr5-64040859-39
NR34114--MA1107.1.KLF9	chr2	71275533	71275545	+	0.000	0.000	Merged-chr2-71275399-1
NR47456--MA0599.1.KLF5	chr5	64040799	64040808	+	0.000	0.000	Merged-chr5-64040859-39
NR24353--MA1107.1.KLF9	chr16	49982430	49982442	-	0.000	0.000	Merged-chr16-49982447-38
NR26887--MA1107.1.KLF9	chr17	35997917	35997929	-	0.000	0.000	Merged-chr17-35997756-9
NR34109--MA0599.1.KLF5	chr2	71275532	71275541	+	0.000	0.000	Merged-chr2-71275399-1
