#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tbx21/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed
NR1763--MA0690.1.TBX21	chr7	117406455	117406464	+	0.000	0.000	Merged-chr7-117406595-16
NR1633--MA0690.1.TBX21	chr6	127103071	127103080	+	0.000	0.000	Merged-chr6-127103000-20
NR259--MA0690.1.TBX21	chr10	119031129	119031138	-	0.000	0.000	Merged-chr10-119031155-35
NR1864--MA0690.1.TBX21	chr8	68218616	68218625	-	0.000	0.000	Merged-chr8-68218689-19
NR1102--MA0690.1.TBX21	chr2	160657931	160657940	+	0.000	0.000	Merged-chr2-160657923-30
NR1638--MA0690.1.TBX21	chr6	129747367	129747376	-	0.000	0.000	Merged-chr6-129747542-62
NR1713--MA0690.1.TBX21	chr7	79249797	79249806	+	0.000	0.000	Merged-chr7-79249720-34
NR470--MA0690.1.TBX21	chr13	60935247	60935256	-	0.000	0.000	Merged-chr13-60935285-22
NR1806--MA0690.1.TBX21	chr7	143644106	143644115	+	0.000	0.000	Merged-chr7-143644190-29
NR1896--MA0690.1.TBX21	chr8	116645515	116645524	+	0.000	0.000	Merged-chr8-116645599-31
NR592--MA0690.1.TBX21	chr14	73476543	73476552	+	0.000	0.000	Merged-chr14-73476572-35
NR1038--MA0690.1.TBX21	chr2	72365494	72365503	-	0.000	0.000	Merged-chr2-72365558-19
NR36--MA0690.1.TBX21	chr1	60758326	60758335	-	0.000	0.000	Merged-chr1-60758375-49
NR964--MA0690.1.TBX21	chr2	9801707	9801716	+	0.000	0.000	Merged-chr2-9801686-39
NR15--MA0690.1.TBX21	chr1	40386303	40386312	-	0.000	0.000	Merged-chr1-40386352-39
NR311--MA0690.1.TBX21	chr11	72320863	72320872	-	0.000	0.000	Merged-chr11-72321004-18
NR1105--MA0690.1.TBX21	chr2	163426683	163426692	-	0.000	0.000	Merged-chr2-163426594-15
NR576--MA0690.1.TBX21	chr14	59553395	59553404	+	0.000	0.000	Merged-chr14-59553394-22
NR1989--MA0690.1.TBX21	chr9	107334440	107334449	-	0.000	0.000	Merged-chr9-107334469-86
NR271--MA0690.1.TBX21	chr10	127141095	127141104	-	0.000	0.000	Merged-chr10-127141144-2
NR1607--MA0690.1.TBX21	chr6	108310211	108310220	-	0.000	0.000	Merged-chr6-108310107-36
NR630--MA0690.1.TBX21	chr14	122290544	122290553	+	0.000	0.000	Merged-chr14-122290582-19
NR1567--MA0690.1.TBX21	chr6	72660174	72660183	+	0.000	0.000	Merged-chr6-72660096-30
NR409--MA0690.1.TBX21	chr12	106008852	106008861	+	0.000	0.000	Merged-chr12-106008779-30
NR574--MA0690.1.TBX21	chr14	54061509	54061518	-	0.000	0.000	Merged-chr14-54061633-25
NR226--MA0690.1.TBX21	chr10	68199642	68199651	-	0.000	0.000	Merged-chr10-68199721-19
NR109--MA0690.1.TBX21	chr1	143319642	143319651	-	0.000	0.000	Merged-chr1-143319719-34
NR149--MA0690.1.TBX21	chr1	184534648	184534657	+	0.000	0.000	Merged-chr1-184534660-49
NR258--MA0690.1.TBX21	chr10	118884243	118884252	+	0.000	0.000	Merged-chr10-118884259-20
NR1863--MA0690.1.TBX21	chr8	68218580	68218589	+	0.000	0.000	Merged-chr8-68218689-19
NR115--MA0690.1.TBX21	chr1	153085298	153085307	+	0.000	0.000	Merged-chr1-153085366-59
