#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed
NR62659--MA0741.1.KLF16	chr8	27161537	27161547	-	0.000	0.000	Merged-chr8-27161535-3
NR57300--MA0741.1.KLF16	chr6	134183958	134183968	+	0.000	0.000	Merged-chr6-134184108-53
NR52309--MA0741.1.KLF16	chr5	113873339	113873349	-	0.000	0.000	Merged-chr5-113873174-24
NR62768--MA0741.1.KLF16	chr8	34397999	34398009	+	0.000	0.000	Merged-chr8-34397971-66
NR55975--MA1107.1.KLF9	chr6	89286769	89286781	+	0.000	0.000	Merged-chr6-89286978-37
NR32762--MA0741.1.KLF16	chr18	61377969	61377979	-	0.000	0.000	Merged-chr18-61377910-13
NR31010--MA0599.1.KLF5	chr17	86969786	86969795	-	0.000	0.000	Merged-chr17-86969824-22
NR16936--MA0599.1.KLF5	chr13	48842400	48842409	-	0.000	0.000	Merged-chr13-48842323-16
NR63934--MA0493.1.Klf1	chr8	77383805	77383815	+	0.000	0.000	Merged-chr8-77383968-15
NR60382--MA0741.1.KLF16	chr7	84149144	84149154	-	0.000	0.000	Merged-chr7-84149073-24
NR51001--MA0741.1.KLF16	chr5	66618860	66618870	-	0.000	0.000	Merged-chr5-66618614-86
NR62660--MA1107.1.KLF9	chr8	27161530	27161542	-	0.000	0.000	Merged-chr8-27161535-3
NR40628--MA0742.1.Klf12	chr3	9500013	9500027	-	0.000	0.000	Merged-chr3-9499976-58
NR4896--MA0493.1.Klf1	chr1	189500039	189500049	+	0.000	0.000	Merged-chr1-189499965-39
NR7835--MA0599.1.KLF5	chr10	84440812	84440821	-	0.000	0.000	Merged-chr10-84440807-71
NR33507--MA1107.1.KLF9	chr18	82532268	82532280	-	0.000	0.000	Merged-chr18-82532131-16
NR67178--MA0039.3.KLF4	chr9	80313761	80313771	-	0.000	0.000	Merged-chr9-80313733-27
NR24479--MA0741.1.KLF16	chr15	81035467	81035477	+	0.000	0.000	Merged-chr15-81035445-15
NR54591--MA0493.1.Klf1	chr6	28878189	28878199	-	0.000	0.000	Merged-chr6-28878211-33
NR40630--MA0039.3.KLF4	chr3	9500015	9500025	-	0.000	0.000	Merged-chr3-9499976-58
NR51503--MA0741.1.KLF16	chr5	89882216	89882226	-	0.000	0.000	Merged-chr5-89882343-19
NR6320--MA0599.1.KLF5	chr10	42849028	42849037	-	0.000	0.000	Merged-chr10-42848913-29
NR13151--MA1107.1.KLF9	chr12	8351291	8351303	-	0.000	0.000	Merged-chr12-8351458-49
NR63407--MA0599.1.KLF5	chr8	61448672	61448681	+	0.000	0.000	Merged-chr8-61448591-1
NR32876--MA0741.1.KLF16	chr18	65322464	65322474	-	0.000	0.000	Merged-chr18-65322333-46
NR1416--MA1107.1.KLF9	chr1	69683244	69683256	-	0.000	0.000	Merged-chr1-69683222-14
NR9911--MA1107.1.KLF9	chr11	16558803	16558815	-	0.000	0.000	Merged-chr11-16558983-1
NR50624--MA0740.1.KLF14	chr5	51552660	51552673	+	0.000	0.000	Merged-chr5-51552540-96
NR8195--MA0741.1.KLF16	chr10	95942200	95942210	+	0.000	0.000	Merged-chr10-95942106-29
NR40003--MA0740.1.KLF14	chr2	168741429	168741442	+	0.000	0.000	Merged-chr2-168741453-11
NR42861--MA0599.1.KLF5	chr3	98406763	98406772	+	0.000	0.000	Merged-chr3-98406778-20
NR6643--MA0741.1.KLF16	chr10	58350937	58350947	-	0.000	0.000	Merged-chr10-58350801-17
NR65384--MA0039.3.KLF4	chr8	125558864	125558874	+	0.000	0.000	Merged-chr8-125558804-33
NR9907--MA1107.1.KLF9	chr11	16558795	16558807	-	0.000	0.000	Merged-chr11-16558983-1
