#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_dn.bed
NR4147--MA0684.1.RUNX3	chr17	12165580	12165589	+	0.000	0.000	Merged-chr17-12165459-54
NR575--MA0002.2.RUNX1	chr1	155476448	155476458	+	0.000	0.000	Merged-chr1-155476472-40
NR9579--MA0002.2.RUNX1	chr9	33061074	33061084	-	0.000	0.000	Merged-chr9-33060885-64
NR9707--MA0002.2.RUNX1	chr9	63726813	63726823	-	0.000	0.000	Merged-chr9-63726755-24
NR2543--MA0002.2.RUNX1	chr13	37541894	37541904	-	0.000	0.000	Merged-chr13-37541855-48
NR6188--MA0684.1.RUNX3	chr3	94375472	94375481	-	0.000	0.000	Merged-chr3-94375656-27
NR5827--MA0511.2.RUNX2	chr2	167363581	167363589	+	0.000	0.000	Merged-chr2-167363421-42
NR8199--MA0511.2.RUNX2	chr6	108630934	108630942	-	0.000	0.000	Merged-chr6-108631007-44
NR2652--MA0002.2.RUNX1	chr13	63189852	63189862	-	0.000	0.000	Merged-chr13-63189715-33
NR5394--MA0511.2.RUNX2	chr2	65133924	65133932	+	0.000	0.000	Merged-chr2-65133825-19
NR3763--MA0684.1.RUNX3	chr16	14088467	14088476	-	0.000	0.000	Merged-chr16-14088440-49
NR716--MA0002.2.RUNX1	chr1	176827609	176827619	+	0.000	0.000	Merged-chr1-176827492-35
NR3538--MA0002.2.RUNX1	chr15	66445634	66445644	+	0.000	0.000	Merged-chr15-66445527-47
NR9035--MA0002.2.RUNX1	chr7	137476758	137476768	+	0.000	0.000	Merged-chr7-137476773-22
NR3124--MA0002.2.RUNX1	chr14	64666912	64666922	-	0.000	0.000	Merged-chr14-64666873-42
NR9766--MA0511.2.RUNX2	chr9	80070226	80070234	-	0.000	0.000	Merged-chr9-80070269-16
NR934--MA0002.2.RUNX1	chr10	21479581	21479591	-	0.000	0.000	Merged-chr10-21479566-37
NR1857--MA0684.1.RUNX3	chr11	109790430	109790439	-	0.000	0.000	Merged-chr11-109790418-22
NR1109--MA0002.2.RUNX1	chr10	68512654	68512664	+	0.000	0.000	Merged-chr10-68512591-23
NR10043--MA0002.2.RUNX1	chr9	123941456	123941466	-	0.000	0.000	Merged-chr9-123941453-43
NR3202--MA0511.2.RUNX2	chr14	78692184	78692192	-	0.000	0.000	Merged-chr14-78692214-30
NR5178--MA0002.2.RUNX1	chr2	9564614	9564624	+	0.000	0.000	Merged-chr2-9564694-16
NR7685--MA0511.2.RUNX2	chr5	122430271	122430279	+	0.000	0.000	Merged-chr5-122430278-22
NR9808--MA0002.2.RUNX1	chr9	85671750	85671760	+	0.000	0.000	Merged-chr9-85671881-60
NR9937--MA0684.1.RUNX3	chr9	110896836	110896845	-	0.000	0.000	Merged-chr9-110896831-29
NR6590--MA0684.1.RUNX3	chr3	157803537	157803546	-	0.000	0.000	Merged-chr3-157803404-34
NR7572--MA0684.1.RUNX3	chr5	105840058	105840067	-	0.000	0.000	Merged-chr5-105840151-44
NR7638--MA0684.1.RUNX3	chr5	115516845	115516854	+	0.000	0.000	Merged-chr5-115516638-85
NR3136--MA0684.1.RUNX3	chr14	67911799	67911808	+	0.000	0.000	Merged-chr14-67911920-26
NR9854--MA0511.2.RUNX2	chr9	94441585	94441593	+	0.000	0.000	Merged-chr9-94441414-62
NR4271--MA0002.2.RUNX1	chr17	44463895	44463905	+	0.000	0.000	Merged-chr17-44463845-28
NR9279--MA0002.2.RUNX1	chr8	71286320	71286330	+	0.000	0.000	Merged-chr8-71286337-41
NR5253--MA0002.2.RUNX1	chr2	27693898	27693908	-	0.000	0.000	Merged-chr2-27693880-30
NR10022--MA0002.2.RUNX1	chr9	120023216	120023226	-	0.000	0.000	Merged-chr9-120023283-16
NR9073--MA0511.2.RUNX2	chr7	141637456	141637464	-	0.000	0.000	Merged-chr7-141637525-19
NR8372--MA0002.2.RUNX1	chr6	130387068	130387078	-	0.000	0.000	Merged-chr6-130387166-57
NR8895--MA0002.2.RUNX1	chr7	114671162	114671172	-	0.000	0.000	Merged-chr7-114671342-44
NR7088--MA0684.1.RUNX3	chr4	137854093	137854102	+	0.000	0.000	Merged-chr4-137854061-36
NR9367--MA0002.2.RUNX1	chr8	106821447	106821457	+	0.000	0.000	Merged-chr8-106821433-20
NR5407--MA0002.2.RUNX1	chr2	69002507	69002517	+	0.000	0.000	Merged-chr2-69002641-39
NR1256--MA0511.2.RUNX2	chr10	93171415	93171423	+	0.000	0.000	Merged-chr10-93171456-51
NR5182--MA0511.2.RUNX2	chr2	9689687	9689695	-	0.000	0.000	Merged-chr2-9689730-31
NR5976--MA0511.2.RUNX2	chr3	28244428	28244436	-	0.000	0.000	Merged-chr3-28244555-21
NR855--MA0511.2.RUNX2	chr10	4977487	4977495	-	0.000	0.000	Merged-chr10-4977529-37
NR9508--MA0002.2.RUNX1	chr8	128572371	128572381	+	0.000	0.000	Merged-chr8-128572314-34
NR10222--MA0511.2.RUNX2	chrX	142792339	142792347	-	0.000	0.000	Merged-chrX-142792362-24
NR7286--MA0002.2.RUNX1	chr5	23637511	23637521	-	0.000	0.000	Merged-chr5-23637519-38
NR3203--MA0684.1.RUNX3	chr14	78692183	78692192	-	0.000	0.000	Merged-chr14-78692214-30
NR3326--MA0002.2.RUNX1	chr14	121422875	121422885	+	0.000	0.000	Merged-chr14-121422910-45
NR1027--MA0002.2.RUNX1	chr10	44429430	44429440	-	0.000	0.000	Merged-chr10-44429593-53
NR2582--MA0684.1.RUNX3	chr13	45850791	45850800	-	0.000	0.000	Merged-chr13-45850664-56
NR6650--MA0002.2.RUNX1	chr4	21842815	21842825	-	0.000	0.000	Merged-chr4-21842691-16
NR7156--MA0002.2.RUNX1	chr4	148070074	148070084	-	0.000	0.000	Merged-chr4-148069999-26
NR9458--MA0511.2.RUNX2	chr8	124242430	124242438	-	0.000	0.000	Merged-chr8-124242348-54
NR1867--MA0511.2.RUNX2	chr11	113194938	113194946	+	0.000	0.000	Merged-chr11-113194847-27
NR9216--MA0002.2.RUNX1	chr8	36082781	36082791	+	0.000	0.000	Merged-chr8-36082616-47
NR612--MA0684.1.RUNX3	chr1	161794747	161794756	-	0.000	0.000	Merged-chr1-161794797-65
NR2780--MA0002.2.RUNX1	chr13	93785433	93785443	+	0.000	0.000	Merged-chr13-93785385-35
NR864--MA0684.1.RUNX3	chr10	6956461	6956470	+	0.000	0.000	Merged-chr10-6956561-24
NR7169--MA0002.2.RUNX1	chr4	149697983	149697993	-	0.000	0.000	Merged-chr4-149697962-1
NR8595--MA0002.2.RUNX1	chr7	43438734	43438744	+	0.000	0.000	Merged-chr7-43438752-42
NR8200--MA0002.2.RUNX1	chr6	108630932	108630942	+	0.000	0.000	Merged-chr6-108631007-44
NR6520--MA0002.2.RUNX1	chr3	146758174	146758184	+	0.000	0.000	Merged-chr3-146758289-47
NR6315--MA0002.2.RUNX1	chr3	115692546	115692556	-	0.000	0.000	Merged-chr3-115692552-34
NR1195--MA0511.2.RUNX2	chr10	83719015	83719023	-	0.000	0.000	Merged-chr10-83719047-59
NR10039--MA0684.1.RUNX3	chr9	123928250	123928259	+	0.000	0.000	Merged-chr9-123928219-7
NR8356--MA0002.2.RUNX1	chr6	129608688	129608698	+	0.000	0.000	Merged-chr6-129608600-43
NR8322--MA0002.2.RUNX1	chr6	126811745	126811755	+	0.000	0.000	Merged-chr6-126811749-38
NR4713--MA0511.2.RUNX2	chr18	62186217	62186225	+	0.000	0.000	Merged-chr18-62186304-32
NR8574--MA0002.2.RUNX1	chr7	31161057	31161067	+	0.000	0.000	Merged-chr7-31161172-57
NR4886--MA0684.1.RUNX3	chr18	89214999	89215008	-	0.000	0.000	Merged-chr18-89214991-26
NR1095--MA0684.1.RUNX3	chr10	67727768	67727777	+	0.000	0.000	Merged-chr10-67727735-22
NR8431--MA0002.2.RUNX1	chr6	140508635	140508645	+	0.000	0.000	Merged-chr6-140508405-40
NR5183--MA0684.1.RUNX3	chr2	9689686	9689695	-	0.000	0.000	Merged-chr2-9689730-31
NR856--MA0684.1.RUNX3	chr10	4977486	4977495	-	0.000	0.000	Merged-chr10-4977529-37
NR9416--MA0511.2.RUNX2	chr8	117074472	117074480	-	0.000	0.000	Merged-chr8-117074609-38
NR4975--MA0002.2.RUNX1	chr19	24971529	24971539	+	0.000	0.000	Merged-chr19-24971475-35
NR6611--MA0511.2.RUNX2	chr4	6472963	6472971	+	0.000	0.000	Merged-chr4-6472958-17
NR965--MA0684.1.RUNX3	chr10	26799660	26799669	+	0.000	0.000	Merged-chr10-26799592-100
NR5067--MA0002.2.RUNX1	chr19	46503784	46503794	+	0.000	0.000	Merged-chr19-46503921-48
NR2361--MA0511.2.RUNX2	chr12	115165658	115165666	+	0.000	0.000	Merged-chr12-115165730-55
NR1088--MA0002.2.RUNX1	chr10	67049461	67049471	+	0.000	0.000	Merged-chr10-67049355-33
NR4194--MA0002.2.RUNX1	chr17	25248490	25248500	-	0.000	0.000	Merged-chr17-25248347-49
NR4051--MA0002.2.RUNX1	chr16	91562219	91562229	+	0.000	0.000	Merged-chr16-91562152-19
NR5589--MA0684.1.RUNX3	chr2	117447070	117447079	-	0.000	0.000	Merged-chr2-117447085-57
NR8695--MA0684.1.RUNX3	chr7	68350155	68350164	-	0.000	0.000	Merged-chr7-68350249-38
NR6267--MA0002.2.RUNX1	chr3	105900027	105900037	-	0.000	0.000	Merged-chr3-105899940-9
NR6524--MA0684.1.RUNX3	chr3	146758209	146758218	+	0.000	0.000	Merged-chr3-146758289-47
NR8327--MA0002.2.RUNX1	chr6	127302987	127302997	-	0.000	0.000	Merged-chr6-127302896-25
NR7087--MA0002.2.RUNX1	chr4	137854093	137854103	-	0.000	0.000	Merged-chr4-137854061-36
NR5158--MA0511.2.RUNX2	chr2	3756052	3756060	-	0.000	0.000	Merged-chr2-3756075-14
NR4205--MA0002.2.RUNX1	chr17	28015636	28015646	+	0.000	0.000	Merged-chr17-28015703-1
NR1307--MA0511.2.RUNX2	chr10	98776540	98776548	+	0.000	0.000	Merged-chr10-98776574-38
NR1923--MA0002.2.RUNX1	chr11	121475785	121475795	+	0.000	0.000	Merged-chr11-121475688-49
NR7327--MA0511.2.RUNX2	chr5	35166062	35166070	-	0.000	0.000	Merged-chr5-35166204-55
NR5376--MA0511.2.RUNX2	chr2	60845519	60845527	-	0.000	0.000	Merged-chr2-60845573-40
NR4295--MA0002.2.RUNX1	chr17	47943291	47943301	+	0.000	0.000	Merged-chr17-47943297-31
NR8449--MA0002.2.RUNX1	chr6	143751326	143751336	+	0.000	0.000	Merged-chr6-143751233-79
NR6454--MA0511.2.RUNX2	chr3	142281331	142281339	+	0.000	0.000	Merged-chr3-142281213-32
NR4823--MA0684.1.RUNX3	chr18	79079911	79079920	+	0.000	0.000	Merged-chr18-79080001-30
NR8558--MA0002.2.RUNX1	chr7	25155920	25155930	-	0.000	0.000	Merged-chr7-25155994-40
NR5408--MA0511.2.RUNX2	chr2	69003007	69003015	-	0.000	0.000	Merged-chr2-69003152-17
NR4456--MA0684.1.RUNX3	chr17	84226583	84226592	-	0.000	0.000	Merged-chr17-84226544-42
NR5--MA0684.1.RUNX3	chr1	6467287	6467296	-	0.000	0.000	Merged-chr1-6467226-38
NR5610--MA0002.2.RUNX1	chr2	126467941	126467951	-	0.000	0.000	Merged-chr2-126467944-38
NR2855--MA0511.2.RUNX2	chr13	107095622	107095630	+	0.000	0.000	Merged-chr13-107095527-25
NR787--MA0684.1.RUNX3	chr1	187228920	187228929	-	0.000	0.000	Merged-chr1-187228770-56
