#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.05_dn.bed
NR5243--MA0089.1.MAFG::NFE2L1	chr16	95809371	95809376	-	0.000	0.000	Merged-chr16-95809247-50
NR615--MA0591.1.Bach1::Mafk	chr1	152010403	152010417	+	0.000	0.000	Merged-chr1-152010502-52
NR10760--MA0089.1.MAFG::NFE2L1	chr6	147484586	147484591	+	0.000	0.000	Merged-chr6-147484715-1
NR5852--MA0089.1.MAFG::NFE2L1	chr18	46447803	46447808	-	0.000	0.000	Merged-chr18-46447727-33
NR1153--MA0089.1.MAFG::NFE2L1	chr10	7826372	7826377	+	0.000	0.000	Merged-chr10-7826287-40
NR10972--MA0591.1.Bach1::Mafk	chr7	49762880	49762894	+	0.000	0.000	Merged-chr7-49762758-15
NR4524--MA0089.1.MAFG::NFE2L1	chr15	59618610	59618615	-	0.000	0.000	Merged-chr15-59618561-44
NR4504--MA0591.1.Bach1::Mafk	chr15	55906989	55907003	-	0.000	0.000	Merged-chr15-55906885-1
NR8969--MA0089.1.MAFG::NFE2L1	chr4	145342070	145342075	+	0.000	0.000	Merged-chr4-145342099-62
NR9804--MA0089.1.MAFG::NFE2L1	chr5	140871434	140871439	+	0.000	0.000	Merged-chr5-140871418-38
NR1278--MA0117.2.Mafb	chr10	38884900	38884911	+	0.000	0.000	Merged-chr10-38884993-65
NR10973--MA0591.1.Bach1::Mafk	chr7	49762896	49762910	+	0.000	0.000	Merged-chr7-49762758-15
NR12089--MA0089.1.MAFG::NFE2L1	chr8	126536297	126536302	-	0.000	0.000	Merged-chr8-126536353-14
NR3014--MA0591.1.Bach1::Mafk	chr12	110381508	110381522	-	0.000	0.000	Merged-chr12-110381552-59
NR10974--MA0501.1.MAF::NFE2	chr7	49762883	49762897	+	0.000	0.000	Merged-chr7-49762758-15
NR12619--MA0089.1.MAFG::NFE2L1	chr9	96545543	96545548	-	0.000	0.000	Merged-chr9-96545653-10
NR10556--MA0089.1.MAFG::NFE2L1	chr6	134217897	134217902	-	0.000	0.000	Merged-chr6-134217908-11
NR10975--MA0501.1.MAF::NFE2	chr7	49762899	49762913	+	0.000	0.000	Merged-chr7-49762758-15
NR3598--MA0089.1.MAFG::NFE2L1	chr13	92722632	92722637	+	0.000	0.000	Merged-chr13-92722597-29
NR12620--MA0089.1.MAFG::NFE2L1	chr9	96545573	96545578	-	0.000	0.000	Merged-chr9-96545653-10
NR11420--MA0089.1.MAFG::NFE2L1	chr7	125190107	125190112	-	0.000	0.000	Merged-chr7-125190262-47
NR7877--MA0591.1.Bach1::Mafk	chr3	101661849	101661863	+	0.000	0.000	Merged-chr3-101661770-28
NR8104--MA0089.1.MAFG::NFE2L1	chr3	133159667	133159672	-	0.000	0.000	Merged-chr3-133159832-24
NR12317--MA0117.2.Mafb	chr9	52349313	52349324	+	0.000	0.000	Merged-chr9-52349266-37
NR616--MA0501.1.MAF::NFE2	chr1	152010406	152010420	+	0.000	0.000	Merged-chr1-152010502-52
NR4014--MA0089.1.MAFG::NFE2L1	chr14	52553598	52553603	+	0.000	0.000	Merged-chr14-52553618-9
