#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_dn.bed
NR14550--MA0591.1.Bach1::Mafk	chr9	96714260	96714274	+	0.000	0.000	Merged-chr9-96714307-38
NR5910--MA0089.1.MAFG::NFE2L1	chr16	75920923	75920928	+	0.000	0.000	Merged-chr16-75921068-56
NR6123--MA0495.2.MAFF	chr17	5802392	5802412	+	0.000	0.000	Merged-chr17-5802429-65
NR8761--MA0117.2.Mafb	chr2	180305821	180305832	-	0.000	0.000	Merged-chr2-180305728-36
NR14269--MA0495.2.MAFF	chr9	45247852	45247872	+	0.000	0.000	Merged-chr9-45247703-45
NR6125--MA0117.2.Mafb	chr17	5802392	5802403	+	0.000	0.000	Merged-chr17-5802429-65
NR8142--MA0591.1.Bach1::Mafk	chr2	117447054	117447068	+	0.000	0.000	Merged-chr2-117447085-57
NR15037--MA0495.2.MAFF	chrX	142792380	142792400	+	0.000	0.000	Merged-chrX-142792362-24
NR1080--MA0501.1.MAF::NFE2	chr1	180403754	180403768	-	0.000	0.000	Merged-chr1-180403715-60
NR6060--MA0591.1.Bach1::Mafk	chr16	94660250	94660264	-	0.000	0.000	Merged-chr16-94660460-20
NR7252--MA0591.1.Bach1::Mafk	chr19	21785907	21785921	-	0.000	0.000	Merged-chr19-21785964-7
NR5510--MA0117.2.Mafb	chr16	11519478	11519489	-	0.000	0.000	Merged-chr16-11519349-21
NR15039--MA0117.2.Mafb	chrX	142792389	142792400	-	0.000	0.000	Merged-chrX-142792362-24
NR4886--MA0117.2.Mafb	chr14	103033626	103033637	-	0.000	0.000	Merged-chr14-103033598-47
NR7240--MA0496.2.MAFK	chr19	20424389	20424407	+	0.000	0.000	Merged-chr19-20424322-22
NR1265--MA0496.2.MAFK	chr1	193201462	193201480	-	0.000	0.000	Merged-chr1-193201306-86
NR24--MA0089.1.MAFG::NFE2L1	chr1	13301687	13301692	+	0.000	0.000	Merged-chr1-13301807-39
NR9301--MA0501.1.MAF::NFE2	chr3	107796787	107796801	+	0.000	0.000	Merged-chr3-107796765-38
NR7820--MA0117.2.Mafb	chr2	66102479	66102490	-	0.000	0.000	Merged-chr2-66102335-49
NR14744--MA0496.2.MAFK	chr9	117910892	117910910	+	0.000	0.000	Merged-chr9-117910970-21
NR8946--MA0089.1.MAFG::NFE2L1	chr3	54567428	54567433	+	0.000	0.000	Merged-chr3-54567528-25
NR14148--MA0501.1.MAF::NFE2	chr9	21609994	21610008	-	0.000	0.000	Merged-chr9-21610100-42
NR9471--MA0089.1.MAFG::NFE2L1	chr3	130691917	130691922	-	0.000	0.000	Merged-chr3-130691928-1
NR1078--MA0495.2.MAFF	chr1	180403754	180403774	-	0.000	0.000	Merged-chr1-180403715-60
NR6570--MA0089.1.MAFG::NFE2L1	chr17	83654746	83654751	-	0.000	0.000	Merged-chr17-83654883-58
NR14429--MA0591.1.Bach1::Mafk	chr9	79970922	79970936	-	0.000	0.000	Merged-chr9-79970896-33
NR11701--MA0089.1.MAFG::NFE2L1	chr6	50417017	50417022	+	0.000	0.000	Merged-chr6-50417055-62
NR8047--MA0117.2.Mafb	chr2	102850106	102850117	+	0.000	0.000	Merged-chr2-102849968-21
NR10457--MA0501.1.MAF::NFE2	chr4	141862177	141862191	+	0.000	0.000	Merged-chr4-141862091-43
NR1316--MA0501.1.MAF::NFE2	chr10	10224830	10224844	+	0.000	0.000	Merged-chr10-10224805-34
NR14244--MA0496.2.MAFK	chr9	43785162	43785180	-	0.000	0.000	Merged-chr9-43784994-20
NR7331--MA0089.1.MAFG::NFE2L1	chr19	41360612	41360617	+	0.000	0.000	Merged-chr19-41360707-21
NR1644--MA0089.1.MAFG::NFE2L1	chr10	67727766	67727771	+	0.000	0.000	Merged-chr10-67727735-22
NR12304--MA0117.2.Mafb	chr6	129817699	129817710	+	0.000	0.000	Merged-chr6-129817846-22
NR8488--MA0089.1.MAFG::NFE2L1	chr2	152787725	152787730	-	0.000	0.000	Merged-chr2-152787799-43
NR14800--MA0089.1.MAFG::NFE2L1	chr9	123928248	123928253	+	0.000	0.000	Merged-chr9-123928219-7
NR1368--MA0659.1.MAFG	chr10	19104809	19104829	+	0.000	0.000	Merged-chr10-19104955-55
NR3338--MA0089.1.MAFG::NFE2L1	chr12	105001141	105001146	+	0.000	0.000	Merged-chr12-105001185-43
NR6130--MA0496.2.MAFK	chr17	5802393	5802411	+	0.000	0.000	Merged-chr17-5802429-65
NR1370--MA0496.2.MAFK	chr10	19104810	19104828	+	0.000	0.000	Merged-chr10-19104955-55
NR6061--MA0659.1.MAFG	chr16	94660247	94660267	+	0.000	0.000	Merged-chr16-94660460-20
NR6822--MA0117.2.Mafb	chr18	50016872	50016883	+	0.000	0.000	Merged-chr18-50017066-69
NR13999--MA0117.2.Mafb	chr8	124242452	124242463	-	0.000	0.000	Merged-chr8-124242348-54
NR2485--MA0117.2.Mafb	chr11	67563354	67563365	+	0.000	0.000	Merged-chr11-67563339-33
NR5650--MA0495.2.MAFF	chr16	33769914	33769934	+	0.000	0.000	Merged-chr16-33769896-51
NR706--MA0089.1.MAFG::NFE2L1	chr1	131003551	131003556	-	0.000	0.000	Merged-chr1-131003466-39
NR13604--MA0089.1.MAFG::NFE2L1	chr8	71587200	71587205	-	0.000	0.000	Merged-chr8-71587200-14
NR6711--MA0089.1.MAFG::NFE2L1	chr18	23828700	23828705	-	0.000	0.000	Merged-chr18-23828715-22
NR794--MA0089.1.MAFG::NFE2L1	chr1	144086355	144086360	-	0.000	0.000	Merged-chr1-144086303-34
NR7277--MA0089.1.MAFG::NFE2L1	chr19	24527539	24527544	-	0.000	0.000	Merged-chr19-24527365-48
NR4665--MA0089.1.MAFG::NFE2L1	chr14	64628233	64628238	+	0.000	0.000	Merged-chr14-64628307-21
