#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed
NR1707--MA0463.1.Bcl6	chr3	129308435	129308448	+	0.000	0.000	Merged-chr3-129308560-67
NR1922--MA0731.1.BCL6B	chr4	121002575	121002591	-	0.000	0.000	Merged-chr4-121002570-50
NR1322--MA0731.1.BCL6B	chr19	3731212	3731228	-	0.000	0.000	Merged-chr19-3731314-18
NR1444--MA0731.1.BCL6B	chr2	72283051	72283067	+	0.000	0.000	Merged-chr2-72282934-17
NR2411--MA0463.1.Bcl6	chr7	110796785	110796798	+	0.000	0.000	Merged-chr7-110796753-46
NR1264--MA0463.1.Bcl6	chr18	39664129	39664142	+	0.000	0.000	Merged-chr18-39664266-42
NR2601--MA0463.1.Bcl6	chr9	48538503	48538516	-	0.000	0.000	Merged-chr9-48538454-59
NR1413--MA0463.1.Bcl6	chr2	53088805	53088818	+	0.000	0.000	Merged-chr2-53088913-36
NR507--MA0731.1.BCL6B	chr12	24565591	24565607	-	0.000	0.000	Merged-chr12-24565518-17
NR464--MA0463.1.Bcl6	chr11	98487928	98487941	-	0.000	0.000	Merged-chr11-98487809-30
NR1365--MA0463.1.Bcl6	chr2	10343658	10343671	-	0.000	0.000	Merged-chr2-10343676-43
NR1220--MA0731.1.BCL6B	chr17	80772627	80772643	-	0.000	0.000	Merged-chr17-80772766-52
NR1162--MA0463.1.Bcl6	chr17	17845415	17845428	+	0.000	0.000	Merged-chr17-17845619-46
NR763--MA0731.1.BCL6B	chr13	117241310	117241326	+	0.000	0.000	Merged-chr13-117241409-28
NR1414--MA0731.1.BCL6B	chr2	53088802	53088818	-	0.000	0.000	Merged-chr2-53088913-36
NR853--MA0463.1.Bcl6	chr14	53991442	53991455	-	0.000	0.000	Merged-chr14-53991550-13
NR1265--MA0731.1.BCL6B	chr18	39664126	39664142	-	0.000	0.000	Merged-chr18-39664266-42
NR1759--MA0463.1.Bcl6	chr3	152886882	152886895	+	0.000	0.000	Merged-chr3-152886887-20
NR2086--MA0463.1.Bcl6	chr5	96919191	96919204	-	0.000	0.000	Merged-chr5-96919308-24
NR2365--MA0463.1.Bcl6	chr7	73531189	73531202	+	0.000	0.000	Merged-chr7-73531012-64
NR2007--MA0463.1.Bcl6	chr5	20845318	20845331	+	0.000	0.000	Merged-chr5-20845245-18
NR164--MA0463.1.Bcl6	chr1	156710886	156710899	-	0.000	0.000	Merged-chr1-156710970-33
NR2098--MA0463.1.Bcl6	chr5	111200319	111200332	-	0.000	0.000	Merged-chr5-111200479-33
NR1559--MA0463.1.Bcl6	chr2	153336213	153336226	-	0.000	0.000	Merged-chr2-153336329-40
NR1708--MA0463.1.Bcl6	chr3	129308458	129308471	+	0.000	0.000	Merged-chr3-129308560-67
NR1744--MA0463.1.Bcl6	chr3	146063290	146063303	-	0.000	0.000	Merged-chr3-146063322-20
NR1570--MA0463.1.Bcl6	chr2	164081821	164081834	-	0.000	0.000	Merged-chr2-164081803-8
NR1212--MA0463.1.Bcl6	chr17	70973772	70973785	+	0.000	0.000	Merged-chr17-70973710-59
NR1307--MA0731.1.BCL6B	chr18	79258159	79258175	+	0.000	0.000	Merged-chr18-79258074-1
NR1443--MA0463.1.Bcl6	chr2	72283051	72283064	-	0.000	0.000	Merged-chr2-72282934-17
NR465--MA0731.1.BCL6B	chr11	98487928	98487944	+	0.000	0.000	Merged-chr11-98487809-30
NR2113--MA0463.1.Bcl6	chr5	124907074	124907087	+	0.000	0.000	Merged-chr5-124907107-45
NR1274--MA0463.1.Bcl6	chr18	46182171	46182184	-	0.000	0.000	Merged-chr18-46182052-26
NR1709--MA0463.1.Bcl6	chr3	129308481	129308494	+	0.000	0.000	Merged-chr3-129308560-67
NR2298--MA0463.1.Bcl6	chr6	144677784	144677797	+	0.000	0.000	Merged-chr6-144677900-59
