#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed
NR12679--MA0599.1.KLF5	chr11	115463462	115463471	-	0.000	0.000	Merged-chr11-115463666-29
NR49168--MA0599.1.KLF5	chr4	155050348	155050357	+	0.000	0.000	Merged-chr4-155050218-26
NR57791--MA0741.1.KLF16	chr6	144922866	144922876	-	0.000	0.000	Merged-chr6-144923057-24
NR14429--MA0741.1.KLF16	chr12	69539531	69539541	-	0.000	0.000	Merged-chr12-69539558-45
NR57300--MA0741.1.KLF16	chr6	134183958	134183968	+	0.000	0.000	Merged-chr6-134184108-53
NR66634--MA1107.1.KLF9	chr9	57647828	57647840	-	0.000	0.000	Merged-chr9-57647746-26
NR62768--MA0741.1.KLF16	chr8	34397999	34398009	+	0.000	0.000	Merged-chr8-34397971-66
NR49083--MA0599.1.KLF5	chr4	152130692	152130701	-	0.000	0.000	Merged-chr4-152130617-6
NR35686--MA1107.1.KLF9	chr2	21223026	21223038	-	0.000	0.000	Merged-chr2-21222970-39
NR13553--MA1107.1.KLF9	chr12	25247230	25247242	-	0.000	0.000	Merged-chr12-25247115-16
NR33364--MA0741.1.KLF16	chr18	77743803	77743813	-	0.000	0.000	Merged-chr18-77743762-23
NR25108--MA0741.1.KLF16	chr15	93950834	93950844	-	0.000	0.000	Merged-chr15-93950639-49
NR52025--MA1107.1.KLF9	chr5	107926653	107926665	+	0.000	0.000	Merged-chr5-107926816-56
NR60560--MA0039.3.KLF4	chr7	92420557	92420567	-	0.000	0.000	Merged-chr7-92420666-38
NR24440--MA0741.1.KLF16	chr15	80192528	80192538	+	0.000	0.000	Merged-chr15-80192413-58
NR28161--MA0599.1.KLF5	chr17	3209727	3209736	+	0.000	0.000	Merged-chr17-3209784-17
NR57027--MA1107.1.KLF9	chr6	125355263	125355275	-	0.000	0.000	Merged-chr6-125355418-28
NR10176--MA0039.3.KLF4	chr11	24077536	24077546	-	0.000	0.000	Merged-chr11-24077473-13
NR12598--MA1107.1.KLF9	chr11	113612167	113612179	+	0.000	0.000	Merged-chr11-113612276-39
NR51947--MA0039.3.KLF4	chr5	105004711	105004721	-	0.000	0.000	Merged-chr5-105004765-44
NR50894--MA0493.1.Klf1	chr5	64764567	64764577	-	0.000	0.000	Merged-chr5-64764597-23
NR66434--MA0493.1.Klf1	chr9	48980583	48980593	+	0.000	0.000	Merged-chr9-48980590-7
NR58242--MA0039.3.KLF4	chr7	16001849	16001859	-	0.000	0.000	Merged-chr7-16001989-41
NR66433--MA0039.3.KLF4	chr9	48980585	48980595	+	0.000	0.000	Merged-chr9-48980590-7
