#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed
NR1346--MA0463.1.Bcl6	chr19	41031105	41031118	+	0.000	0.000	Merged-chr19-41031181-46
NR105--MA0463.1.Bcl6	chr1	88578415	88578428	-	0.000	0.000	Merged-chr1-88578300-28
NR2360--MA0463.1.Bcl6	chr7	67353779	67353792	-	0.000	0.000	Merged-chr7-67353683-35
NR2016--MA0463.1.Bcl6	chr5	35713917	35713930	+	0.000	0.000	Merged-chr5-35713868-16
NR482--MA0463.1.Bcl6	chr11	114873360	114873373	-	0.000	0.000	Merged-chr11-114873395-35
NR1710--MA0463.1.Bcl6	chr3	129602473	129602486	-	0.000	0.000	Merged-chr3-129602465-51
NR1173--MA0463.1.Bcl6	chr17	33865564	33865577	-	0.000	0.000	Merged-chr17-33865585-36
NR702--MA0463.1.Bcl6	chr13	81351846	81351859	-	0.000	0.000	Merged-chr13-81351650-43
NR1279--MA0463.1.Bcl6	chr18	53177273	53177286	-	0.000	0.000	Merged-chr18-53177390-15
NR822--MA0731.1.BCL6B	chr14	40955957	40955973	-	0.000	0.000	Merged-chr14-40955925-7
NR2463--MA0463.1.Bcl6	chr8	34817845	34817858	+	0.000	0.000	Merged-chr8-34817852-8
NR804--MA0463.1.Bcl6	chr14	17414438	17414451	+	0.000	0.000	Merged-chr14-17414498-32
NR2486--MA0463.1.Bcl6	chr8	53630672	53630685	+	0.000	0.000	Merged-chr8-53630787-29
NR1864--MA0731.1.BCL6B	chr4	86683518	86683534	+	0.000	0.000	Merged-chr4-86683553-15
NR77--MA0463.1.Bcl6	chr1	66714310	66714323	+	0.000	0.000	Merged-chr1-66714205-8
NR1163--MA0731.1.BCL6B	chr17	21501098	21501114	-	0.000	0.000	Merged-chr17-21500914-14
NR1052--MA0731.1.BCL6B	chr16	23250854	23250870	+	0.000	0.000	Merged-chr16-23250750-42
NR286--MA0463.1.Bcl6	chr10	37232213	37232226	+	0.000	0.000	Merged-chr10-37232300-62
NR2113--MA0463.1.Bcl6	chr5	124907074	124907087	+	0.000	0.000	Merged-chr5-124907107-45
NR2293--MA0463.1.Bcl6	chr6	143115346	143115359	-	0.000	0.000	Merged-chr6-143115547-2
NR1693--MA0731.1.BCL6B	chr3	115933922	115933938	+	0.000	0.000	Merged-chr3-115933714-29
