#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_dn.bed
NR1466--MA0508.2.PRDM1	chr2	68430727	68430736	-	0.000	0.000	Merged-chr2-68430660-54
NR1697--MA0508.2.PRDM1	chr3	79177284	79177293	+	0.000	0.000	Merged-chr3-79177375-21
NR1057--MA0508.2.PRDM1	chr16	49772880	49772889	-	0.000	0.000	Merged-chr16-49772867-33
NR799--MA0508.2.PRDM1	chr14	15770067	15770076	+	0.000	0.000	Merged-chr14-15770075-60
NR457--MA0508.2.PRDM1	chr11	110897214	110897223	+	0.000	0.000	Merged-chr11-110897111-25
NR165--MA0508.2.PRDM1	chr1	153085200	153085209	+	0.000	0.000	Merged-chr1-153085366-59
NR131--MA0508.2.PRDM1	chr1	132341854	132341863	-	0.000	0.000	Merged-chr1-132341932-46
NR2335--MA0508.2.PRDM1	chr6	131264131	131264140	+	0.000	0.000	Merged-chr6-131264117-18
NR62--MA0508.2.PRDM1	chr1	60070884	60070893	+	0.000	0.000	Merged-chr1-60070874-17
NR464--MA0508.2.PRDM1	chr11	121039431	121039440	-	0.000	0.000	Merged-chr11-121039238-62
NR2512--MA0508.2.PRDM1	chr8	36182375	36182384	-	0.000	0.000	Merged-chr8-36182321-59
NR2307--MA0508.2.PRDM1	chr6	115519189	115519198	+	0.000	0.000	Merged-chr6-115519250-24
NR406--MA0508.2.PRDM1	chr11	6628130	6628139	+	0.000	0.000	Merged-chr11-6628019-13
NR53--MA0508.2.PRDM1	chr1	51572857	51572866	-	0.000	0.000	Merged-chr1-51572755-47
NR1467--MA0508.2.PRDM1	chr2	68430850	68430859	-	0.000	0.000	Merged-chr2-68430660-54
NR2232--MA0508.2.PRDM1	chr6	50416936	50416945	+	0.000	0.000	Merged-chr6-50417055-62
NR1471--MA0508.2.PRDM1	chr2	71866729	71866738	-	0.000	0.000	Merged-chr2-71866752-47
NR2628--MA0508.2.PRDM1	chr9	60991674	60991683	+	0.000	0.000	Merged-chr9-60991715-48
NR129--MA0508.2.PRDM1	chr1	131089790	131089799	-	0.000	0.000	Merged-chr1-131089879-35
NR1346--MA0508.2.PRDM1	chr19	20409952	20409961	-	0.000	0.000	Merged-chr19-20409885-54
NR198--MA0508.2.PRDM1	chr1	180403776	180403785	-	0.000	0.000	Merged-chr1-180403715-60
NR1944--MA0508.2.PRDM1	chr4	88692666	88692675	+	0.000	0.000	Merged-chr4-88692699-24
NR1046--MA0508.2.PRDM1	chr16	32190297	32190306	-	0.000	0.000	Merged-chr16-32190230-31
NR985--MA0508.2.PRDM1	chr15	73146892	73146901	+	0.000	0.000	Merged-chr15-73146986-37
