#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed
NR31314--MA0599.1.KLF5	chr18	4296001	4296010	+	0.000	0.000	Merged-chr18-4296046-21
NR65398--MA0741.1.KLF16	chr8	125725408	125725418	-	0.000	0.000	Merged-chr8-125725496-61
NR1568--MA0742.1.Klf12	chr1	75213259	75213273	-	0.000	0.000	Merged-chr1-75213327-22
NR37409--MA0741.1.KLF16	chr2	79227982	79227992	-	0.000	0.000	Merged-chr2-79227897-44
NR4665--MA0741.1.KLF16	chr1	184013533	184013543	-	0.000	0.000	Merged-chr1-184013369-24
NR13553--MA1107.1.KLF9	chr12	25247230	25247242	-	0.000	0.000	Merged-chr12-25247115-16
NR60011--MA0599.1.KLF5	chr7	72308189	72308198	+	0.000	0.000	Merged-chr7-72308227-31
NR60560--MA0039.3.KLF4	chr7	92420557	92420567	-	0.000	0.000	Merged-chr7-92420666-38
NR69586--MA1107.1.KLF9	chrX	162868475	162868487	+	0.000	0.000	Merged-chrX-162868446-21
NR36240--MA0599.1.KLF5	chr2	34938758	34938767	-	0.000	0.000	Merged-chr2-34938971-69
NR27098--MA0740.1.KLF14	chr16	64800651	64800664	+	0.000	0.000	Merged-chr16-64800516-42
NR30585--MA0741.1.KLF16	chr17	73869465	73869475	+	0.000	0.000	Merged-chr17-73869364-53
NR43106--MA0741.1.KLF16	chr3	105825735	105825745	+	0.000	0.000	Merged-chr3-105825792-34
NR27831--MA0039.3.KLF4	chr16	91366824	91366834	+	0.000	0.000	Merged-chr16-91366873-55
