#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed
NR3036--MA0002.2.RUNX1	chr14	40956702	40956712	-	0.000	0.000	Merged-chr14-40956605-62
NR6360--MA0002.2.RUNX1	chr3	126825137	126825147	+	0.000	0.000	Merged-chr3-126825034-19
NR2761--MA0002.2.RUNX1	chr13	91178712	91178722	-	0.000	0.000	Merged-chr13-91178743-26
NR1348--MA0002.2.RUNX1	chr10	116914010	116914020	-	0.000	0.000	Merged-chr10-116914032-56
NR10109--MA0002.2.RUNX1	chrX	50930494	50930504	-	0.000	0.000	Merged-chrX-50930584-22
NR5260--MA0684.1.RUNX3	chr2	29453883	29453892	-	0.000	0.000	Merged-chr2-29453953-15
NR7843--MA0684.1.RUNX3	chr6	5997677	5997686	+	0.000	0.000	Merged-chr6-5997718-16
NR4433--MA0002.2.RUNX1	chr17	79394208	79394218	+	0.000	0.000	Merged-chr17-79394145-31
NR275--MA0002.2.RUNX1	chr1	80855239	80855249	+	0.000	0.000	Merged-chr1-80855392-26
NR7698--MA0511.2.RUNX2	chr5	124241815	124241823	+	0.000	0.000	Merged-chr5-124241668-15
NR926--MA0002.2.RUNX1	chr10	20119533	20119543	-	0.000	0.000	Merged-chr10-20119637-31
NR7442--MA0684.1.RUNX3	chr5	77125217	77125226	-	0.000	0.000	Merged-chr5-77125140-56
NR7089--MA0002.2.RUNX1	chr4	137900264	137900274	-	0.000	0.000	Merged-chr4-137900401-9
NR1055--MA0684.1.RUNX3	chr10	58480391	58480400	+	0.000	0.000	Merged-chr10-58480234-23
NR254--MA0002.2.RUNX1	chr1	78538556	78538566	+	0.000	0.000	Merged-chr1-78538536-20
NR8351--MA0002.2.RUNX1	chr6	129312584	129312594	-	0.000	0.000	Merged-chr6-129312714-15
NR253--MA0684.1.RUNX3	chr1	78537715	78537724	+	0.000	0.000	Merged-chr1-78537773-101
NR5083--MA0002.2.RUNX1	chr19	55261679	55261689	+	0.000	0.000	Merged-chr19-55261616-5
NR7163--MA0684.1.RUNX3	chr4	148509654	148509663	+	0.000	0.000	Merged-chr4-148509676-49
NR7003--MA0511.2.RUNX2	chr4	123416434	123416442	-	0.000	0.000	Merged-chr4-123416422-1
NR1615--MA0511.2.RUNX2	chr11	54153015	54153023	-	0.000	0.000	Merged-chr11-54152969-5
NR8234--MA0002.2.RUNX1	chr6	115560178	115560188	+	0.000	0.000	Merged-chr6-115560075-18
NR7159--MA0511.2.RUNX2	chr4	148509654	148509662	+	0.000	0.000	Merged-chr4-148509676-49
NR7665--MA0684.1.RUNX3	chr5	118710116	118710125	-	0.000	0.000	Merged-chr5-118710096-15
NR4996--MA0002.2.RUNX1	chr19	32496627	32496637	+	0.000	0.000	Merged-chr19-32496642-11
NR8879--MA0002.2.RUNX1	chr7	112918188	112918198	-	0.000	0.000	Merged-chr7-112918016-3
NR3112--MA0511.2.RUNX2	chr14	63104030	63104038	+	0.000	0.000	Merged-chr14-63104126-25
NR3980--MA0002.2.RUNX1	chr16	72350540	72350550	-	0.000	0.000	Merged-chr16-72350554-25
NR3377--MA0511.2.RUNX2	chr15	18951819	18951827	-	0.000	0.000	Merged-chr15-18951851-25
NR7004--MA0684.1.RUNX3	chr4	123416433	123416442	-	0.000	0.000	Merged-chr4-123416422-1
NR6240--MA0684.1.RUNX3	chr3	101884383	101884392	+	0.000	0.000	Merged-chr3-101884248-30
