#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed
NR2656--MA0117.2.Mafb	chr12	82268079	82268090	+	0.000	0.000	Merged-chr12-82268056-22
NR9451--MA0089.1.MAFG::NFE2L1	chr5	77367924	77367929	-	0.000	0.000	Merged-chr5-77367800-15
NR9119--MA0496.2.MAFK	chr4	150894695	150894713	-	0.000	0.000	Merged-chr4-150894695-19
NR356--MA0089.1.MAFG::NFE2L1	chr1	86580623	86580628	+	0.000	0.000	Merged-chr1-86580596-17
NR6272--MA0591.1.Bach1::Mafk	chr19	53464926	53464940	-	0.000	0.000	Merged-chr19-53464901-55
NR12649--MA0495.2.MAFF	chr9	102541680	102541700	+	0.000	0.000	Merged-chr9-102541803-17
NR8648--MA0089.1.MAFG::NFE2L1	chr4	89302408	89302413	+	0.000	0.000	Merged-chr4-89302202-17
NR2482--MA0659.1.MAFG	chr12	16331504	16331524	+	0.000	0.000	Merged-chr12-16331706-19
NR1577--MA0591.1.Bach1::Mafk	chr10	96599773	96599787	-	0.000	0.000	Merged-chr10-96599778-54
NR1137--MA0089.1.MAFG::NFE2L1	chr10	6997174	6997179	+	0.000	0.000	Merged-chr10-6997125-11
NR1578--MA0496.2.MAFK	chr10	96599771	96599789	+	0.000	0.000	Merged-chr10-96599778-54
NR9099--MA0089.1.MAFG::NFE2L1	chr4	149487998	149488003	-	0.000	0.000	Merged-chr4-149487937-22
NR4185--MA0496.2.MAFK	chr15	25884959	25884977	+	0.000	0.000	Merged-chr15-25884835-36
NR10768--MA0089.1.MAFG::NFE2L1	chr6	145257188	145257193	-	0.000	0.000	Merged-chr6-145256997-16
