#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_dn.bed
NR4665--MA0741.1.KLF16	chr1	184013533	184013543	-	0.000	0.000	Merged-chr1-184013369-24
NR4896--MA0493.1.Klf1	chr1	189500039	189500049	+	0.000	0.000	Merged-chr1-189499965-39
NR41755--MA0740.1.KLF14	chr3	55743869	55743882	-	0.000	0.000	Merged-chr3-55744037-44
NR43162--MA1107.1.KLF9	chr3	107233419	107233431	-	0.000	0.000	Merged-chr3-107233528-55
NR56799--MA0599.1.KLF5	chr6	119199111	119199120	+	0.000	0.000	Merged-chr6-119199024-52
NR6105--MA1107.1.KLF9	chr10	37250058	37250070	+	0.000	0.000	Merged-chr10-37249909-39
NR56812--MA1107.1.KLF9	chr6	119199104	119199116	+	0.000	0.000	Merged-chr6-119199024-52
NR67770--MA0741.1.KLF16	chr9	103134555	103134565	-	0.000	0.000	Merged-chr9-103134672-43
NR11887--MA0741.1.KLF16	chr11	94998326	94998336	-	0.000	0.000	Merged-chr11-94998178-21
NR36089--MA1107.1.KLF9	chr2	32447887	32447899	-	0.000	0.000	Merged-chr2-32447813-7
NR56804--MA0493.1.Klf1	chr6	119199104	119199114	+	0.000	0.000	Merged-chr6-119199024-52
NR60792--MA0493.1.Klf1	chr7	101466458	101466468	-	0.000	0.000	Merged-chr7-101466620-78
NR4898--MA1107.1.KLF9	chr1	189500039	189500051	+	0.000	0.000	Merged-chr1-189499965-39
NR56810--MA0741.1.KLF16	chr6	119199107	119199117	+	0.000	0.000	Merged-chr6-119199024-52
NR65137--MA0599.1.KLF5	chr8	120538815	120538824	+	0.000	0.000	Merged-chr8-120538784-40
NR54150--MA1107.1.KLF9	chr6	8648812	8648824	+	0.000	0.000	Merged-chr6-8648625-101
NR6098--MA1107.1.KLF9	chr10	37250044	37250056	+	0.000	0.000	Merged-chr10-37249909-39
NR48677--MA0493.1.Klf1	chr4	141425713	141425723	-	0.000	0.000	Merged-chr4-141425823-59
NR19013--MA1107.1.KLF9	chr13	109239167	109239179	-	0.000	0.000	Merged-chr13-109239401-35
NR54--MA0493.1.Klf1	chr1	6467070	6467080	-	0.000	0.000	Merged-chr1-6467226-38
NR58076--MA1107.1.KLF9	chr7	5061227	5061239	-	0.000	0.000	Merged-chr7-5061292-3
NR26217--MA0039.3.KLF4	chr16	23375107	23375117	+	0.000	0.000	Merged-chr16-23375120-32
NR51964--MA0742.1.Klf12	chr5	105541185	105541199	+	0.000	0.000	Merged-chr5-105541026-23
NR36270--MA0742.1.Klf12	chr2	35445535	35445549	+	0.000	0.000	Merged-chr2-35445506-29
NR4894--MA0740.1.KLF14	chr1	189500039	189500052	+	0.000	0.000	Merged-chr1-189499965-39
NR60794--MA1107.1.KLF9	chr7	101466456	101466468	-	0.000	0.000	Merged-chr7-101466620-78
NR7384--MA0741.1.KLF16	chr10	78399395	78399405	+	0.000	0.000	Merged-chr10-78399498-14
NR7387--MA1107.1.KLF9	chr10	78399396	78399408	+	0.000	0.000	Merged-chr10-78399498-14
NR43157--MA0740.1.KLF14	chr3	107233418	107233431	-	0.000	0.000	Merged-chr3-107233528-55
NR56800--MA0599.1.KLF5	chr6	119199116	119199125	+	0.000	0.000	Merged-chr6-119199024-52
NR19009--MA0741.1.KLF16	chr13	109239170	109239180	-	0.000	0.000	Merged-chr13-109239401-35
NR56813--MA1107.1.KLF9	chr6	119199106	119199118	+	0.000	0.000	Merged-chr6-119199024-52
NR4664--MA0741.1.KLF16	chr1	184013532	184013542	-	0.000	0.000	Merged-chr1-184013369-24
NR56805--MA0493.1.Klf1	chr6	119199115	119199125	+	0.000	0.000	Merged-chr6-119199024-52
NR62534--MA1107.1.KLF9	chr8	22783896	22783908	-	0.000	0.000	Merged-chr8-22783714-26
NR43161--MA0741.1.KLF16	chr3	107233420	107233430	-	0.000	0.000	Merged-chr3-107233528-55
NR67555--MA0599.1.KLF5	chr9	94607631	94607640	-	0.000	0.000	Merged-chr9-94607543-65
NR6099--MA1107.1.KLF9	chr10	37250046	37250058	+	0.000	0.000	Merged-chr10-37249909-39
NR36271--MA0493.1.Klf1	chr2	35445535	35445545	+	0.000	0.000	Merged-chr2-35445506-29
NR26218--MA1107.1.KLF9	chr16	23375103	23375115	+	0.000	0.000	Merged-chr16-23375120-32
NR43158--MA0599.1.KLF5	chr3	107233421	107233430	-	0.000	0.000	Merged-chr3-107233528-55
NR19014--MA1107.1.KLF9	chr13	109239169	109239181	-	0.000	0.000	Merged-chr13-109239401-35
NR47713--MA0039.3.KLF4	chr4	119947766	119947776	-	0.000	0.000	Merged-chr4-119947761-47
NR12988--MA0039.3.KLF4	chr11	119352395	119352405	+	0.000	0.000	Merged-chr11-119352427-33
NR21248--MA0039.3.KLF4	chr14	69774963	69774973	-	0.000	0.000	Merged-chr14-69774788-96
NR56808--MA0493.1.Klf1	chr6	119199130	119199140	+	0.000	0.000	Merged-chr6-119199024-52
