#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.1_up.bed
NR41163--MA0741.1.KLF16	chr3	84772124	84772134	-	0.000	0.000	Merged-chr3-84772067-31
NR41165--MA1107.1.KLF9	chr3	84772123	84772135	-	0.000	0.000	Merged-chr3-84772067-31
NR12640--MA0493.1.Klf1	chr11	113187328	113187338	+	0.000	0.000	Merged-chr11-113187180-1
NR45543--MA0039.3.KLF4	chr4	89369357	89369367	+	0.000	0.000	Merged-chr4-89369224-21
NR63823--MA0741.1.KLF16	chr8	84067371	84067381	-	0.000	0.000	Merged-chr8-84067412-4
NR65686--MA0741.1.KLF16	chr9	21167777	21167787	+	0.000	0.000	Merged-chr9-21167831-1
NR9624--MA0039.3.KLF4	chr11	46462213	46462223	-	0.000	0.000	Merged-chr11-46462115-37
NR18230--MA0599.1.KLF5	chr13	98684443	98684452	+	0.000	0.000	Merged-chr13-98684546-11
NR41161--MA0039.3.KLF4	chr3	84772128	84772138	-	0.000	0.000	Merged-chr3-84772067-31
NR47137--MA1107.1.KLF9	chr4	135313872	135313884	-	0.000	0.000	Merged-chr4-135313873-65
NR65684--MA0741.1.KLF16	chr9	21167775	21167785	+	0.000	0.000	Merged-chr9-21167831-1
NR9623--MA0599.1.KLF5	chr11	46462215	46462224	-	0.000	0.000	Merged-chr11-46462115-37
NR41160--MA0599.1.KLF5	chr3	84772130	84772139	-	0.000	0.000	Merged-chr3-84772067-31
NR48506--MA1107.1.KLF9	chr5	3928926	3928938	-	0.000	0.000	Merged-chr5-3928837-1
NR5939--MA0742.1.Klf12	chr10	61306177	61306191	-	0.000	0.000	Merged-chr10-61306308-35
NR49623--MA0039.3.KLF4	chr5	66190792	66190802	-	0.000	0.000	Merged-chr5-66190965-54
NR30790--MA0742.1.Klf12	chr18	39141852	39141866	-	0.000	0.000	Merged-chr18-39141814-16
NR12639--MA0039.3.KLF4	chr11	113187330	113187340	+	0.000	0.000	Merged-chr11-113187180-1
NR820--MA0039.3.KLF4	chr1	58774019	58774029	+	0.000	0.000	Merged-chr1-58774084-24
NR65685--MA0741.1.KLF16	chr9	21167776	21167786	+	0.000	0.000	Merged-chr9-21167831-1
NR12638--MA0599.1.KLF5	chr11	113187329	113187338	+	0.000	0.000	Merged-chr11-113187180-1
NR30792--MA0599.1.KLF5	chr18	39145633	39145642	-	0.000	0.000	Merged-chr18-39145494-15
NR65689--MA0599.1.KLF5	chr9	21167894	21167903	-	0.000	0.000	Merged-chr9-21167831-1
NR65683--MA0741.1.KLF16	chr9	21167774	21167784	+	0.000	0.000	Merged-chr9-21167831-1
NR60724--MA0599.1.KLF5	chr7	113572968	113572977	-	0.000	0.000	Merged-chr7-113573033-33
NR65688--MA0741.1.KLF16	chr9	21167780	21167790	+	0.000	0.000	Merged-chr9-21167831-1
NR9626--MA1107.1.KLF9	chr11	46462213	46462225	-	0.000	0.000	Merged-chr11-46462115-37
NR27531--MA0599.1.KLF5	chr17	25015824	25015833	-	0.000	0.000	Merged-chr17-25015631-3
NR12637--MA0742.1.Klf12	chr11	113187328	113187342	+	0.000	0.000	Merged-chr11-113187180-1
NR9625--MA0493.1.Klf1	chr11	46462215	46462225	-	0.000	0.000	Merged-chr11-46462115-37
NR28807--MA0599.1.KLF5	chr17	50148548	50148557	+	0.000	0.000	Merged-chr17-50148334-29
NR49625--MA1107.1.KLF9	chr5	66190792	66190804	-	0.000	0.000	Merged-chr5-66190965-54
NR41162--MA0493.1.Klf1	chr3	84772125	84772135	-	0.000	0.000	Merged-chr3-84772067-31
NR30791--MA0741.1.KLF16	chr18	39141855	39141865	-	0.000	0.000	Merged-chr18-39141814-16
NR41166--MA1107.1.KLF9	chr3	84772128	84772140	-	0.000	0.000	Merged-chr3-84772067-31
NR22148--MA0039.3.KLF4	chr15	27672037	27672047	+	0.000	0.000	Merged-chr15-27671906-23
NR41164--MA1107.1.KLF9	chr3	84772121	84772133	-	0.000	0.000	Merged-chr3-84772067-31
NR49624--MA0493.1.Klf1	chr5	66190794	66190804	-	0.000	0.000	Merged-chr5-66190965-54
NR30788--MA0740.1.KLF14	chr18	39141853	39141866	-	0.000	0.000	Merged-chr18-39141814-16
NR65687--MA0741.1.KLF16	chr9	21167778	21167788	+	0.000	0.000	Merged-chr9-21167831-1
NR30789--MA0657.1.KLF13	chr18	39141850	39141867	-	0.000	0.000	Merged-chr18-39141814-16
NR41159--MA0599.1.KLF5	chr3	84772125	84772134	-	0.000	0.000	Merged-chr3-84772067-31
NR12641--MA1107.1.KLF9	chr11	113187328	113187340	+	0.000	0.000	Merged-chr11-113187180-1
NR9622--MA0742.1.Klf12	chr11	46462211	46462225	-	0.000	0.000	Merged-chr11-46462115-37
