#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_up.bed
NR2700--MA0036.3.GATA2	chr15	94259677	94259687	+	0.000	0.000	Merged-chr15-94259724-7
NR6394--MA0035.3.Gata1	chr7	47113494	47113504	-	0.000	0.000	Merged-chr7-47113657-15
NR2410--MA0482.1.Gata4	chr14	100235658	100235668	-	0.000	0.000	Merged-chr14-100235821-25
NR6182--MA0037.3.GATA3	chr6	130312045	130312052	-	0.000	0.000	Merged-chr6-130312055-26
NR4817--MA0766.1.GATA5	chr3	136742960	136742967	-	0.000	0.000	Merged-chr3-136742959-57
NR7401--MA1104.1.GATA6	chr9	92314081	92314093	-	0.000	0.000	Merged-chr9-92314019-19
NR2556--MA0035.3.Gata1	chr15	52570470	52570480	+	0.000	0.000	Merged-chr15-52570490-21
NR2322--MA0766.1.GATA5	chr14	57713188	57713195	+	0.000	0.000	Merged-chr14-57713043-44
NR3198--MA1104.1.GATA6	chr17	50136227	50136239	-	0.000	0.000	Merged-chr17-50136209-46
NR6482--MA0035.3.Gata1	chr7	84166279	84166289	+	0.000	0.000	Merged-chr7-84166236-11
NR986--MA0766.1.GATA5	chr10	128990355	128990362	-	0.000	0.000	Merged-chr10-128990510-111
NR5032--MA0482.1.Gata4	chr4	43973613	43973623	+	0.000	0.000	Merged-chr4-43973629-28
NR105--MA0036.3.GATA2	chr1	69496218	69496228	-	0.000	0.000	Merged-chr1-69496310-11
NR7047--MA1104.1.GATA6	chr8	117548683	117548695	-	0.000	0.000	Merged-chr8-117548585-70
NR3687--MA1104.1.GATA6	chr19	31321986	31321998	+	0.000	0.000	Merged-chr19-31321995-11
NR4781--MA0035.3.Gata1	chr3	132886774	132886784	+	0.000	0.000	Merged-chr3-132886809-16
NR6960--MA0482.1.Gata4	chr8	94240436	94240446	+	0.000	0.000	Merged-chr8-94240399-13
NR2662--MA0766.1.GATA5	chr15	88730899	88730906	+	0.000	0.000	Merged-chr15-88731051-1
NR3368--MA0035.3.Gata1	chr18	34783895	34783905	-	0.000	0.000	Merged-chr18-34783714-45
NR2413--MA0036.3.GATA2	chr14	101477377	101477387	-	0.000	0.000	Merged-chr14-101477413-70
NR5133--MA0482.1.Gata4	chr4	89400517	89400527	-	0.000	0.000	Merged-chr4-89400416-12
