#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_dn.bed
NR3296--MA0523.1.TCF7L2	chr15	94235388	94235401	-	0.000	0.000	Merged-chr15-94235397-15
NR8032--MA1421.1.TCF7L1	chr7	128669094	128669105	-	0.000	0.000	Merged-chr7-128669075-5
NR6255--MA0769.1.Tcf7	chr4	88122427	88122438	+	0.000	0.000	Merged-chr4-88122493-27
NR817--MA0523.1.TCF7L2	chr10	25918280	25918293	+	0.000	0.000	Merged-chr10-25918351-16
NR1813--MA0769.1.Tcf7	chr12	53024928	53024939	-	0.000	0.000	Merged-chr12-53024873-19
NR8705--MA0523.1.TCF7L2	chr9	65084567	65084580	-	0.000	0.000	Merged-chr9-65084631-10
NR5501--MA0769.1.Tcf7	chr3	59277951	59277962	+	0.000	0.000	Merged-chr3-59277984-20
NR3666--MA0769.1.Tcf7	chr16	91413339	91413350	+	0.000	0.000	Merged-chr16-91413429-37
NR5434--MA1421.1.TCF7L1	chr3	28318055	28318066	-	0.000	0.000	Merged-chr3-28318064-9
NR2438--MA0523.1.TCF7L2	chr13	92639029	92639042	-	0.000	0.000	Merged-chr13-92639220-17
NR2491--MA1421.1.TCF7L1	chr13	103357027	103357038	-	0.000	0.000	Merged-chr13-103356902-29
NR5215--MA1421.1.TCF7L1	chr2	150130342	150130353	+	0.000	0.000	Merged-chr2-150130462-1
NR7673--MA0523.1.TCF7L2	chr7	19202621	19202634	-	0.000	0.000	Merged-chr7-19202544-28
NR5958--MA0769.1.Tcf7	chr3	146192742	146192753	-	0.000	0.000	Merged-chr3-146192596-55
NR3725--MA1421.1.TCF7L1	chr17	3246828	3246839	+	0.000	0.000	Merged-chr17-3246798-10
NR7321--MA0523.1.TCF7L2	chr6	89288315	89288328	-	0.000	0.000	Merged-chr6-89288372-31
NR7020--MA0523.1.TCF7L2	chr5	149459345	149459358	+	0.000	0.000	Merged-chr5-149459249-24
NR3456--MA0769.1.Tcf7	chr16	32972828	32972839	-	0.000	0.000	Merged-chr16-32972762-21
NR3506--MA1421.1.TCF7L1	chr16	44735811	44735822	+	0.000	0.000	Merged-chr16-44735956-40
NR5421--MA0769.1.Tcf7	chr3	21809910	21809921	+	0.000	0.000	Merged-chr3-21809864-17
NR3376--MA1421.1.TCF7L1	chr16	10669094	10669105	-	0.000	0.000	Merged-chr16-10669015-79
NR5240--MA1421.1.TCF7L1	chr2	153003057	153003068	+	0.000	0.000	Merged-chr2-153002914-29
NR4601--MA1421.1.TCF7L1	chr2	19316122	19316133	-	0.000	0.000	Merged-chr2-19316159-10
NR6502--MA0769.1.Tcf7	chr4	149854387	149854398	-	0.000	0.000	Merged-chr4-149854542-67
NR2678--MA0523.1.TCF7L2	chr14	32716983	32716996	-	0.000	0.000	Merged-chr14-32716978-71
NR5766--MA0769.1.Tcf7	chr3	115933847	115933858	-	0.000	0.000	Merged-chr3-115933714-29
NR5358--MA0523.1.TCF7L2	chr2	174612773	174612786	-	0.000	0.000	Merged-chr2-174612913-27
NR8111--MA0523.1.TCF7L2	chr7	143052807	143052820	+	0.000	0.000	Merged-chr7-143053012-41
NR7488--MA0523.1.TCF7L2	chr6	125222260	125222273	-	0.000	0.000	Merged-chr6-125222318-50
NR6849--MA0523.1.TCF7L2	chr5	103746717	103746730	-	0.000	0.000	Merged-chr5-103746858-38
NR825--MA0523.1.TCF7L2	chr10	26879379	26879392	+	0.000	0.000	Merged-chr10-26879299-36
NR2364--MA0523.1.TCF7L2	chr13	73772886	73772899	+	0.000	0.000	Merged-chr13-73772920-55
NR2293--MA1421.1.TCF7L1	chr13	52617347	52617358	+	0.000	0.000	Merged-chr13-52617361-10
NR4060--MA0523.1.TCF7L2	chr18	24237172	24237185	+	0.000	0.000	Merged-chr18-24237197-17
NR4104--MA0523.1.TCF7L2	chr18	38701109	38701122	+	0.000	0.000	Merged-chr18-38700911-27
NR3394--MA0769.1.Tcf7	chr16	15910370	15910381	+	0.000	0.000	Merged-chr16-15910429-9
NR5220--MA0769.1.Tcf7	chr2	150134375	150134386	-	0.000	0.000	Merged-chr2-150134419-14
NR2631--MA0769.1.Tcf7	chr14	15273333	15273344	-	0.000	0.000	Merged-chr14-15273135-43
NR1001--MA1421.1.TCF7L1	chr10	75417904	75417915	-	0.000	0.000	Merged-chr10-75417748-37
NR394--MA0523.1.TCF7L2	chr1	135807747	135807760	+	0.000	0.000	Merged-chr1-135807785-37
NR5471--MA0769.1.Tcf7	chr3	51495753	51495764	+	0.000	0.000	Merged-chr3-51495816-13
NR8387--MA0769.1.Tcf7	chr8	104416244	104416255	+	0.000	0.000	Merged-chr8-104416222-18
NR2829--MA0523.1.TCF7L2	chr14	66805895	66805908	-	0.000	0.000	Merged-chr14-66805736-29
NR5261--MA1421.1.TCF7L1	chr2	158673169	158673180	-	0.000	0.000	Merged-chr2-158673458-23
