#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.1_dn.bed
NR5202--MA1421.1.TCF7L1	chr8	88298013	88298024	-	0.000	0.000	Merged-chr8-88298148-50
NR729--MA1421.1.TCF7L1	chr10	111562791	111562802	+	0.000	0.000	Merged-chr10-111562842-26
NR2743--MA0769.1.Tcf7	chr18	80682968	80682979	+	0.000	0.000	Merged-chr18-80683033-18
NR1435--MA1421.1.TCF7L1	chr13	12927707	12927718	+	0.000	0.000	Merged-chr13-12927520-1
NR2663--MA1421.1.TCF7L1	chr18	62726941	62726952	-	0.000	0.000	Merged-chr18-62726922-31
NR463--MA0523.1.TCF7L2	chr1	194978294	194978307	-	0.000	0.000	Merged-chr1-194978350-5
NR633--MA1421.1.TCF7L1	chr10	83154008	83154019	+	0.000	0.000	Merged-chr10-83154095-25
NR1030--MA0769.1.Tcf7	chr11	103808700	103808711	-	0.000	0.000	Merged-chr11-103808730-15
NR3620--MA1421.1.TCF7L1	chr3	138868461	138868472	-	0.000	0.000	Merged-chr3-138868592-15
NR4293--MA1421.1.TCF7L1	chr5	140623875	140623886	+	0.000	0.000	Merged-chr5-140623883-3
NR2940--MA0769.1.Tcf7	chr2	35445515	35445526	-	0.000	0.000	Merged-chr2-35445506-29
NR1695--MA1421.1.TCF7L1	chr13	113549349	113549360	-	0.000	0.000	Merged-chr13-113549207-25
NR2992--MA1421.1.TCF7L1	chr2	57833237	57833248	+	0.000	0.000	Merged-chr2-57833187-31
NR46--MA0523.1.TCF7L2	chr1	51570628	51570641	-	0.000	0.000	Merged-chr1-51570675-23
NR5258--MA0769.1.Tcf7	chr8	120715517	120715528	-	0.000	0.000	Merged-chr8-120715474-36
NR1029--MA1421.1.TCF7L1	chr11	103808700	103808711	-	0.000	0.000	Merged-chr11-103808730-15
NR4308--MA0769.1.Tcf7	chr5	146757475	146757486	-	0.000	0.000	Merged-chr5-146757539-9
NR3878--MA0523.1.TCF7L2	chr4	118406372	118406385	-	0.000	0.000	Merged-chr4-118406334-12
NR3828--MA0769.1.Tcf7	chr4	98282622	98282633	-	0.000	0.000	Merged-chr4-98282479-46
NR4291--MA0769.1.Tcf7	chr5	137425807	137425818	+	0.000	0.000	Merged-chr5-137425710-17
NR3207--MA0769.1.Tcf7	chr2	144646559	144646570	+	0.000	0.000	Merged-chr2-144646502-21
NR5285--MA0523.1.TCF7L2	chr8	126539840	126539853	-	0.000	0.000	Merged-chr8-126539798-23
NR759--MA0769.1.Tcf7	chr10	118096221	118096232	+	0.000	0.000	Merged-chr10-118096400-51
NR5487--MA0523.1.TCF7L2	chr9	83893104	83893117	-	0.000	0.000	Merged-chr9-83893287-19
NR2415--MA1421.1.TCF7L1	chr17	29275142	29275153	-	0.000	0.000	Merged-chr17-29275247-8
NR2124--MA0769.1.Tcf7	chr15	100749892	100749903	-	0.000	0.000	Merged-chr15-100749824-1
NR1955--MA1421.1.TCF7L1	chr15	38122363	38122374	+	0.000	0.000	Merged-chr15-38122272-49
NR2939--MA1421.1.TCF7L1	chr2	35445515	35445526	-	0.000	0.000	Merged-chr2-35445506-29
NR507--MA0523.1.TCF7L2	chr10	22306666	22306679	-	0.000	0.000	Merged-chr10-22306595-58
NR1651--MA0523.1.TCF7L2	chr13	108763549	108763562	-	0.000	0.000	Merged-chr13-108763497-25
NR758--MA1421.1.TCF7L1	chr10	118096221	118096232	+	0.000	0.000	Merged-chr10-118096400-51
NR3364--MA0523.1.TCF7L2	chr3	37738623	37738636	+	0.000	0.000	Merged-chr3-37738517-40
NR1039--MA1421.1.TCF7L1	chr11	106493442	106493453	-	0.000	0.000	Merged-chr11-106493297-20
NR45--MA1421.1.TCF7L1	chr1	51570630	51570641	-	0.000	0.000	Merged-chr1-51570675-23
NR3205--MA0523.1.TCF7L2	chr2	144646515	144646528	+	0.000	0.000	Merged-chr2-144646502-21
NR4307--MA1421.1.TCF7L1	chr5	146757475	146757486	-	0.000	0.000	Merged-chr5-146757539-9
NR47--MA0769.1.Tcf7	chr1	51570630	51570641	-	0.000	0.000	Merged-chr1-51570675-23
NR3891--MA0523.1.TCF7L2	chr4	124766966	124766979	+	0.000	0.000	Merged-chr4-124766881-14
NR3621--MA0523.1.TCF7L2	chr3	138868466	138868479	-	0.000	0.000	Merged-chr3-138868592-15
NR4769--MA0769.1.Tcf7	chr7	30440004	30440015	-	0.000	0.000	Merged-chr7-30439933-8
NR1652--MA0769.1.Tcf7	chr13	108763551	108763562	-	0.000	0.000	Merged-chr13-108763497-25
NR3827--MA0523.1.TCF7L2	chr4	98282620	98282633	-	0.000	0.000	Merged-chr4-98282479-46
NR3206--MA1421.1.TCF7L1	chr2	144646559	144646570	+	0.000	0.000	Merged-chr2-144646502-21
NR2123--MA1421.1.TCF7L1	chr15	100749892	100749903	-	0.000	0.000	Merged-chr15-100749824-1
NR3--MA0523.1.TCF7L2	chr1	7096289	7096302	+	0.000	0.000	Merged-chr1-7096130-35
NR1436--MA0769.1.Tcf7	chr13	12927707	12927718	+	0.000	0.000	Merged-chr13-12927520-1
NR821--MA0523.1.TCF7L2	chr11	11498084	11498097	-	0.000	0.000	Merged-chr11-11498094-24
