#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_up.bed
NR10231--MA0591.1.Bach1::Mafk	chr4	108371533	108371547	+	0.000	0.000	Merged-chr4-108371608-19
NR14550--MA0591.1.Bach1::Mafk	chr9	96714260	96714274	+	0.000	0.000	Merged-chr9-96714307-38
NR5910--MA0089.1.MAFG::NFE2L1	chr16	75920923	75920928	+	0.000	0.000	Merged-chr16-75921068-56
NR1509--MA0591.1.Bach1::Mafk	chr10	44434868	44434882	-	0.000	0.000	Merged-chr10-44434814-22
NR1083--MA0591.1.Bach1::Mafk	chr1	180410494	180410508	+	0.000	0.000	Merged-chr1-180410391-12
NR2746--MA0591.1.Bach1::Mafk	chr11	109149699	109149713	+	0.000	0.000	Merged-chr11-109149686-17
NR13615--MA0591.1.Bach1::Mafk	chr8	72285430	72285444	-	0.000	0.000	Merged-chr8-72285397-19
NR14976--MA0089.1.MAFG::NFE2L1	chrX	106704807	106704812	+	0.000	0.000	Merged-chrX-106704745-40
NR2820--MA0089.1.MAFG::NFE2L1	chr11	119671391	119671396	-	0.000	0.000	Merged-chr11-119671227-50
NR4853--MA0591.1.Bach1::Mafk	chr14	99266004	99266018	-	0.000	0.000	Merged-chr14-99266048-28
NR680--MA0591.1.Bach1::Mafk	chr1	127345063	127345077	+	0.000	0.000	Merged-chr1-127345077-51
NR15037--MA0495.2.MAFF	chrX	142792380	142792400	+	0.000	0.000	Merged-chrX-142792362-24
NR1080--MA0501.1.MAF::NFE2	chr1	180403754	180403768	-	0.000	0.000	Merged-chr1-180403715-60
NR2153--MA0089.1.MAFG::NFE2L1	chr11	4206035	4206040	+	0.000	0.000	Merged-chr11-4206247-48
NR5443--MA0089.1.MAFG::NFE2L1	chr15	100060731	100060736	+	0.000	0.000	Merged-chr15-100060928-68
NR6060--MA0591.1.Bach1::Mafk	chr16	94660250	94660264	-	0.000	0.000	Merged-chr16-94660460-20
NR7252--MA0591.1.Bach1::Mafk	chr19	21785907	21785921	-	0.000	0.000	Merged-chr19-21785964-7
NR15039--MA0117.2.Mafb	chrX	142792389	142792400	-	0.000	0.000	Merged-chrX-142792362-24
NR2353--MA0089.1.MAFG::NFE2L1	chr11	46474480	46474485	-	0.000	0.000	Merged-chr11-46474391-31
NR12471--MA0591.1.Bach1::Mafk	chr6	144689272	144689286	-	0.000	0.000	Merged-chr6-144689209-25
NR3696--MA0495.2.MAFF	chr13	37783912	37783932	+	0.000	0.000	Merged-chr13-37783892-22
NR7240--MA0496.2.MAFK	chr19	20424389	20424407	+	0.000	0.000	Merged-chr19-20424322-22
NR6232--MA0591.1.Bach1::Mafk	chr17	26572482	26572496	-	0.000	0.000	Merged-chr17-26572396-49
NR14972--MA0089.1.MAFG::NFE2L1	chrX	105716158	105716163	+	0.000	0.000	Merged-chrX-105716099-35
NR24--MA0089.1.MAFG::NFE2L1	chr1	13301687	13301692	+	0.000	0.000	Merged-chr1-13301807-39
NR9301--MA0501.1.MAF::NFE2	chr3	107796787	107796801	+	0.000	0.000	Merged-chr3-107796765-38
NR7820--MA0117.2.Mafb	chr2	66102479	66102490	-	0.000	0.000	Merged-chr2-66102335-49
NR14148--MA0501.1.MAF::NFE2	chr9	21609994	21610008	-	0.000	0.000	Merged-chr9-21610100-42
NR9471--MA0089.1.MAFG::NFE2L1	chr3	130691917	130691922	-	0.000	0.000	Merged-chr3-130691928-1
NR844--MA0495.2.MAFF	chr1	153288164	153288184	+	0.000	0.000	Merged-chr1-153288080-22
NR1078--MA0495.2.MAFF	chr1	180403754	180403774	-	0.000	0.000	Merged-chr1-180403715-60
NR7255--MA0591.1.Bach1::Mafk	chr19	21787354	21787368	+	0.000	0.000	Merged-chr19-21787247-22
NR752--MA0089.1.MAFG::NFE2L1	chr1	136685551	136685556	+	0.000	0.000	Merged-chr1-136685597-75
NR6570--MA0089.1.MAFG::NFE2L1	chr17	83654746	83654751	-	0.000	0.000	Merged-chr17-83654883-58
NR7726--MA0089.1.MAFG::NFE2L1	chr2	52891300	52891305	-	0.000	0.000	Merged-chr2-52891472-34
NR13339--MA0117.2.Mafb	chr7	142114131	142114142	+	0.000	0.000	Merged-chr7-142113991-20
NR5263--MA0089.1.MAFG::NFE2L1	chr15	65810926	65810931	-	0.000	0.000	Merged-chr15-65810890-18
NR7622--MA0495.2.MAFF	chr2	34938703	34938723	+	0.000	0.000	Merged-chr2-34938971-69
NR7403--MA0501.1.MAF::NFE2	chr19	56451097	56451111	+	0.000	0.000	Merged-chr19-56451111-33
NR8479--MA0089.1.MAFG::NFE2L1	chr2	150918921	150918926	+	0.000	0.000	Merged-chr2-150918832-31
NR3939--MA0495.2.MAFF	chr13	76129008	76129028	+	0.000	0.000	Merged-chr13-76128854-26
NR11701--MA0089.1.MAFG::NFE2L1	chr6	50417017	50417022	+	0.000	0.000	Merged-chr6-50417055-62
NR7044--MA0089.1.MAFG::NFE2L1	chr18	79263189	79263194	+	0.000	0.000	Merged-chr18-79263255-24
NR3943--MA0496.2.MAFK	chr13	76129009	76129027	+	0.000	0.000	Merged-chr13-76128854-26
NR3314--MA0089.1.MAFG::NFE2L1	chr12	103129738	103129743	-	0.000	0.000	Merged-chr12-103129553-17
NR1316--MA0501.1.MAF::NFE2	chr10	10224830	10224844	+	0.000	0.000	Merged-chr10-10224805-34
NR4850--MA0495.2.MAFF	chr14	99266001	99266021	+	0.000	0.000	Merged-chr14-99266048-28
NR14244--MA0496.2.MAFK	chr9	43785162	43785180	-	0.000	0.000	Merged-chr9-43784994-20
NR7331--MA0089.1.MAFG::NFE2L1	chr19	41360612	41360617	+	0.000	0.000	Merged-chr19-41360707-21
NR1644--MA0089.1.MAFG::NFE2L1	chr10	67727766	67727771	+	0.000	0.000	Merged-chr10-67727735-22
NR1363--MA0117.2.Mafb	chr10	18064773	18064784	-	0.000	0.000	Merged-chr10-18064784-37
NR14337--MA0089.1.MAFG::NFE2L1	chr9	61216311	61216316	+	0.000	0.000	Merged-chr9-61216256-31
NR13327--MA0591.1.Bach1::Mafk	chr7	140947203	140947217	+	0.000	0.000	Merged-chr7-140947277-49
NR14800--MA0089.1.MAFG::NFE2L1	chr9	123928248	123928253	+	0.000	0.000	Merged-chr9-123928219-7
NR1368--MA0659.1.MAFG	chr10	19104809	19104829	+	0.000	0.000	Merged-chr10-19104955-55
NR3338--MA0089.1.MAFG::NFE2L1	chr12	105001141	105001146	+	0.000	0.000	Merged-chr12-105001185-43
NR1370--MA0496.2.MAFK	chr10	19104810	19104828	+	0.000	0.000	Merged-chr10-19104955-55
NR12478--MA0089.1.MAFG::NFE2L1	chr6	144804582	144804587	-	0.000	0.000	Merged-chr6-144804553-29
NR7644--MA0089.1.MAFG::NFE2L1	chr2	38536477	38536482	+	0.000	0.000	Merged-chr2-38536477-82
NR6061--MA0659.1.MAFG	chr16	94660247	94660267	+	0.000	0.000	Merged-chr16-94660460-20
NR13999--MA0117.2.Mafb	chr8	124242452	124242463	-	0.000	0.000	Merged-chr8-124242348-54
NR2485--MA0117.2.Mafb	chr11	67563354	67563365	+	0.000	0.000	Merged-chr11-67563339-33
NR5650--MA0495.2.MAFF	chr16	33769914	33769934	+	0.000	0.000	Merged-chr16-33769896-51
NR706--MA0089.1.MAFG::NFE2L1	chr1	131003551	131003556	-	0.000	0.000	Merged-chr1-131003466-39
NR13604--MA0089.1.MAFG::NFE2L1	chr8	71587200	71587205	-	0.000	0.000	Merged-chr8-71587200-14
NR7668--MA0089.1.MAFG::NFE2L1	chr2	45017352	45017357	+	0.000	0.000	Merged-chr2-45017480-33
NR13616--MA0501.1.MAF::NFE2	chr8	72285427	72285441	-	0.000	0.000	Merged-chr8-72285397-19
NR6711--MA0089.1.MAFG::NFE2L1	chr18	23828700	23828705	-	0.000	0.000	Merged-chr18-23828715-22
NR1506--MA0495.2.MAFF	chr10	44434865	44434885	-	0.000	0.000	Merged-chr10-44434814-22
NR5885--MA0117.2.Mafb	chr16	70365362	70365373	+	0.000	0.000	Merged-chr16-70365429-20
NR7382--MA0496.2.MAFK	chr19	53800798	53800816	+	0.000	0.000	Merged-chr19-53800770-48
NR1996--MA0659.1.MAFG	chr10	117975555	117975575	+	0.000	0.000	Merged-chr10-117975710-27
NR6064--MA0496.2.MAFK	chr16	94660248	94660266	+	0.000	0.000	Merged-chr16-94660460-20
NR11875--MA0501.1.MAF::NFE2	chr6	72659946	72659960	+	0.000	0.000	Merged-chr6-72660096-30
NR1488--MA0089.1.MAFG::NFE2L1	chr10	41615598	41615603	+	0.000	0.000	Merged-chr10-41615681-31
NR2553--MA0591.1.Bach1::Mafk	chr11	79132271	79132285	+	0.000	0.000	Merged-chr11-79132078-52
NR2508--MA0591.1.Bach1::Mafk	chr11	71230852	71230866	+	0.000	0.000	Merged-chr11-71230864-28
NR5102--MA0117.2.Mafb	chr15	34389262	34389273	+	0.000	0.000	Merged-chr15-34389092-27
NR13981--MA0591.1.Bach1::Mafk	chr8	120702288	120702302	-	0.000	0.000	Merged-chr8-120702084-56
NR5208--MA0495.2.MAFF	chr15	58655206	58655226	-	0.000	0.000	Merged-chr15-58655104-54
NR2893--MA0089.1.MAFG::NFE2L1	chr12	17511194	17511199	-	0.000	0.000	Merged-chr12-17511273-48
NR2725--MA0591.1.Bach1::Mafk	chr11	106416597	106416611	-	0.000	0.000	Merged-chr11-106416403-62
NR12268--MA0496.2.MAFK	chr6	127302957	127302975	-	0.000	0.000	Merged-chr6-127302896-25
NR1317--MA0501.1.MAF::NFE2	chr10	10224979	10224993	+	0.000	0.000	Merged-chr10-10224805-34
NR14238--MA0495.2.MAFF	chr9	43785161	43785181	-	0.000	0.000	Merged-chr9-43784994-20
NR6496--MA0501.1.MAF::NFE2	chr17	71192185	71192199	-	0.000	0.000	Merged-chr17-71192022-46
NR13048--MA0089.1.MAFG::NFE2L1	chr7	110965579	110965584	-	0.000	0.000	Merged-chr7-110965629-28
NR14694--MA0496.2.MAFK	chr9	114787912	114787930	-	0.000	0.000	Merged-chr9-114787935-34
NR3384--MA0591.1.Bach1::Mafk	chr12	110506249	110506263	+	0.000	0.000	Merged-chr12-110506270-12
NR6567--MA0495.2.MAFF	chr17	83483867	83483887	+	0.000	0.000	Merged-chr17-83484048-22
NR14392--MA0117.2.Mafb	chr9	72678832	72678843	+	0.000	0.000	Merged-chr9-72678882-22
NR13248--MA0089.1.MAFG::NFE2L1	chr7	132772572	132772577	+	0.000	0.000	Merged-chr7-132772585-7
NR7209--MA0089.1.MAFG::NFE2L1	chr19	16255497	16255502	+	0.000	0.000	Merged-chr19-16255427-25
NR3669--MA0089.1.MAFG::NFE2L1	chr13	32868434	32868439	+	0.000	0.000	Merged-chr13-32868285-30
NR2509--MA0501.1.MAF::NFE2	chr11	71230855	71230869	+	0.000	0.000	Merged-chr11-71230864-28
NR10130--MA0089.1.MAFG::NFE2L1	chr4	97860510	97860515	-	0.000	0.000	Merged-chr4-97860532-7
NR9606--MA0117.2.Mafb	chr3	145666597	145666608	+	0.000	0.000	Merged-chr3-145666541-17
NR9858--MA0089.1.MAFG::NFE2L1	chr4	40839363	40839368	-	0.000	0.000	Merged-chr4-40839433-53
NR12821--MA0501.1.MAF::NFE2	chr7	75483359	75483373	+	0.000	0.000	Merged-chr7-75483331-36
NR14149--MA0496.2.MAFK	chr9	21609995	21610013	+	0.000	0.000	Merged-chr9-21610100-42
NR14751--MA0089.1.MAFG::NFE2L1	chr9	118518967	118518972	-	0.000	0.000	Merged-chr9-118519152-31
NR12502--MA0089.1.MAFG::NFE2L1	chr6	146271409	146271414	-	0.000	0.000	Merged-chr6-146271470-40
NR1510--MA0659.1.MAFG	chr10	44434865	44434885	+	0.000	0.000	Merged-chr10-44434814-22
