#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_dn.bed
NR4147--MA0684.1.RUNX3	chr17	12165580	12165589	+	0.000	0.000	Merged-chr17-12165459-54
NR7524--MA0684.1.RUNX3	chr5	100875965	100875974	+	0.000	0.000	Merged-chr5-100875815-38
NR575--MA0002.2.RUNX1	chr1	155476448	155476458	+	0.000	0.000	Merged-chr1-155476472-40
NR9579--MA0002.2.RUNX1	chr9	33061074	33061084	-	0.000	0.000	Merged-chr9-33060885-64
NR9707--MA0002.2.RUNX1	chr9	63726813	63726823	-	0.000	0.000	Merged-chr9-63726755-24
NR2543--MA0002.2.RUNX1	chr13	37541894	37541904	-	0.000	0.000	Merged-chr13-37541855-48
NR6188--MA0684.1.RUNX3	chr3	94375472	94375481	-	0.000	0.000	Merged-chr3-94375656-27
NR5827--MA0511.2.RUNX2	chr2	167363581	167363589	+	0.000	0.000	Merged-chr2-167363421-42
NR8199--MA0511.2.RUNX2	chr6	108630934	108630942	-	0.000	0.000	Merged-chr6-108631007-44
NR2652--MA0002.2.RUNX1	chr13	63189852	63189862	-	0.000	0.000	Merged-chr13-63189715-33
NR5394--MA0511.2.RUNX2	chr2	65133924	65133932	+	0.000	0.000	Merged-chr2-65133825-19
NR3763--MA0684.1.RUNX3	chr16	14088467	14088476	-	0.000	0.000	Merged-chr16-14088440-49
NR716--MA0002.2.RUNX1	chr1	176827609	176827619	+	0.000	0.000	Merged-chr1-176827492-35
NR3538--MA0002.2.RUNX1	chr15	66445634	66445644	+	0.000	0.000	Merged-chr15-66445527-47
NR9035--MA0002.2.RUNX1	chr7	137476758	137476768	+	0.000	0.000	Merged-chr7-137476773-22
NR924--MA0511.2.RUNX2	chr10	19578236	19578244	+	0.000	0.000	Merged-chr10-19578163-111
NR9862--MA0511.2.RUNX2	chr9	94993757	94993765	+	0.000	0.000	Merged-chr9-94993790-30
NR3124--MA0002.2.RUNX1	chr14	64666912	64666922	-	0.000	0.000	Merged-chr14-64666873-42
NR7755--MA0684.1.RUNX3	chr5	136460078	136460087	+	0.000	0.000	Merged-chr5-136460136-37
NR9766--MA0511.2.RUNX2	chr9	80070226	80070234	-	0.000	0.000	Merged-chr9-80070269-16
NR934--MA0002.2.RUNX1	chr10	21479581	21479591	-	0.000	0.000	Merged-chr10-21479566-37
NR871--MA0511.2.RUNX2	chr10	8176544	8176552	-	0.000	0.000	Merged-chr10-8176500-34
NR2360--MA0002.2.RUNX1	chr12	115145466	115145476	+	0.000	0.000	Merged-chr12-115145586-48
NR1857--MA0684.1.RUNX3	chr11	109790430	109790439	-	0.000	0.000	Merged-chr11-109790418-22
NR1109--MA0002.2.RUNX1	chr10	68512654	68512664	+	0.000	0.000	Merged-chr10-68512591-23
