#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Lef1/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_up.bed
NR1663--MA0768.1.LEF1	chr3	55660081	55660095	+	0.000	0.000	Merged-chr3-55660012-44
NR874--MA0768.1.LEF1	chr14	122908308	122908322	-	0.000	0.000	Merged-chr14-122908322-32
NR1560--MA0768.1.LEF1	chr2	132691812	132691826	+	0.000	0.000	Merged-chr2-132691913-20
NR1202--MA0768.1.LEF1	chr18	12876590	12876604	+	0.000	0.000	Merged-chr18-12876665-8
NR628--MA0768.1.LEF1	chr13	36448615	36448629	-	0.000	0.000	Merged-chr13-36448727-20
NR2762--MA0768.1.LEF1	chrX	159828200	159828214	+	0.000	0.000	Merged-chrX-159828290-35
NR2404--MA0768.1.LEF1	chr7	109951564	109951578	-	0.000	0.000	Merged-chr7-109951636-55
NR646--MA0768.1.LEF1	chr13	52617347	52617361	+	0.000	0.000	Merged-chr13-52617361-10
NR431--MA0768.1.LEF1	chr11	96058765	96058779	+	0.000	0.000	Merged-chr11-96058605-21
NR1659--MA0768.1.LEF1	chr3	52397970	52397984	+	0.000	0.000	Merged-chr3-52398143-17
NR1444--MA0768.1.LEF1	chr2	59527630	59527644	-	0.000	0.000	Merged-chr2-59527807-15
NR2749--MA0768.1.LEF1	chrX	100789551	100789565	-	0.000	0.000	Merged-chrX-100789555-32
NR2534--MA0768.1.LEF1	chr8	95247524	95247538	+	0.000	0.000	Merged-chr8-95247520-25
NR1319--MA0768.1.LEF1	chr19	21547553	21547567	-	0.000	0.000	Merged-chr19-21547622-17
NR888--MA0768.1.LEF1	chr15	18952128	18952142	+	0.000	0.000	Merged-chr15-18951851-25
NR794--MA0768.1.LEF1	chr14	54056893	54056907	+	0.000	0.000	Merged-chr14-54056823-18
NR1337--MA0768.1.LEF1	chr19	36384729	36384743	-	0.000	0.000	Merged-chr19-36384536-37
NR2664--MA0768.1.LEF1	chr9	85011576	85011590	+	0.000	0.000	Merged-chr9-85011578-31
NR2570--MA0768.1.LEF1	chr8	128788553	128788567	-	0.000	0.000	Merged-chr8-128788432-17
NR2539--MA0768.1.LEF1	chr8	104416244	104416258	+	0.000	0.000	Merged-chr8-104416222-18
NR208--MA0768.1.LEF1	chr1	191872687	191872701	-	0.000	0.000	Merged-chr1-191872609-17
NR1252--MA0768.1.LEF1	chr18	65016104	65016118	-	0.000	0.000	Merged-chr18-65016159-16
NR88--MA0768.1.LEF1	chr1	98088346	98088360	+	0.000	0.000	Merged-chr1-98088226-2
NR2557--MA0768.1.LEF1	chr8	123404745	123404759	-	0.000	0.000	Merged-chr8-123404693-24
NR123--MA0768.1.LEF1	chr1	135807883	135807897	-	0.000	0.000	Merged-chr1-135807785-37
NR1597--MA0768.1.LEF1	chr2	150578758	150578772	-	0.000	0.000	Merged-chr2-150578789-44
NR2575--MA0768.1.LEF1	chr9	11559575	11559589	-	0.000	0.000	Merged-chr9-11559688-28
NR2360--MA0768.1.LEF1	chr7	67353151	67353165	+	0.000	0.000	Merged-chr7-67353153-2
NR1042--MA0768.1.LEF1	chr16	55421859	55421873	-	0.000	0.000	Merged-chr16-55421971-12
NR468--MA0768.1.LEF1	chr12	3990027	3990041	-	0.000	0.000	Merged-chr12-3989980-1
NR1154--MA0768.1.LEF1	chr17	63460226	63460240	-	0.000	0.000	Merged-chr17-63460148-16
NR2490--MA0768.1.LEF1	chr8	36028574	36028588	-	0.000	0.000	Merged-chr8-36028490-56
NR1060--MA0768.1.LEF1	chr16	84982743	84982757	-	0.000	0.000	Merged-chr16-84982791-18
NR271--MA0768.1.LEF1	chr10	60000108	60000122	+	0.000	0.000	Merged-chr10-60000232-10
NR598--MA0768.1.LEF1	chr13	5313260	5313274	-	0.000	0.000	Merged-chr13-5313405-28
NR907--MA0768.1.LEF1	chr15	38636229	38636243	-	0.000	0.000	Merged-chr15-38636290-13
NR1190--MA0768.1.LEF1	chr17	88480579	88480593	-	0.000	0.000	Merged-chr17-88480530-23
NR1714--MA0768.1.LEF1	chr3	97274117	97274131	+	0.000	0.000	Merged-chr3-97274158-19
NR2374--MA0768.1.LEF1	chr7	80936844	80936858	-	0.000	0.000	Merged-chr7-80936896-39
NR1938--MA0768.1.LEF1	chr4	134091343	134091357	-	0.000	0.000	Merged-chr4-134091309-8
NR1177--MA0768.1.LEF1	chr17	84239782	84239796	+	0.000	0.000	Merged-chr17-84239923-12
NR2146--MA0768.1.LEF1	chr6	8490162	8490176	-	0.000	0.000	Merged-chr6-8490222-10
NR388--MA0768.1.LEF1	chr11	30168262	30168276	-	0.000	0.000	Merged-chr11-30168139-12
NR1074--MA0768.1.LEF1	chr16	91413339	91413353	+	0.000	0.000	Merged-chr16-91413429-37
NR2052--MA0768.1.LEF1	chr5	89154559	89154573	-	0.000	0.000	Merged-chr5-89154576-11
NR2379--MA0768.1.LEF1	chr7	84143203	84143217	-	0.000	0.000	Merged-chr7-84143230-35
NR2164--MA0768.1.LEF1	chr6	34939572	34939586	-	0.000	0.000	Merged-chr6-34939585-12
NR1092--MA0768.1.LEF1	chr17	3260885	3260899	+	0.000	0.000	Merged-chr17-3260977-28
NR1616--MA0768.1.LEF1	chr2	160746843	160746857	-	0.000	0.000	Merged-chr2-160746776-15
NR2070--MA0768.1.LEF1	chr5	98018288	98018302	+	0.000	0.000	Merged-chr5-98018284-53
NR1401--MA0768.1.LEF1	chr2	32181551	32181565	-	0.000	0.000	Merged-chr2-32181600-13
NR2182--MA0768.1.LEF1	chr6	53706591	53706605	+	0.000	0.000	Merged-chr6-53706669-3
NR845--MA0768.1.LEF1	chr14	103350073	103350087	+	0.000	0.000	Merged-chr14-103350207-1
NR751--MA0768.1.LEF1	chr14	12307860	12307874	+	0.000	0.000	Merged-chr14-12307905-40
NR2169--MA0768.1.LEF1	chr6	41113489	41113503	+	0.000	0.000	Merged-chr6-41113305-59
NR27--MA0768.1.LEF1	chr1	43207295	43207309	+	0.000	0.000	Merged-chr1-43207362-30
NR1424--MA0768.1.LEF1	chr2	48328421	48328435	-	0.000	0.000	Merged-chr2-48328415-44
NR2608--MA0768.1.LEF1	chr9	42463999	42464013	+	0.000	0.000	Merged-chr9-42464013-7
NR1648--MA0768.1.LEF1	chr3	28318052	28318066	-	0.000	0.000	Merged-chr3-28318064-9
NR868--MA0768.1.LEF1	chr14	121353970	121353984	-	0.000	0.000	Merged-chr14-121354142-24
NR2411--MA0768.1.LEF1	chr7	115218910	115218924	+	0.000	0.000	Merged-chr7-115218920-27
NR1214--MA0768.1.LEF1	chr18	32598283	32598297	+	0.000	0.000	Merged-chr18-32598271-33
NR998--MA0768.1.LEF1	chr16	24909767	24909781	-	0.000	0.000	Merged-chr16-24909583-14
NR1111--MA0768.1.LEF1	chr17	21438157	21438171	-	0.000	0.000	Merged-chr17-21438248-5
NR537--MA0768.1.LEF1	chr12	82187504	82187518	-	0.000	0.000	Merged-chr12-82187311-20
NR1456--MA0768.1.LEF1	chr2	65421992	65422006	+	0.000	0.000	Merged-chr2-65422005-11
NR2434--MA0768.1.LEF1	chr7	128669091	128669105	-	0.000	0.000	Merged-chr7-128669075-5
NR309--MA0768.1.LEF1	chr10	85050895	85050909	-	0.000	0.000	Merged-chr10-85050856-11
NR1362--MA0768.1.LEF1	chr19	55915608	55915622	-	0.000	0.000	Merged-chr19-55915456-76
NR788--MA0768.1.LEF1	chr14	48271280	48271294	-	0.000	0.000	Merged-chr14-48271299-17
NR1228--MA0768.1.LEF1	chr18	46381239	46381253	-	0.000	0.000	Merged-chr18-46381195-31
NR233--MA0768.1.LEF1	chr10	20231315	20231329	+	0.000	0.000	Merged-chr10-20231392-7
NR900--MA0768.1.LEF1	chr15	36396448	36396462	-	0.000	0.000	Merged-chr15-36396472-80
NR1134--MA0768.1.LEF1	chr17	45342328	45342342	-	0.000	0.000	Merged-chr17-45342322-7
NR1031--MA0768.1.LEF1	chr16	48745639	48745653	-	0.000	0.000	Merged-chr16-48745701-29
NR1931--MA0768.1.LEF1	chr4	124769255	124769269	+	0.000	0.000	Merged-chr4-124769177-27
NR475--MA0768.1.LEF1	chr12	21172236	21172250	+	0.000	0.000	Merged-chr12-21172304-14
NR1376--MA0768.1.LEF1	chr2	5061514	5061528	+	0.000	0.000	Merged-chr2-5061621-34
NR596--MA0768.1.LEF1	chr13	3479835	3479849	+	0.000	0.000	Merged-chr13-3479941-4
NR2466--MA0768.1.LEF1	chr8	8343178	8343192	+	0.000	0.000	Merged-chr8-8343206-7
NR493--MA0768.1.LEF1	chr12	39649242	39649256	-	0.000	0.000	Merged-chr12-39649191-14
NR2108--MA0768.1.LEF1	chr5	124907038	124907052	-	0.000	0.000	Merged-chr5-124907107-45
NR1036--MA0768.1.LEF1	chr16	50555180	50555194	-	0.000	0.000	Merged-chr16-50555141-20
NR247--MA0768.1.LEF1	chr10	39170467	39170481	+	0.000	0.000	Merged-chr10-39170391-11
NR923--MA0768.1.LEF1	chr15	55327404	55327418	-	0.000	0.000	Merged-chr15-55327422-12
NR2484--MA0768.1.LEF1	chr8	33548680	33548694	+	0.000	0.000	Merged-chr8-33548647-24
NR153--MA0768.1.LEF1	chr1	156710948	156710962	-	0.000	0.000	Merged-chr1-156710970-33
NR932--MA0768.1.LEF1	chr15	64078110	64078124	+	0.000	0.000	Merged-chr15-64078156-8
NR1184--MA0768.1.LEF1	chr17	85189616	85189630	+	0.000	0.000	Merged-chr17-85189630-51
NR1090--MA0768.1.LEF1	chr16	97402538	97402552	-	0.000	0.000	Merged-chr16-97402543-6
NR919--MA0768.1.LEF1	chr15	52887036	52887050	-	0.000	0.000	Merged-chr15-52887057-9
NR2028--MA0768.1.LEF1	chr5	64297265	64297279	-	0.000	0.000	Merged-chr5-64297332-42
