#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_up.bed
NR3179--MA0035.3.Gata1	chr16	58546298	58546308	-	0.000	0.000	Merged-chr16-58546287-56
NR7023--MA0036.3.GATA2	chr7	117394165	117394175	+	0.000	0.000	Merged-chr7-117394201-50
NR503--MA0766.1.GATA5	chr1	164960957	164960964	+	0.000	0.000	Merged-chr1-164960822-1
NR2841--MA1104.1.GATA6	chr15	78495175	78495187	+	0.000	0.000	Merged-chr15-78495177-43
NR541--MA0035.3.Gata1	chr1	171643756	171643766	+	0.000	0.000	Merged-chr1-171643793-46
NR716--MA0035.3.Gata1	chr10	26229621	26229631	+	0.000	0.000	Merged-chr10-26229708-29
NR7382--MA1104.1.GATA6	chr8	111955416	111955428	-	0.000	0.000	Merged-chr8-111955328-48
NR6282--MA0766.1.GATA5	chr6	58832867	58832874	-	0.000	0.000	Merged-chr6-58832889-39
NR4914--MA1104.1.GATA6	chr3	69041531	69041543	+	0.000	0.000	Merged-chr3-69041504-24
NR4701--MA0482.1.Gata4	chr2	163131100	163131110	+	0.000	0.000	Merged-chr2-163131105-39
NR2121--MA0035.3.Gata1	chr13	101702250	101702260	-	0.000	0.000	Merged-chr13-101702260-81
NR1337--MA0482.1.Gata4	chr11	98959550	98959560	+	0.000	0.000	Merged-chr11-98959702-39
NR6569--MA0036.3.GATA2	chr6	130102977	130102987	+	0.000	0.000	Merged-chr6-130103023-31
NR6580--MA0482.1.Gata4	chr6	130342155	130342165	+	0.000	0.000	Merged-chr6-130342331-49
NR3286--MA1104.1.GATA6	chr16	92641310	92641322	+	0.000	0.000	Merged-chr16-92641253-41
NR6663--MA1104.1.GATA6	chr6	142823505	142823517	+	0.000	0.000	Merged-chr6-142823375-40
NR757--MA0140.2.GATA1::TAL1	chr10	41978595	41978612	+	0.000	0.000	Merged-chr10-41978788-45
NR2094--MA0035.3.Gata1	chr13	95697071	95697081	+	0.000	0.000	Merged-chr13-95697036-46
NR3848--MA0140.2.GATA1::TAL1	chr18	82513708	82513725	-	0.000	0.000	Merged-chr18-82513500-48
NR56--MA0482.1.Gata4	chr1	38883980	38883990	-	0.000	0.000	Merged-chr1-38884000-31
NR699--MA0766.1.GATA5	chr10	21975620	21975627	-	0.000	0.000	Merged-chr10-21975536-24
NR2463--MA0482.1.Gata4	chr14	60072723	60072733	+	0.000	0.000	Merged-chr14-60072713-24
NR2100--MA0036.3.GATA2	chr13	98124618	98124628	+	0.000	0.000	Merged-chr13-98124541-43
NR59--MA0035.3.Gata1	chr1	38883981	38883991	-	0.000	0.000	Merged-chr1-38884000-31
NR3366--MA0037.3.GATA3	chr17	12165548	12165555	-	0.000	0.000	Merged-chr17-12165459-54
NR5499--MA0482.1.Gata4	chr4	95068326	95068336	-	0.000	0.000	Merged-chr4-95068269-28
NR1511--MA0140.2.GATA1::TAL1	chr12	41844189	41844206	+	0.000	0.000	Merged-chr12-41844052-32
NR807--MA0140.2.GATA1::TAL1	chr10	66955653	66955670	+	0.000	0.000	Merged-chr10-66955647-19
NR502--MA0037.3.GATA3	chr1	164960957	164960964	+	0.000	0.000	Merged-chr1-164960822-1
NR57--MA1104.1.GATA6	chr1	38883980	38883992	+	0.000	0.000	Merged-chr1-38884000-31
NR5636--MA0037.3.GATA3	chr4	145312628	145312635	+	0.000	0.000	Merged-chr4-145312696-44
NR2464--MA1104.1.GATA6	chr14	60072721	60072733	-	0.000	0.000	Merged-chr14-60072713-24
NR6577--MA0766.1.GATA5	chr6	130312045	130312052	-	0.000	0.000	Merged-chr6-130312055-26
NR6932--MA1104.1.GATA6	chr7	90007378	90007390	+	0.000	0.000	Merged-chr7-90007418-46
NR3284--MA0037.3.GATA3	chr16	92641313	92641320	+	0.000	0.000	Merged-chr16-92641253-41
NR6661--MA0037.3.GATA3	chr6	142823508	142823515	+	0.000	0.000	Merged-chr6-142823375-40
NR5490--MA0035.3.Gata1	chr4	89044205	89044215	+	0.000	0.000	Merged-chr4-89044155-38
NR5000--MA0140.2.GATA1::TAL1	chr3	105815405	105815422	-	0.000	0.000	Merged-chr3-105815563-53
NR686--MA0140.2.GATA1::TAL1	chr10	18064764	18064781	+	0.000	0.000	Merged-chr10-18064784-37
NR73--MA0036.3.GATA2	chr1	43538868	43538878	+	0.000	0.000	Merged-chr1-43538951-30
NR7731--MA1104.1.GATA6	chr9	87025898	87025910	-	0.000	0.000	Merged-chr9-87025935-38
NR5391--MA0766.1.GATA5	chr4	59281127	59281134	-	0.000	0.000	Merged-chr4-59281104-23
NR1360--MA0035.3.Gata1	chr11	101627408	101627418	+	0.000	0.000	Merged-chr11-101627512-104
NR1848--MA0036.3.GATA2	chr12	118255860	118255870	-	0.000	0.000	Merged-chr12-118255780-45
NR7537--MA0140.2.GATA1::TAL1	chr9	33060979	33060996	-	0.000	0.000	Merged-chr9-33060885-64
NR6256--MA0766.1.GATA5	chr6	50387876	50387883	+	0.000	0.000	Merged-chr6-50387910-30
NR6639--MA0036.3.GATA2	chr6	140598740	140598750	+	0.000	0.000	Merged-chr6-140598794-45
NR7390--MA0766.1.GATA5	chr8	117548685	117548692	-	0.000	0.000	Merged-chr8-117548585-70
NR6578--MA0035.3.Gata1	chr6	130312044	130312054	+	0.000	0.000	Merged-chr6-130312055-26
NR5036--MA0037.3.GATA3	chr3	115729287	115729294	-	0.000	0.000	Merged-chr3-115729400-55
NR6567--MA0482.1.Gata4	chr6	130102978	130102988	+	0.000	0.000	Merged-chr6-130103023-31
NR1938--MA0766.1.GATA5	chr13	45850807	45850814	-	0.000	0.000	Merged-chr13-45850664-56
NR2078--MA0482.1.Gata4	chr13	93785453	93785463	+	0.000	0.000	Merged-chr13-93785385-35
